Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
PSMC,46090A879,VRIG ,"50,096","1,245,887.52",15.892,Invesco Variable Rate Investment Grade ETF,Exchange Traded Fund			     ,Investment Companies,10/09/2020
PSMC,46139W502,IIGD ,"36,449","997,062.40",12.718,Invesco Investment Grade Defensive ETF,Exchange Traded Fund			     ,Investment Companies,10/09/2020
PSMC,46138G805,BAB ,"20,054","661,782.00",8.441,Invesco Taxable Municipal Bond,Exchange Traded Fund			     ,Investment Companies,10/09/2020
PSMC,46138E719,PHB ,"31,974","602,070.42",7.680,Invesco Fundamental High Yield Corporate Bond ETF,Exchange Traded Fund			     ,Investment Companies,10/09/2020
PSMC,46138E784,PCY ,"21,666","599,064.90",7.641,Invesco Emerging Markets Sovereign Debt ETF,Exchange Traded Fund			     ,Investment Companies,10/09/2020
PSMC,46139W601,IIGV ,"18,953","536,085.62",6.838,Invesco Investment Grade Value ETF,Exchange Traded Fund			     ,Investment Companies,10/09/2020
PSMC,46137V266,RPG ,"3,375","499,565.48",6.372,Invesco S&P 500 Pure Growth ETF,Exchange Traded Fund			     ,Investment Companies,10/09/2020
PSMC,46138G508,BKLN ,"21,989","480,239.76",6.126,Invesco Senior Loan ETF,Exchange Traded Fund			     ,Investment Companies,10/09/2020
PSMC,46138E511,PGX ,"32,072","479,476.40",6.116,Invesco Preferred ETF,Exchange Traded Fund			     ,Investment Companies,10/09/2020
PSMC,46138J742,IUS ,"14,322","400,196.78",5.105,Invesco RAFI Strategic US ETF,Exchange Traded Fund			     ,Investment Companies,10/09/2020
PSMC,46138J619,OMFL ,"10,952","361,744.56",4.614,Invesco Russell 1000 Dynamic Multifactor ETF,Exchange Traded Fund			     ,Investment Companies,10/09/2020
PSMC,46138E495,PBTP ,"13,559","350,414.74",4.470,Invesco PureBeta 0-5 Yr US TIPS ETF,Exchange Traded Fund			     ,Investment Companies,10/09/2020
PSMC,46138E107,PLW ,"6,947","269,890.95",3.443,Invesco 1-30 Laddered Treasury ETF,Exchange Traded Fund			     ,Investment Companies,10/09/2020
PSMC,46138E354,SPLV ,"3,664","202,472.64",2.583,Invesco S&P 500 Low Volatility ETF,Exchange Traded Fund			     ,Investment Companies,10/09/2020
PSMC,46138J726,ISDX ,"3,346","78,095.64",0.996,Invesco RAFI Strategic Developed ex-US ETF,Exchange Traded Fund			     ,Investment Companies,10/09/2020
PSMC,46138E230,IDLV ,"2,694","77,317.80",0.986,Invesco S&P International Developed Low Volatility ETF,Exchange Traded Fund			     ,Investment Companies,10/09/2020
PSMC,CASHUSD00,-CASH-,"-1,454","-1,453.93",-0.019,Cash/Receivables/Payables,Currency,Cash,10/09/2020
