Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
PSMG,46138J619,OMFL ,"22,356","738,418.68",12.573,Invesco Russell 1000 Dynamic Multifactor ETF,Exchange Traded Fund			     ,Investment Companies,10/09/2020
PSMG,46137V266,RPG ,"4,753","703,536.21",11.979,Invesco S&P 500 Pure Growth ETF,Exchange Traded Fund			     ,Investment Companies,10/09/2020
PSMG,46138J742,IUS ,"24,207","676,411.36",11.517,Invesco RAFI Strategic US ETF,Exchange Traded Fund			     ,Investment Companies,10/09/2020
PSMG,46138J734,IUSS ,"24,968","602,480.34",10.258,Invesco RAFI Strategic US Small Co ETF,Exchange Traded Fund			     ,Investment Companies,10/09/2020
PSMG,46138E354,SPLV ,"8,616","476,120.16",8.107,Invesco S&P 500 Low Volatility ETF,Exchange Traded Fund			     ,Investment Companies,10/09/2020
PSMG,46138E230,IDLV ,"13,464","386,416.80",6.579,Invesco S&P International Developed Low Volatility ETF,Exchange Traded Fund			     ,Investment Companies,10/09/2020
PSMG,46139W502,IIGD ,"13,602","372,082.71",6.335,Invesco Investment Grade Defensive ETF,Exchange Traded Fund			     ,Investment Companies,10/09/2020
PSMG,46138J726,ISDX ,"14,015","327,110.10",5.570,Invesco RAFI Strategic Developed ex-US ETF,Exchange Traded Fund			     ,Investment Companies,10/09/2020
PSMG,46138G102,XSLV ,"9,270","326,860.20",5.565,Invesco S&P SmallCap Low Volatility ETF,Exchange Traded Fund			     ,Investment Companies,10/09/2020
PSMG,46138E198,XMLV ,"6,837","298,024.83",5.074,Invesco S&P MidCap Low Volatility ETF,Exchange Traded Fund			     ,Investment Companies,10/09/2020
PSMG,46138G805,BAB ,"6,855","226,215.00",3.852,Invesco Taxable Municipal Bond,Exchange Traded Fund			     ,Investment Companies,10/09/2020
PSMG,46139W601,IIGV ,"7,065","199,833.53",3.403,Invesco Investment Grade Value ETF,Exchange Traded Fund			     ,Investment Companies,10/09/2020
PSMG,46138E495,PBTP ,"4,429","114,461.75",1.949,Invesco PureBeta 0-5 Yr US TIPS ETF,Exchange Traded Fund			     ,Investment Companies,10/09/2020
PSMG,46090A879,VRIG ,"4,602","114,451.74",1.949,Invesco Variable Rate Investment Grade ETF,Exchange Traded Fund			     ,Investment Companies,10/09/2020
PSMG,46138E107,PLW ,"2,917","113,325.45",1.930,Invesco 1-30 Laddered Treasury ETF,Exchange Traded Fund			     ,Investment Companies,10/09/2020
PSMG,46138J692,ISEM ,"4,790","112,660.80",1.918,Invesco RAFI Strategic Emerging Market ETF,Exchange Traded Fund			     ,Investment Companies,10/09/2020
PSMG,46138E297,EELV ,"4,181","85,919.55",1.463,Invesco S&P Emerging Markets Low Volatility ETF,Exchange Traded Fund			     ,Investment Companies,10/09/2020
PSMG,CASHUSD00,-CASH-,"-1,235","-1,234.77",-0.021,Cash/Receivables/Payables,Currency,Cash,10/09/2020
