Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
PSMM,46090A879,VRIG ,"19,706","490,088.22",11.836,Invesco Variable Rate Investment Grade ETF,Exchange Traded Fund			     ,Investment Companies,10/09/2020
PSMM,46139W502,IIGD ,"17,175","469,822.13",11.346,Invesco Investment Grade Defensive ETF,Exchange Traded Fund			     ,Investment Companies,10/09/2020
PSMM,46137V266,RPG ,"2,301","340,592.64",8.225,Invesco S&P 500 Pure Growth ETF,Exchange Traded Fund			     ,Investment Companies,10/09/2020
PSMM,46138G805,BAB ,"9,295","306,735.00",7.408,Invesco Taxable Municipal Bond,Exchange Traded Fund			     ,Investment Companies,10/09/2020
PSMM,46138J619,OMFL ,"8,297","274,049.91",6.618,Invesco Russell 1000 Dynamic Multifactor ETF,Exchange Traded Fund			     ,Investment Companies,10/09/2020
PSMM,46139W601,IIGV ,"8,932","252,641.63",6.101,Invesco Investment Grade Value ETF,Exchange Traded Fund			     ,Investment Companies,10/09/2020
PSMM,46138J742,IUS ,"9,014","251,876.40",6.083,Invesco RAFI Strategic US ETF,Exchange Traded Fund			     ,Investment Companies,10/09/2020
PSMM,46138E107,PLW ,"5,205","202,214.25",4.883,Invesco 1-30 Laddered Treasury ETF,Exchange Traded Fund			     ,Investment Companies,10/09/2020
PSMM,46138J734,IUSS ,"8,197","197,794.43",4.777,Invesco RAFI Strategic US Small Co ETF,Exchange Traded Fund			     ,Investment Companies,10/09/2020
PSMM,46138E784,PCY ,"6,198","171,374.70",4.139,Invesco Emerging Markets Sovereign Debt ETF,Exchange Traded Fund			     ,Investment Companies,10/09/2020
PSMM,46138E511,PGX ,"11,030","164,898.50",3.982,Invesco Preferred ETF,Exchange Traded Fund			     ,Investment Companies,10/09/2020
PSMM,46138E495,PBTP ,"6,321","163,358.03",3.945,Invesco PureBeta 0-5 Yr US TIPS ETF,Exchange Traded Fund			     ,Investment Companies,10/09/2020
PSMM,46138E354,SPLV ,"2,767","152,904.42",3.693,Invesco S&P 500 Low Volatility ETF,Exchange Traded Fund			     ,Investment Companies,10/09/2020
PSMM,46138E719,PHB ,"8,058","151,732.14",3.664,Invesco Fundamental High Yield Corporate Bond ETF,Exchange Traded Fund			     ,Investment Companies,10/09/2020
PSMM,46138E198,XMLV ,"2,928","127,631.52",3.082,Invesco S&P MidCap Low Volatility ETF,Exchange Traded Fund			     ,Investment Companies,10/09/2020
PSMM,46138E230,IDLV ,"4,239","121,659.30",2.938,Invesco S&P International Developed Low Volatility ETF,Exchange Traded Fund			     ,Investment Companies,10/09/2020
PSMM,46138J726,ISDX ,"4,913","114,669.42",2.769,Invesco RAFI Strategic Developed ex-US ETF,Exchange Traded Fund			     ,Investment Companies,10/09/2020
PSMM,46138G102,XSLV ,"3,248","114,524.48",2.766,Invesco S&P SmallCap Low Volatility ETF,Exchange Traded Fund			     ,Investment Companies,10/09/2020
PSMM,46138G508,BKLN ,"3,348","73,120.32",1.766,Invesco Senior Loan ETF,Exchange Traded Fund			     ,Investment Companies,10/09/2020
PSMM,CASHUSD00,-CASH-,-909,-908.83,-0.022,Cash/Receivables/Payables,Currency,Cash,10/09/2020
