Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
PSP,B119QG0,PGHN SW,"8,912","8,559,117.25",5.103,Partners Group Holding AG,Common Stock,Financials,10/09/2020
PSP,BJDS7L3,PRX ,"89,293","8,439,612.58",5.032,Prosus NV,Common Stock,Consumer Discretionary,10/09/2020
PSP,6948836,WES ,"249,473","8,380,653.02",4.996,Wesfarmers Ltd,Common Stock,Consumer Discretionary,10/09/2020
PSP,893641100,TDG ,"16,786","8,141,210.00",4.854,TransDigm Group Inc,Common Stock,Industrials,10/09/2020
PSP,825252885,AGPXX ,"8,091,651","8,091,650.79",4.824,STIT - Government & Agency Portfolio,"Money Market Fund, Taxable			     ",Investment Companies,10/09/2020
PSP,B1YW440,III LN,"567,883","7,927,563.98",4.726,3i Group PLC,Common Stock,Financials,10/09/2020
PSP,09260D107,BX ,"137,698","7,534,834.56",4.492,Blackstone Group Inc/The,Common Stock,Financials,10/09/2020
PSP,48251W104,KKR ,"204,383","7,323,042.89",4.366,KKR & Co Inc,Common Stock,Financials,10/09/2020
PSP,BJ7W9K4,EQT SS,"296,845","5,960,946.42",3.554,EQT AB,Common Stock,Financials,10/09/2020
PSP,BZ1G432,MRO LN,"3,271,147","5,625,181.13",3.354,Melrose Industries PLC,Common Stock,Industrials,10/09/2020
PSP,BN2C4W4,KINVB SS,"105,818","4,271,534.62",2.547,Kinnevik AB,Common Stock,Financials,10/09/2020
PSP,44891N109,IAC ,"33,478","4,187,763.02",2.497,IAC/InterActiveCorp,Common Stock,Communication Services,10/09/2020
PSP,BYT1DJ1,ICP LN,"186,824","3,312,254.07",1.975,Intermediate Capital Group PLC,Common Stock,Financials,10/09/2020
PSP,14316J108,CG ,"118,985","3,188,798.00",1.901,Carlyle Group Inc/The,Common Stock,Financials,10/09/2020
PSP,04010L103,ARCC ,"218,044","3,131,111.84",1.867,Ares Capital Corp,"Mutual Fund, Closed-End			     ",Financials,10/09/2020
PSP,BYNDNQ0,BBU-U ,"87,285","2,860,212.72",1.705,Brookfield Business Partners LP,Partnership Interest			     ,Industrials,10/09/2020
PSP,B1Z7FX0,656 HK,"2,437,252","2,858,642.29",1.704,Fosun International Ltd,Common Stock,Industrials,10/09/2020
PSP,7042395,RF FP,"49,412","2,718,069.23",1.620,Eurazeo SE,Common Stock,Financials,10/09/2020
PSP,13765N107,CNNE ,"64,686","2,615,254.98",1.559,Cannae Holdings Inc,Common Stock,Financials,10/09/2020
PSP,7390113,MF FP,"27,051","2,614,277.82",1.559,Wendel SE,Common Stock,Financials,10/09/2020
PSP,2659518,ONEX ,"55,510","2,580,985.72",1.539,Onex Corp,Common Stock,Financials,10/09/2020
PSP,407497106,HLNE ,"34,248","2,391,537.84",1.426,Hamilton Lane Inc,Common Stock,Financials,10/09/2020
PSP,69121K104,ORCC ,"190,738","2,346,077.40",1.399,Owl Rock Capital Corp,"Mutual Fund, Closed-End			     ",Financials,10/09/2020
PSP,5690859,SCHO DC,"20,282","1,976,925.51",1.179,Schouw & Co A/S,Common Stock,Consumer Staples,10/09/2020
PSP,B01TCC1,HBMN SW,"6,438","1,934,860.15",1.154,HBM Healthcare Investments AG,"Mutual Fund, Closed-End			     ",Financials,10/09/2020
PSP,BR17150,RKET ,"86,891","1,909,426.08",1.138,Rocket Internet SE,Common Stock,Consumer Discretionary,10/09/2020
PSP,6309422,4819 JP,"51,591","1,848,203.45",1.102,Digital Garage Inc,Common Stock,Information Technology,10/09/2020
PSP,20451Q104,CODI ,"91,104","1,781,994.24",1.062,Compass Diversified Holdings,Partnership Interest			     ,Financials,10/09/2020
PSP,B8P59C0,SYNC LN,"502,386","1,704,333.74",1.016,Syncona Limited,"Mutual Fund, Closed-End			     ",Investment Companies,10/09/2020
PSP,B130WD0,RATOB SS,"414,048","1,673,263.81",0.998,Ratos AB,Common Stock,Financials,10/09/2020
