Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
PSR,03027X100,AMT ,"31,823","7,786,451.64",9.186,American Tower Corp,Real Estate Investment Trust			     ,Real Estate,10/09/2020
PSR,74340W103,PLD ,"55,725","5,957,559.75",7.029,Prologis Inc,Real Estate Investment Trust			     ,Real Estate,10/09/2020
PSR,22822V101,CCI ,"31,706","5,306,316.16",6.260,Crown Castle International Corp,Real Estate Investment Trust			     ,Real Estate,10/09/2020
PSR,29444U700,EQIX ,"5,112","4,239,637.20",5.002,Equinix Inc,Real Estate Investment Trust			     ,Real Estate,10/09/2020
PSR,253868103,DLR ,"23,420","3,708,322.80",4.375,Digital Realty Trust Inc,Real Estate Investment Trust			     ,Real Estate,10/09/2020
PSR,78410G104,SBAC ,"10,674","3,358,360.62",3.962,SBA Communications Corp,Real Estate Investment Trust			     ,Real Estate,10/09/2020
PSR,74460D109,PSA ,"11,342","2,654,141.42",3.131,Public Storage,Real Estate Investment Trust			     ,Real Estate,10/09/2020
PSR,962166104,WY ,"66,639","1,953,855.48",2.305,Weyerhaeuser Co,Real Estate Investment Trust			     ,Real Estate,10/09/2020
PSR,95040Q104,WELL ,"33,662","1,895,507.22",2.236,Welltower Inc,Real Estate Investment Trust			     ,Real Estate,10/09/2020
PSR,053484101,AVB ,"11,390","1,803,492.60",2.128,AvalonBay Communities Inc,Real Estate Investment Trust			     ,Real Estate,10/09/2020
PSR,756109104,O ,"27,358","1,728,752.02",2.040,Realty Income Corp,Real Estate Investment Trust			     ,Real Estate,10/09/2020
PSR,29476L107,EQR ,"30,636","1,705,199.76",2.012,Equity Residential,Real Estate Investment Trust			     ,Real Estate,10/09/2020
PSR,92276F100,VTR ,"33,146","1,480,631.82",1.747,Ventas Inc,Real Estate Investment Trust			     ,Real Estate,10/09/2020
PSR,015271109,ARE ,"8,689","1,434,988.35",1.693,Alexandria Real Estate Equities Inc,Real Estate Investment Trust			     ,Real Estate,10/09/2020
PSR,42250P103,PEAK ,"46,697","1,336,935.11",1.577,Healthpeak Properties Inc,Real Estate Investment Trust			     ,Real Estate,10/09/2020
PSR,46187W107,INVH ,"45,018","1,333,883.34",1.574,Invitation Homes Inc,Real Estate Investment Trust			     ,Real Estate,10/09/2020
PSR,264411505,DRE ,"31,559","1,256,679.38",1.483,Duke Realty Corp,Real Estate Investment Trust			     ,Real Estate,10/09/2020
PSR,297178105,ESS ,"5,510","1,187,129.50",1.401,Essex Property Trust Inc,Real Estate Investment Trust			     ,Real Estate,10/09/2020
PSR,59522J103,MAA ,"9,368","1,158,446.88",1.367,Mid-America Apartment Communities Inc,Real Estate Investment Trust			     ,Real Estate,10/09/2020
PSR,30225T102,EXR ,"9,914","1,123,751.90",1.326,Extra Space Storage Inc,Real Estate Investment Trust			     ,Real Estate,10/09/2020
PSR,866674104,SUI ,"7,391","1,094,902.74",1.292,Sun Communities Inc,Real Estate Investment Trust			     ,Real Estate,10/09/2020
PSR,101121101,BXP ,"13,174","1,090,543.72",1.287,Boston Properties Inc,Real Estate Investment Trust			     ,Real Estate,10/09/2020
PSR,92936U109,WPC ,"15,263","1,037,884.00",1.224,WP Carey Inc,Real Estate Investment Trust			     ,Real Estate,10/09/2020
PSR,828806109,SPG ,"15,263","1,033,610.36",1.219,Simon Property Group Inc,Real Estate Investment Trust			     ,Real Estate,10/09/2020
PSR,925652109,VICI ,"41,158","972,975.12",1.148,VICI Properties Inc,Real Estate Investment Trust			     ,Real Estate,10/09/2020
PSR,36467J108,GLPI ,"23,872","913,820.16",1.078,Gaming and Leisure Properties Inc,Real Estate Investment Trust			     ,Real Estate,10/09/2020
PSR,29472R108,ELS ,"13,707","888,898.95",1.049,Equity LifeStyle Properties Inc,Real Estate Investment Trust			     ,Real Estate,10/09/2020
PSR,902653104,UDR ,"24,674","875,186.78",1.033,UDR Inc,Real Estate Investment Trust			     ,Real Estate,10/09/2020
PSR,23283R100,CONE ,"10,502","841,525.26",0.993,CyrusOne Inc,Real Estate Investment Trust			     ,Real Estate,10/09/2020
PSR,58463J304,MPW ,"44,988","836,326.92",0.987,Medical Properties Trust Inc,Real Estate Investment Trust			     ,Real Estate,10/09/2020
PSR,02665T306,AMH ,"27,846","832,595.40",0.982,American Homes 4 Rent,Real Estate Investment Trust			     ,Real Estate,10/09/2020
PSR,44107P104,HST ,"65,530","758,837.40",0.895,Host Hotels & Resorts Inc,Real Estate Investment Trust			     ,Real Estate,10/09/2020
PSR,133131102,CPT ,"7,772","748,599.04",0.883,Camden Property Trust,Real Estate Investment Trust			     ,Real Estate,10/09/2020
PSR,681936100,OHI ,"23,845","740,387.25",0.873,Omega Healthcare Investors Inc,Real Estate Investment Trust			     ,Real Estate,10/09/2020
PSR,92339V100,VER ,"103,564","710,449.04",0.838,VEREIT Inc,Real Estate Investment Trust			     ,Real Estate,10/09/2020
PSR,929042109,VNO ,"18,787","667,314.24",0.787,Vornado Realty Trust,Real Estate Investment Trust			     ,Real Estate,10/09/2020
PSR,758849103,REG ,"16,438","650,616.04",0.768,Regency Centers Corp,Real Estate Investment Trust			     ,Real Estate,10/09/2020
PSR,862121100,STOR ,"22,364","625,744.72",0.738,STORE Capital Corp,Real Estate Investment Trust			     ,Real Estate,10/09/2020
