Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
PTF,338307101,FIVN ,"100,640","14,097,651.20",5.153,Five9 Inc,Common Stock,Information Technology,10/09/2020
PTF,037833100,AAPL ,"118,810","13,897,205.70",5.079,Apple Inc,Common Stock,Information Technology,10/09/2020
PTF,67066G104,NVDA ,"24,195","13,319,589.45",4.868,NVIDIA Corp,Common Stock,Information Technology,10/09/2020
PTF,609839105,MPWR ,"35,737","11,273,594.02",4.121,Monolithic Power Systems Inc,Common Stock,Information Technology,10/09/2020
PTF,29355A107,ENPH ,"92,487","10,097,730.66",3.691,Enphase Energy Inc,Common Stock,Information Technology,10/09/2020
PTF,29414B104,EPAM ,"29,345","9,896,601.25",3.617,EPAM Systems Inc,Common Stock,Information Technology,10/09/2020
PTF,25400W102,APPS ,"255,990","9,325,715.70",3.409,Digital Turbine Inc,Common Stock,Information Technology,10/09/2020
PTF,922475108,VEEV ,"30,942","9,100,661.04",3.326,Veeva Systems Inc,Common Stock,Health Care,10/09/2020
PTF,007903107,AMD ,"108,980","9,056,238.00",3.310,Advanced Micro Devices Inc,Common Stock,Information Technology,10/09/2020
PTF,127387108,CDNS ,"80,506","9,011,036.58",3.294,Cadence Design Systems Inc,Common Stock,Information Technology,10/09/2020
PTF,98980L101,ZM ,"16,960","8,351,273.60",3.052,Zoom Video Communications Inc,Common Stock,Information Technology,10/09/2020
PTF,29362U104,ENTG ,"98,979","8,190,017.36",2.993,Entegris Inc,Common Stock,Information Technology,10/09/2020
PTF,00724F101,ADBE ,"15,512","7,789,505.92",2.847,Adobe Inc,Common Stock,Information Technology,10/09/2020
PTF,443573100,HUBS ,"24,223","7,789,390.11",2.847,HubSpot Inc,Common Stock,Information Technology,10/09/2020
PTF,98980G102,ZS ,"50,705","7,705,131.80",2.816,Zscaler Inc,Common Stock,Information Technology,10/09/2020
PTF,81762P102,NOW ,"14,589","7,420,111.29",2.712,ServiceNow Inc,Common Stock,Information Technology,10/09/2020
PTF,38046C109,GOGO ,"670,664","7,384,010.64",2.699,Gogo Inc,Common Stock,Communication Services,10/09/2020
PTF,88339J105,TTD ,"11,981","7,345,670.91",2.685,Trade Desk Inc/The,Common Stock,Information Technology,10/09/2020
PTF,852234103,SQ ,"38,998","7,303,545.44",2.669,Square Inc,Common Stock,Information Technology,10/09/2020
PTF,090043100,BILL ,"61,361","6,977,359.31",2.550,Bill.com Holdings Inc,Common Stock,Information Technology,10/09/2020
PTF,98954M200,Z ,"62,926","6,560,664.76",2.398,Zillow Group Inc,Common Stock,Communication Services,10/09/2020
PTF,22788C105,CRWD ,"44,911","6,447,872.27",2.357,Crowdstrike Holdings Inc,Common Stock,Information Technology,10/09/2020
PTF,72352L106,PINS ,"147,921","6,418,292.19",2.346,Pinterest Inc,Common Stock,Communication Services,10/09/2020
PTF,848637104,SPLK ,"28,793","6,116,496.99",2.236,Splunk Inc,Common Stock,Information Technology,10/09/2020
PTF,594918104,MSFT ,"27,088","5,845,861.28",2.137,Microsoft Corp,Common Stock,Information Technology,10/09/2020
PTF,79466L302,CRM ,"21,894","5,823,366.12",2.128,salesforce.com Inc,Common Stock,Information Technology,10/09/2020
PTF,85209W109,SPT ,"115,923","5,442,584.85",1.989,Sprout Social Inc,Common Stock,Information Technology,10/09/2020
PTF,257554105,DOMO ,"124,456","5,140,032.80",1.879,Domo Inc,Common Stock,Information Technology,10/09/2020
PTF,705573103,PEGA ,"38,899","5,109,772.64",1.868,Pegasystems Inc,Common Stock,Information Technology,10/09/2020
PTF,156727109,CRNC ,"90,672","4,874,526.72",1.782,Cerence Inc,Common Stock,Information Technology,10/09/2020
PTF,78781P105,SAIL ,"107,593","4,798,647.80",1.754,Sailpoint Technologies Holdings Inc,Common Stock,Information Technology,10/09/2020
PTF,74736L109,QTWO ,"49,022","4,796,312.48",1.753,Q2 Holdings Inc,Common Stock,Information Technology,10/09/2020
PTF,98139A105,WK ,"72,953","4,410,008.85",1.612,Workiva Inc,Common Stock,Information Technology,10/09/2020
PTF,82982T106,SITM ,"51,121","4,391,293.90",1.605,SiTime Corp,Common Stock,Information Technology,10/09/2020
PTF,87157D109,SYNA ,"51,637","4,360,228.28",1.594,Synaptics Inc,Common Stock,Information Technology,10/09/2020
PTF,87874R100,TTGT ,"87,298","4,316,013.12",1.578,TechTarget Inc,Common Stock,Communication Services,10/09/2020
PTF,698884103,PAR ,"85,584","3,092,149.92",1.130,PAR Technology Corp,Common Stock,Information Technology,10/09/2020
PTF,825252885,AGPXX ,"318,723","318,722.90",0.116,STIT - Government & Agency Portfolio,"Money Market Fund, Taxable			     ",Investment Companies,10/09/2020
