Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
PUI,65339F101,NEE ,"7,298","2,210,637.18",3.624,NextEra Energy Inc,Common Stock,Utilities,10/09/2020
PUI,629377508,NRG ,"68,415","2,207,752.05",3.619,NRG Energy Inc,Common Stock,Utilities,10/09/2020
PUI,030420103,AWK ,"14,083","2,193,427.25",3.596,American Water Works Co Inc,Common Stock,Utilities,10/09/2020
PUI,98389B100,XEL ,"28,732","2,089,103.72",3.425,Xcel Energy Inc,Common Stock,Utilities,10/09/2020
PUI,233331107,DTE ,"17,363","2,088,595.27",3.424,DTE Energy Co,Common Stock,Utilities,10/09/2020
PUI,29364G103,ETR ,"19,712","2,086,515.20",3.421,Entergy Corp,Common Stock,Utilities,10/09/2020
PUI,30040W108,ES ,"22,584","2,082,018.96",3.413,Eversource Energy,Common Stock,Utilities,10/09/2020
PUI,842587107,SO ,"35,400","2,079,396.00",3.409,Southern Co/The,Common Stock,Utilities,10/09/2020
PUI,26441C204,DUK ,"21,604","2,015,653.20",3.305,Duke Energy Corp,Common Stock,Utilities,10/09/2020
PUI,018802108,LNT ,"36,486","1,997,243.64",3.274,Alliant Energy Corp,Common Stock,Utilities,10/09/2020
PUI,816851109,SRE ,"15,540","1,958,195.40",3.210,Sempra Energy,Common Stock,Utilities,10/09/2020
PUI,025537101,AEP ,"21,426","1,924,483.32",3.155,American Electric Power Co Inc,Common Stock,Utilities,10/09/2020
PUI,125896100,CMS ,"29,824","1,918,876.16",3.146,CMS Energy Corp,Common Stock,Utilities,10/09/2020
PUI,00130H105,AES ,"97,954","1,892,471.28",3.103,AES Corp/The,Common Stock,Utilities,10/09/2020
PUI,92939U106,WEC ,"18,693","1,858,831.92",3.047,WEC Energy Group Inc,Common Stock,Utilities,10/09/2020
PUI,049560105,ATO ,"19,054","1,838,901.54",3.015,Atmos Energy Corp,Common Stock,Utilities,10/09/2020
PUI,65473P105,NI ,"74,626","1,678,338.74",2.752,NiSource Inc,Common Stock,Utilities,10/09/2020
PUI,25746U109,D ,"20,204","1,652,283.12",2.709,Dominion Energy Inc,Common Stock,Utilities,10/09/2020
PUI,723484101,PNW ,"19,127","1,579,125.12",2.589,Pinnacle West Capital Corp,Common Stock,Utilities,10/09/2020
PUI,26884L109,EQT ,"105,475","1,549,427.75",2.540,EQT Corp,Common Stock,Energy,10/09/2020
PUI,29670G102,WTRG ,"36,584","1,523,357.76",2.497,Essential Utilities Inc,Common Stock,Utilities,10/09/2020
PUI,682680103,OKE ,"52,256","1,518,036.80",2.489,ONEOK Inc,Common Stock,Energy,10/09/2020
PUI,30034W106,EVRG ,"28,515","1,509,298.95",2.474,Evergy Inc,Common Stock,Utilities,10/09/2020
PUI,15189T107,CNP ,"68,791","1,470,063.67",2.410,CenterPoint Energy Inc,Common Stock,Utilities,10/09/2020
PUI,023608102,AEE ,"17,547","1,439,731.35",2.360,Ameren Corp,Common Stock,Utilities,10/09/2020
PUI,744573106,PEG ,"24,124","1,388,577.44",2.276,Public Service Enterprise Group Inc,Common Stock,Utilities,10/09/2020
PUI,69349H107,PNM ,"31,095","1,384,349.40",2.270,PNM Resources Inc,Common Stock,Utilities,10/09/2020
PUI,92343V104,VZ ,"21,506","1,275,950.98",2.092,Verizon Communications Inc,Common Stock,Communication Services,10/09/2020
PUI,451107106,IDA ,"14,583","1,274,845.86",2.090,IDACORP Inc,Common Stock,Utilities,10/09/2020
PUI,902681105,UGI ,"34,592","1,205,185.28",1.976,UGI Corp,Common Stock,Utilities,10/09/2020
PUI,552690109,MDU ,"49,790","1,158,613.30",1.899,MDU Resources Group Inc,Common Stock,Utilities,10/09/2020
PUI,636180101,NFG ,"27,292","1,145,991.08",1.879,National Fuel Gas Co,Common Stock,Utilities,10/09/2020
PUI,029899101,AWR ,"14,924","1,144,223.08",1.876,American States Water Co,Common Stock,Utilities,10/09/2020
PUI,92840M102,VST ,"63,269","1,138,209.31",1.866,Vistra Corp,Common Stock,Utilities,10/09/2020
PUI,68235P108,OGS ,"15,417","1,136,541.24",1.863,ONE Gas Inc,Common Stock,Utilities,10/09/2020
PUI,82312B106,SHEN ,"24,138","1,134,244.62",1.860,Shenandoah Telecommunications Co,Common Stock,Communication Services,10/09/2020
PUI,668074305,NWE ,"21,615","1,127,438.40",1.848,NorthWestern Corp,Common Stock,Utilities,10/09/2020
PUI,825252885,AGPXX ,"121,209","121,209.45",0.199,STIT - Government & Agency Portfolio,"Money Market Fund, Taxable			     ",Investment Companies,10/09/2020
PUI,CASHUSD00,-CASH-,-321,-320.76,-0.001,Cash/Receivables/Payables,Currency,Cash,10/09/2020
