Fund Ticker, Holding Ticker,Security Identifier, Name, CouponRate, MaturityDate, Effective Date, Next_Call_Date, rating, Shares/Par Value, MarketValue, PercentageOfFund, PositionDate 
PVI,,45528TAF1,City of Indianapolis IN,.08,05/15/2038,04/25/2008,10/15/2020,AA+/NR,"2,500,000",2500000.0,5.01,10/09/2020
PVI,,3531867L7,County of Franklin OH,.11,11/15/2041,02/25/2009,10/13/2020,NR/Aa2,"2,500,000",2500000.0,5.01,10/09/2020
PVI,,4423484B1,City of Houston TX Airport System Revenue,.11,07/01/2030,12/21/2010,10/20/2020,AA/Aa2,"2,500,000",2500000.0,5.01,10/09/2020
PVI,,57586EHT1,Massachusetts Health & Educational Facilities Authority,.08,07/01/2027,06/19/1997,11/02/2020,AA-/Aa3,"2,500,000",2500000.0,5.01,10/09/2020
PVI,,040507GM1,Arizona Health Facilities Authority,.13,07/01/2035,11/10/2005,10/13/2020,A+/Aa1,"2,500,000",2500000.0,5.01,10/09/2020
PVI,,18085PKE3,County of Clark Department of Aviation,.10,07/01/2029,03/27/2008,10/13/2020,AA+/Aa1,"2,500,000",2500000.0,5.01,10/09/2020
PVI,,12008EJF4,Build NYC Resource Corp,.12,04/01/2045,07/01/2015,11/02/2020,AA-/NR,"2,500,000",2500000.0,5.01,10/09/2020
PVI,,60635R2G1,Health & Educational Facilities Authority of the State of Mi,.10,05/15/2038,04/22/2008,10/13/2020,AA/Aa2,"2,400,000",2400000.0,4.81,10/09/2020
PVI,,196632BH5,City of Colorado Springs CO Utilities System Revenue,.13,11/01/2036,09/14/2006,10/13/2020,AA+/Aa2,"2,300,000",2300000.0,4.61,10/09/2020
PVI,,914440HE5,University of Massachusetts Building Authority,.10,05/01/2038,04/24/2008,10/13/2020,AA-/NR,"2,300,000",2300000.0,4.61,10/09/2020
PVI,,940157ZE3,Washington Suburban Sanitary Commission,.10,06/01/2023,06/24/2015,10/11/2020,NR/Aaa,"2,200,000",2200000.0,4.41,10/09/2020
PVI,,546510FH6,Louisiana Offshore Terminal Authority,.13,09/01/2033,08/29/2013,11/02/2020,NR/Aa1,"2,000,000",2000000.0,4.01,10/09/2020
PVI,,84129NMJ5,General Authority of Southcentral Pennsylvania,.15,06/01/2037,04/03/2019,10/11/2020,NR/Aa3,"2,000,000",2000000.0,4.01,10/09/2020
PVI,,939781VM9,Washington Higher Education Facilities Authority,.13,10/01/2029,11/23/2004,10/11/2020,NR/Aa3,"1,900,000",1900000.0,3.81,10/09/2020
PVI,,07133AJB9,Battery Park City Authority,.10,11/01/2038,08/06/2019,10/13/2020,NR/Aa1,"1,800,000",1800000.0,3.61,10/09/2020
PVI,,631663KG5,Nassau County Interim Finance Authority,.09,11/15/2021,05/16/2008,11/02/2020,AAA/Aa1,"1,600,000",1600000.0,3.21,10/09/2020
PVI,,544525DA3,Los Angeles Department of Water,.06,07/01/2035,03/01/2001,11/02/2020,AA+/Aa2,"1,500,000",1500000.0,3.01,10/09/2020
PVI,,594615AW6,Michigan State Building Authority,.13,10/15/2042,12/19/2007,11/02/2020,A+/Aa3,"1,500,000",1500000.0,3.01,10/09/2020
PVI,,797400FH6,San Diego County Regional Transportation Commission,.07,04/01/2038,03/27/2008,10/13/2020,AAA/Aa2,"1,500,000",1500000.0,3.01,10/09/2020
PVI,,955121LY2,City of West Palm Beach FL Utility System Revenue,.13,10/01/2038,08/20/2008,11/04/2020,AA+/Aa2,"1,500,000",1500000.0,3.01,10/09/2020
PVI,,340765HC3,Florida Keys Aqueduct Authority,.10,09/01/2035,06/12/2008,10/11/2020,AA+/Aa1,"1,500,000",1500000.0,3.01,10/09/2020
PVI,,650035KP2,New York State Urban Development Corp,.10,01/01/2030,06/24/2008,10/13/2020,AA+/NR,"1,400,000",1400000.0,2.81,10/09/2020
PVI,-CASH-,CASHUSD00,Cash/Receivables/Payables,.00,,,N/A,NR/NR,"1,242,655",1242655.43,2.49,10/09/2020
PVI,,818200UY1,Public Building Authority of Sevier County TN/The,.13,06/01/2026,10/28/2010,10/11/2020,NR/Aa1,"1,165,000",1165000.0,2.34,10/09/2020
PVI,,072024UN0,Bay Area Toll Authority,.06,04/01/2047,05/15/2007,10/13/2020,AA+/Aa1,"1,000,000",1000000.0,2.01,10/09/2020
PVI,,915137T86,Board of Regents of the University of Texas System,.06,08/01/2025,03/01/2008,10/13/2020,AAA/Aaa,"700,000",700000.0,1.40,10/09/2020
PVI,,546398C30,Louisiana Public Facilities Authority,.10,07/01/2047,08/12/2009,10/13/2020,AA+/Aa1,"300,000",300000.0,0.60,10/09/2020
PVI,,485106CQ9,City of Kansas City MO,.11,04/15/2025,08/13/2008,10/11/2020,A/A1,"300,000",300000.0,0.60,10/09/2020
PVI,,040507LA1,Arizona Health Facilities Authority,.09,01/01/2029,09/18/2008,10/11/2020,AA+/NR,"150,000",150000.0,0.30,10/09/2020
PVI,,161045FL8,City of Charlotte NC Water & Sewer System Revenue,.08,07/01/2036,07/26/2006,10/13/2020,AAA/Aaa,"100,000",100000.0,0.20,10/09/2020
