Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
PWB,235851102,DHR ,"124,059","28,044,777.54",3.668,Danaher Corp,Common Stock,Health Care,10/09/2020
PWB,883556102,TMO ,"60,289","28,016,298.30",3.664,Thermo Fisher Scientific Inc,Common Stock,Health Care,10/09/2020
PWB,67066G104,NVDA ,"50,181","27,625,142.31",3.613,NVIDIA Corp,Common Stock,Information Technology,10/09/2020
PWB,532457108,LLY ,"170,186","26,698,779.68",3.492,Eli Lilly and Co,Common Stock,Health Care,10/09/2020
PWB,91324P102,UNH ,"81,338","26,665,849.92",3.488,UnitedHealth Group Inc,Common Stock,Health Care,10/09/2020
PWB,57636Q104,MA ,"71,211","25,094,044.29",3.282,Mastercard Inc,Common Stock,Information Technology,10/09/2020
PWB,002824100,ABT ,"227,847","24,983,423.55",3.267,Abbott Laboratories,Common Stock,Health Care,10/09/2020
PWB,00724F101,ADBE ,"49,683","24,948,815.28",3.263,Adobe Inc,Common Stock,Information Technology,10/09/2020
PWB,92826C839,V ,"120,162","24,830,275.68",3.247,Visa Inc,Common Stock,Information Technology,10/09/2020
PWB,70450Y103,PYPL ,"124,088","24,478,839.76",3.202,PayPal Holdings Inc,Common Stock,Information Technology,10/09/2020
PWB,79466L302,CRM ,"91,738","24,400,473.24",3.191,salesforce.com Inc,Common Stock,Information Technology,10/09/2020
PWB,594918104,MSFT ,"111,912","24,151,728.72",3.159,Microsoft Corp,Common Stock,Information Technology,10/09/2020
PWB,037833100,AAPL ,"202,778","23,718,942.66",3.102,Apple Inc,Common Stock,Information Technology,10/09/2020
PWB,02079K305,GOOGL ,"15,571","23,519,216.95",3.076,Alphabet Inc,Common Stock,Communication Services,10/09/2020
PWB,30303M102,FB ,"86,460","22,864,347.00",2.990,Facebook Inc,Common Stock,Communication Services,10/09/2020
PWB,256677105,DG ,"53,665","11,858,891.70",1.551,Dollar General Corp,Common Stock,Consumer Discretionary,10/09/2020
PWB,922475108,VEEV ,"40,254","11,839,506.48",1.548,Veeva Systems Inc,Common Stock,Health Care,10/09/2020
PWB,87612E106,TGT ,"71,884","11,768,129.64",1.539,Target Corp,Common Stock,Consumer Discretionary,10/09/2020
PWB,747525103,QCOM ,"93,789","11,711,432.43",1.532,QUALCOMM Inc,Common Stock,Information Technology,10/09/2020
PWB,00846U101,A ,"109,900","11,623,024.00",1.520,Agilent Technologies Inc,Common Stock,Health Care,10/09/2020
PWB,444859102,HUM ,"26,694","11,570,247.36",1.513,Humana Inc,Common Stock,Health Care,10/09/2020
PWB,512807108,LRCX ,"31,643","11,477,232.53",1.501,Lam Research Corp,Common Stock,Information Technology,10/09/2020
PWB,81762P102,NOW ,"22,516","11,451,862.76",1.498,ServiceNow Inc,Common Stock,Information Technology,10/09/2020
PWB,824348106,SHW ,"16,198","11,312,683.20",1.480,Sherwin-Williams Co/The,Common Stock,Materials,10/09/2020
PWB,84265V105,SCCO ,"234,894","11,293,703.52",1.477,Southern Copper Corp,Common Stock,Materials,10/09/2020
PWB,45168D104,IDXX ,"28,168","11,285,509.20",1.476,IDEXX Laboratories Inc,Common Stock,Health Care,10/09/2020
PWB,98978V103,ZTS ,"68,146","11,273,392.78",1.474,Zoetis Inc,Common Stock,Health Care,10/09/2020
PWB,548661107,LOW ,"64,969","11,254,579.87",1.472,Lowe's Cos Inc,Common Stock,Consumer Discretionary,10/09/2020
PWB,16119P108,CHTR ,"17,589","11,180,271.96",1.462,Charter Communications Inc,Common Stock,Communication Services,10/09/2020
PWB,172908105,CTAS ,"32,898","11,169,857.94",1.461,Cintas Corp,Common Stock,Industrials,10/09/2020
PWB,871607107,SNPS ,"49,816","11,100,001.12",1.452,Synopsys Inc,Common Stock,Information Technology,10/09/2020
PWB,127387108,CDNS ,"98,862","11,065,623.66",1.447,Cadence Design Systems Inc,Common Stock,Information Technology,10/09/2020
PWB,038222105,AMAT ,"174,184","11,024,105.36",1.442,Applied Materials Inc,Common Stock,Information Technology,10/09/2020
PWB,615369105,MCO ,"37,229","10,972,503.17",1.435,Moody's Corp,Common Stock,Financials,10/09/2020
PWB,92345Y106,VRSK ,"57,899","10,837,534.82",1.417,Verisk Analytics Inc,Common Stock,Industrials,10/09/2020
PWB,G47567105,INFO ,"135,557","10,665,624.76",1.395,IHS Markit Ltd,Common Stock,Industrials,10/09/2020
PWB,78409V104,SPGI ,"29,884","10,661,415.84",1.394,S&P Global Inc,Common Stock,Financials,10/09/2020
PWB,278642103,EBAY ,"191,876","10,639,524.20",1.392,eBay Inc,Common Stock,Consumer Discretionary,10/09/2020
PWB,92532F100,VRTX ,"39,385","10,631,980.75",1.391,Vertex Pharmaceuticals Inc,Common Stock,Health Care,10/09/2020
PWB,052769106,ADSK ,"44,755","10,629,312.50",1.390,Autodesk Inc,Common Stock,Information Technology,10/09/2020
PWB,75886F107,REGN ,"17,569","10,577,767.83",1.383,Regeneron Pharmaceuticals Inc,Common Stock,Health Care,10/09/2020
PWB,67103H107,ORLY ,"23,525","10,571,664.50",1.383,O'Reilly Automotive Inc,Common Stock,Consumer Discretionary,10/09/2020
PWB,61174X109,MNST ,"130,507","10,564,541.65",1.382,Monster Beverage Corp,Common Stock,Consumer Staples,10/09/2020
PWB,651639106,NEM ,"168,022","10,555,142.04",1.380,Newmont Corp,Common Stock,Materials,10/09/2020
PWB,189054109,CLX ,"48,959","10,515,903.61",1.375,Clorox Co/The,Common Stock,Consumer Staples,10/09/2020
PWB,311900104,FAST ,"225,068","10,494,920.84",1.373,Fastenal Co,Common Stock,Industrials,10/09/2020
PWB,G5494J103,LIN ,"43,367","10,405,477.98",1.361,Linde PLC,Common Stock,Materials,10/09/2020
PWB,55354G100,MSCI ,"29,420","10,365,548.60",1.356,MSCI Inc,Common Stock,Financials,10/09/2020
PWB,00507V109,ATVI ,"128,781","10,071,962.01",1.317,Activision Blizzard Inc,Common Stock,Communication Services,10/09/2020
PWB,071813109,BAX ,"125,241","9,831,418.50",1.286,Baxter International Inc,Common Stock,Health Care,10/09/2020
PWB,825252885,AGPXX ,"308,580","308,579.67",0.040,STIT - Government & Agency Portfolio,"Money Market Fund, Taxable			     ",Investment Companies,10/09/2020
PWB,CASHUSD00,-CASH-,"2,273","2,273.28",0.000,Cash/Receivables/Payables,Currency,Cash,10/09/2020
