Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
PWC,127387108,CDNS ,"46,311","5,183,590.23",4.088,Cadence Design Systems Inc,Common Stock,Information Technology,10/09/2020
PWC,92343V104,VZ ,"83,929","4,979,507.57",3.927,Verizon Communications Inc,Common Stock,Communication Services,10/09/2020
PWC,052769106,ADSK ,"20,832","4,947,600.00",3.902,Autodesk Inc,Common Stock,Information Technology,10/09/2020
PWC,594918104,MSFT ,"22,352","4,823,785.12",3.804,Microsoft Corp,Common Stock,Information Technology,10/09/2020
PWC,G1151C101,ACN ,"21,026","4,808,435.94",3.792,Accenture PLC,Common Stock,Information Technology,10/09/2020
PWC,17275R102,CSCO ,"119,757","4,772,316.45",3.763,Cisco Systems Inc,Common Stock,Information Technology,10/09/2020
PWC,285512109,EA ,"35,183","4,484,073.35",3.536,Electronic Arts Inc,Common Stock,Communication Services,10/09/2020
PWC,444859102,HUM ,"7,661","3,320,583.84",2.619,Humana Inc,Common Stock,Health Care,10/09/2020
PWC,532457108,LLY ,"20,953","3,287,106.64",2.592,Eli Lilly and Co,Common Stock,Health Care,10/09/2020
PWC,91324P102,UNH ,"10,015","3,283,317.60",2.589,UnitedHealth Group Inc,Common Stock,Health Care,10/09/2020
PWC,256677105,DG ,"14,784","3,266,968.32",2.576,Dollar General Corp,Common Stock,Consumer Discretionary,10/09/2020
PWC,931142103,WMT ,"22,756","3,249,101.68",2.562,Walmart Inc,Common Stock,Consumer Staples,10/09/2020
PWC,745867101,PHM ,"65,064","3,186,834.72",2.513,PulteGroup Inc,Common Stock,Consumer Discretionary,10/09/2020
PWC,125523100,CI ,"17,627","3,109,402.80",2.452,Cigna Corp,Common Stock,Health Care,10/09/2020
PWC,73278L105,POOL ,"8,842","3,064,195.10",2.416,Pool Corp,Common Stock,Consumer Discretionary,10/09/2020
PWC,494368103,KMB ,"19,905","3,035,313.45",2.394,Kimberly-Clark Corp,Common Stock,Consumer Staples,10/09/2020
PWC,278642103,EBAY ,"52,863","2,931,253.35",2.312,eBay Inc,Common Stock,Consumer Discretionary,10/09/2020
PWC,302130109,EXPD ,"30,177","2,790,165.42",2.200,Expeditors International of Washington Inc,Common Stock,Industrials,10/09/2020
PWC,65339F101,NEE ,"8,646","2,618,959.86",2.065,NextEra Energy Inc,Common Stock,Utilities,10/09/2020
PWC,539830109,LMT ,"6,685","2,579,942.05",2.035,Lockheed Martin Corp,Common Stock,Industrials,10/09/2020
PWC,445658107,JBHT ,"18,491","2,500,353.02",1.972,JB Hunt Transport Services Inc,Common Stock,Industrials,10/09/2020
PWC,824348106,SHW ,"3,561","2,487,002.40",1.961,Sherwin-Williams Co/The,Common Stock,Materials,10/09/2020
PWC,064058100,BK ,"40,356","1,521,421.20",1.200,Bank of New York Mellon Corp/The,Common Stock,Financials,10/09/2020
PWC,020002101,ALL ,"16,099","1,494,953.14",1.179,Allstate Corp/The,Common Stock,Financials,10/09/2020
PWC,78409V104,SPGI ,"4,163","1,485,191.88",1.171,S&P Global Inc,Common Stock,Financials,10/09/2020
PWC,857477103,STT ,"21,883","1,453,687.69",1.146,State Street Corp,Common Stock,Financials,10/09/2020
PWC,631103108,NDAQ ,"11,493","1,437,314.58",1.133,Nasdaq Inc,Common Stock,Financials,10/09/2020
PWC,82312B106,SHEN ,"26,068","1,224,935.32",0.966,Shenandoah Telecommunications Co,Common Stock,Communication Services,10/09/2020
PWC,911684108,USM ,"38,590","1,202,850.30",0.949,United States Cellular Corp,Common Stock,Communication Services,10/09/2020
PWC,87162W100,SNX ,"7,818","1,174,732.68",0.926,SYNNEX Corp,Common Stock,Information Technology,10/09/2020
PWC,879433829,TDS ,"60,106","1,145,019.30",0.903,Telephone and Data Systems Inc,Common Stock,Communication Services,10/09/2020
PWC,16411Q101,CQP ,"31,232","1,119,042.56",0.882,Cheniere Energy Partners LP,Partnership Interest			     ,Energy,10/09/2020
PWC,928298108,VSH ,"61,432","1,087,346.40",0.857,Vishay Intertechnology Inc,Common Stock,Information Technology,10/09/2020
PWC,09215C105,BKI ,"11,814","1,069,048.86",0.843,Black Knight Inc,Common Stock,Information Technology,10/09/2020
PWC,16411R208,LNG ,"21,495","1,037,993.55",0.819,Cheniere Energy Inc,Common Stock,Energy,10/09/2020
PWC,871237103,SYKE ,"28,873","1,037,118.16",0.818,Sykes Enterprises Inc,Common Stock,Information Technology,10/09/2020
PWC,64111Q104,NTGR ,"29,574","1,011,726.54",0.798,NETGEAR Inc,Common Stock,Information Technology,10/09/2020
PWC,78467J100,SSNC ,"15,478","991,985.02",0.782,SS&C Technologies Holdings Inc,Common Stock,Information Technology,10/09/2020
PWC,55306N104,MKSI ,"8,319","988,962.72",0.780,MKS Instruments Inc,Common Stock,Information Technology,10/09/2020
PWC,G02602103,DOX ,"16,324","969,645.60",0.765,Amdocs Ltd,Common Stock,Information Technology,10/09/2020
PWC,099502106,BAH ,"11,138","903,960.08",0.713,Booz Allen Hamilton Holding Corp,Common Stock,Information Technology,10/09/2020
PWC,46005L101,IMXI ,"57,360","813,938.40",0.642,International Money Express Inc,Common Stock,Information Technology,10/09/2020
PWC,171779309,CIEN ,"17,621","758,231.63",0.598,Ciena Corp,Common Stock,Information Technology,10/09/2020
PWC,392709101,GRBK ,"34,110","646,043.40",0.509,Green Brick Partners Inc,Common Stock,Consumer Discretionary,10/09/2020
PWC,89055F103,BLD ,"3,291","615,120.81",0.485,TopBuild Corp,Common Stock,Consumer Discretionary,10/09/2020
PWC,749397105,RCM ,"33,297","590,022.84",0.465,R1 RCM Inc,Common Stock,Health Care,10/09/2020
PWC,928377100,VSTO ,"26,331","564,799.95",0.445,Vista Outdoor Inc,Common Stock,Consumer Discretionary,10/09/2020
PWC,043436104,ABG ,"4,919","564,209.30",0.445,Asbury Automotive Group Inc,Common Stock,Consumer Discretionary,10/09/2020
PWC,G4705A100,ICLR ,"2,633","558,117.01",0.440,ICON PLC,Common Stock,Health Care,10/09/2020
PWC,76009N100,RCII ,"15,932","545,671.00",0.430,Rent-A-Center Inc/TX,Common Stock,Consumer Discretionary,10/09/2020
PWC,81619Q105,SEM ,"24,299","545,512.55",0.430,Select Medical Holdings Corp,Common Stock,Health Care,10/09/2020
PWC,05329W102,AN ,"8,938","541,285.28",0.427,AutoNation Inc,Common Stock,Consumer Discretionary,10/09/2020
PWC,002535300,AAN ,"8,965","525,976.55",0.415,Aaron's Inc,Common Stock,Consumer Discretionary,10/09/2020
PWC,670837103,OGE ,"16,382","524,551.64",0.414,OGE Energy Corp,Common Stock,Utilities,10/09/2020
PWC,67018T105,NUS ,"9,428","519,765.64",0.410,Nu Skin Enterprises Inc,Common Stock,Consumer Staples,10/09/2020
PWC,552690109,MDU ,"21,987","511,637.49",0.403,MDU Resources Group Inc,Common Stock,Utilities,10/09/2020
PWC,743815102,PRSC ,"5,210","502,765.00",0.396,Providence Service Corp/The,Common Stock,Health Care,10/09/2020
PWC,29358P101,ENSG ,"8,379","498,550.50",0.393,Ensign Group Inc/The,Common Stock,Health Care,10/09/2020
PWC,913903100,UHS ,"4,346","485,578.58",0.383,Universal Health Services Inc,Common Stock,Health Care,10/09/2020
PWC,74112D101,PBH ,"13,067","485,569.72",0.383,Prestige Consumer Healthcare Inc,Common Stock,Health Care,10/09/2020
PWC,55405W104,MYRG ,"11,224","483,642.16",0.381,MYR Group Inc,Common Stock,Industrials,10/09/2020
PWC,91307C102,UTHR ,"4,604","478,862.04",0.378,United Therapeutics Corp,Common Stock,Health Care,10/09/2020
PWC,G9078F107,TRTN ,"12,293","469,469.67",0.370,Triton International Ltd/Bermuda,Common Stock,Industrials,10/09/2020
PWC,278265103,EV ,"7,767","468,427.77",0.369,Eaton Vance Corp,Common Stock,Financials,10/09/2020
PWC,868459108,SUPN ,"21,582","462,502.26",0.365,Supernus Pharmaceuticals Inc,Common Stock,Health Care,10/09/2020
PWC,089302103,BIG ,"9,161","461,897.62",0.364,Big Lots Inc,Common Stock,Consumer Discretionary,10/09/2020
PWC,G7S00T104,PNR ,"9,306","461,484.54",0.364,Pentair PLC,Common Stock,Industrials,10/09/2020
PWC,16359R103,CHE ,952,"455,979.44",0.360,Chemed Corp,Common Stock,Health Care,10/09/2020
PWC,153527106,CENT ,"10,636","454,157.20",0.358,Central Garden & Pet Co,Common Stock,Consumer Staples,10/09/2020
PWC,218681104,CORE ,"15,075","447,275.25",0.353,Core-Mark Holding Co Inc,Common Stock,Consumer Discretionary,10/09/2020
PWC,21871D103,CLGX ,"6,406","441,885.88",0.348,CoreLogic Inc/United States,Common Stock,Industrials,10/09/2020
PWC,567908108,HZO ,"17,130","441,268.80",0.348,MarineMax Inc,Common Stock,Consumer Discretionary,10/09/2020
PWC,90328M107,USNA ,"5,630","438,914.80",0.346,USANA Health Sciences Inc,Common Stock,Consumer Staples,10/09/2020
PWC,45781M101,INVA ,"41,720","434,722.40",0.343,Innoviva Inc,Common Stock,Health Care,10/09/2020
PWC,205887102,CAG ,"11,456","427,537.92",0.337,Conagra Brands Inc,Common Stock,Consumer Staples,10/09/2020
PWC,501044101,KR ,"12,283","423,149.35",0.334,Kroger Co/The,Common Stock,Consumer Staples,10/09/2020
PWC,75972A301,REGI ,"6,657","421,188.39",0.332,Renewable Energy Group Inc,Common Stock,Energy,10/09/2020
PWC,90278Q108,UFPI ,"7,012","415,390.88",0.328,UFP Industries Inc,Common Stock,Industrials,10/09/2020
PWC,573075108,MRTN ,"23,433","407,499.87",0.321,Marten Transport Ltd,Common Stock,Industrials,10/09/2020
PWC,85208M102,SFM ,"18,096","394,311.84",0.311,Sprouts Farmers Market Inc,Common Stock,Consumer Staples,10/09/2020
PWC,950755108,WERN ,"9,023","393,312.57",0.310,Werner Enterprises Inc,Common Stock,Industrials,10/09/2020
PWC,80689H102,SNDR ,"15,602","388,645.82",0.306,Schneider National Inc,Common Stock,Industrials,10/09/2020
PWC,04316A108,APAM ,"8,435","372,405.25",0.294,Artisan Partners Asset Management Inc,Common Stock,Financials,10/09/2020
PWC,759509102,RS ,"3,238","361,846.50",0.285,Reliance Steel & Aluminum Co,Common Stock,Materials,10/09/2020
PWC,930059100,WDR ,"20,696","351,832.00",0.277,Waddell & Reed Financial Inc,Common Stock,Financials,10/09/2020
PWC,858586100,SCL ,"2,976","343,579.20",0.271,Stepan Co,Common Stock,Materials,10/09/2020
PWC,432748101,HTH ,"15,833","336,451.25",0.265,Hilltop Holdings Inc,Common Stock,Financials,10/09/2020
PWC,81768T108,SFBS ,"8,632","328,620.24",0.259,ServisFirst Bancshares Inc,Common Stock,Financials,10/09/2020
PWC,546347105,LPX ,"10,358","328,245.02",0.259,Louisiana-Pacific Corp,Common Stock,Materials,10/09/2020
PWC,50212V100,LPLA ,"3,952","327,423.20",0.258,LPL Financial Holdings Inc,Common Stock,Financials,10/09/2020
PWC,293712105,EFSC ,"10,598","319,529.70",0.252,Enterprise Financial Services Corp,Common Stock,Financials,10/09/2020
PWC,37959E102,GL ,"3,816","312,110.64",0.246,Globe Life Inc,Common Stock,Financials,10/09/2020
PWC,32026V104,FFWM ,"20,923","299,408.13",0.236,First Foundation Inc,Common Stock,Financials,10/09/2020
PWC,589400100,MCY ,"7,172","292,617.60",0.231,Mercury General Corp,Common Stock,Financials,10/09/2020
PWC,74164M108,PRI ,"2,543","292,114.41",0.230,Primerica Inc,Common Stock,Financials,10/09/2020
PWC,928254101,VIRT ,"12,494","277,991.50",0.219,Virtu Financial Inc,Common Stock,Financials,10/09/2020
PWC,127203107,WHD ,"10,465","213,276.70",0.168,Cactus Inc,Common Stock,Energy,10/09/2020
PWC,G65773106,NAT ,"57,948","211,510.20",0.167,Nordic American Tankers Ltd,Common Stock,Energy,10/09/2020
PWC,G25343107,CZZ ,"13,049","191,428.83",0.151,Cosan Ltd,Common Stock,Energy,10/09/2020
PWC,825252885,AGPXX ,"113,111","113,111.18",0.089,STIT - Government & Agency Portfolio,"Money Market Fund, Taxable			     ",Investment Companies,10/09/2020
PWC,CASHUSD00,-CASH-,-0,-.01,0.000,Cash/Receivables/Payables,Currency,Cash,10/09/2020
