Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
PWV,68389X105,ORCL ,"375,605","22,968,245.75",3.550,Oracle Corp,Common Stock,Information Technology,10/09/2020
PWV,458140100,INTC ,"434,760","22,964,023.20",3.549,Intel Corp,Common Stock,Information Technology,10/09/2020
PWV,907818108,UNP ,"110,457","22,729,841.46",3.513,Union Pacific Corp,Common Stock,Industrials,10/09/2020
PWV,20030N101,CMCSA ,"482,195","21,626,445.75",3.342,Comcast Corp,Common Stock,Communication Services,10/09/2020
PWV,713448108,PEP ,"155,179","21,482,980.76",3.320,PepsiCo Inc,Common Stock,Consumer Staples,10/09/2020
PWV,92343V104,VZ ,"361,385","21,440,972.05",3.314,Verizon Communications Inc,Common Stock,Communication Services,10/09/2020
PWV,110122108,BMY ,"343,578","21,239,991.96",3.283,Bristol Myers Squibb Co,Common Stock,Health Care,10/09/2020
PWV,46625H100,JPM ,"209,837","21,235,504.40",3.282,JPMorgan Chase & Co,Common Stock,Financials,10/09/2020
PWV,478160104,JNJ ,"140,394","21,195,282.18",3.276,Johnson & Johnson,Common Stock,Health Care,10/09/2020
PWV,718172109,PM ,"268,461","21,176,203.68",3.273,Philip Morris International Inc,Common Stock,Consumer Staples,10/09/2020
PWV,060505104,BAC ,"824,455","20,908,178.80",3.231,Bank of America Corp,Common Stock,Financials,10/09/2020
PWV,717081103,PFE ,"567,278","20,870,157.62",3.226,Pfizer Inc,Common Stock,Health Care,10/09/2020
PWV,00206R102,T ,"718,293","20,342,057.76",3.144,AT&T Inc,Common Stock,Communication Services,10/09/2020
PWV,17275R102,CSCO ,"507,852","20,237,902.20",3.128,Cisco Systems Inc,Common Stock,Information Technology,10/09/2020
PWV,00287Y109,ABBV ,"227,753","19,973,938.10",3.087,AbbVie Inc,Common Stock,Health Care,10/09/2020
PWV,842587107,SO ,"176,328","10,357,506.72",1.601,Southern Co/The,Common Stock,Utilities,10/09/2020
PWV,244199105,DE ,"43,864","10,299,705.84",1.592,Deere & Co,Common Stock,Industrials,10/09/2020
PWV,149123101,CAT ,"64,199","10,203,789.06",1.577,Caterpillar Inc,Common Stock,Industrials,10/09/2020
PWV,231021106,CMI ,"44,322","9,897,989.04",1.530,Cummins Inc,Common Stock,Industrials,10/09/2020
PWV,743315103,PGR ,"98,646","9,852,762.48",1.523,Progressive Corp/The,Common Stock,Financials,10/09/2020
PWV,902973304,USB ,"249,173","9,760,106.41",1.508,US Bancorp,Common Stock,Financials,10/09/2020
PWV,808513105,SCHW ,"255,115","9,753,046.45",1.507,Charles Schwab Corp/The,Common Stock,Financials,10/09/2020
PWV,G29183103,ETN ,"90,161","9,695,012.33",1.498,Eaton Corp PLC,Common Stock,Industrials,10/09/2020
PWV,G51502105,JCI ,"225,047","9,670,269.59",1.495,Johnson Controls International plc,Common Stock,Industrials,10/09/2020
PWV,701094104,PH ,"44,296","9,661,400.56",1.493,Parker-Hannifin Corp,Common Stock,Industrials,10/09/2020
PWV,086516101,BBY ,"82,762","9,649,221.58",1.491,Best Buy Co Inc,Common Stock,Consumer Discretionary,10/09/2020
PWV,452308109,ITW ,"46,327","9,529,927.17",1.473,Illinois Tool Works Inc,Common Stock,Industrials,10/09/2020
PWV,693718108,PCAR ,"106,619","9,512,547.18",1.470,PACCAR Inc,Common Stock,Industrials,10/09/2020
PWV,001055102,AFL ,"249,582","9,509,074.20",1.470,Aflac Inc,Common Stock,Financials,10/09/2020
PWV,126408103,CSX ,"120,811","9,481,247.28",1.465,CSX Corp,Common Stock,Industrials,10/09/2020
PWV,09062X103,BIIB ,"32,963","9,445,218.02",1.460,Biogen Inc,Common Stock,Health Care,10/09/2020
PWV,459200101,IBM ,"73,842","9,436,269.18",1.458,International Business Machines Corp,Common Stock,Information Technology,10/09/2020
PWV,21036P108,STZ ,"50,393","9,405,853.45",1.454,Constellation Brands Inc,Common Stock,Consumer Staples,10/09/2020
PWV,59156R108,MET ,"235,592","9,301,172.16",1.438,MetLife Inc,Common Stock,Financials,10/09/2020
PWV,94106L109,WM ,"80,552","9,291,673.20",1.436,Waste Management Inc,Common Stock,Industrials,10/09/2020
PWV,291011104,EMR ,"132,271","9,252,356.45",1.430,Emerson Electric Co,Common Stock,Industrials,10/09/2020
PWV,760759100,RSG ,"99,315","9,250,199.10",1.430,Republic Services Inc,Common Stock,Industrials,10/09/2020
PWV,064058100,BK ,"245,126","9,241,250.20",1.428,Bank of New York Mellon Corp/The,Common Stock,Financials,10/09/2020
