Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
PXE,20825C104,COP ,"20,772","729,720.36",5.305,ConocoPhillips,Common Stock,Energy,10/09/2020
PXE,718546104,PSX ,"13,150","697,476.00",5.071,Phillips 66,Common Stock,Energy,10/09/2020
PXE,20605P101,CXO ,"15,295","688,733.85",5.007,Concho Resources Inc,Common Stock,Energy,10/09/2020
PXE,56585A102,MPC ,"22,655","682,368.60",4.961,Marathon Petroleum Corp,Common Stock,Energy,10/09/2020
PXE,723787107,PXD ,"7,520","662,286.40",4.815,Pioneer Natural Resources Co,Common Stock,Energy,10/09/2020
PXE,26875P101,EOG ,"17,628","662,107.68",4.814,EOG Resources Inc,Common Stock,Energy,10/09/2020
PXE,42809H107,HES ,"17,071","649,722.26",4.723,Hess Corp,Common Stock,Energy,10/09/2020
PXE,91913Y100,VLO ,"14,829","647,137.56",4.705,Valero Energy Corp,Common Stock,Energy,10/09/2020
PXE,03674X106,AR ,"123,145","456,867.95",3.321,Antero Resources Corp,Common Stock,Energy,10/09/2020
PXE,75281A109,RRC ,"54,784","441,559.04",3.210,Range Resources Corp,Common Stock,Energy,10/09/2020
PXE,845467109,SWN ,"149,564","436,726.88",3.175,Southwestern Energy Co,Common Stock,Energy,10/09/2020
PXE,127097103,COG ,"22,665","429,048.45",3.119,Cabot Oil & Gas Corp,Common Stock,Energy,10/09/2020
PXE,12653C108,CNX ,"38,456","408,787.28",2.972,CNX Resources Corp,Common Stock,Energy,10/09/2020
PXE,25179M103,DVN ,"40,170","404,511.90",2.941,Devon Energy Corp,Common Stock,Energy,10/09/2020
PXE,205768302,CRK ,"70,974","401,003.10",2.915,Comstock Resources Inc,Common Stock,Energy,10/09/2020
PXE,576485205,MTDR ,"43,661","399,061.54",2.901,Matador Resources Co,Common Stock,Energy,10/09/2020
PXE,701877102,PE ,"38,942","397,597.82",2.891,Parsley Energy Inc,Common Stock,Energy,10/09/2020
PXE,26884L109,EQT ,"26,765","393,177.85",2.858,EQT Corp,Common Stock,Energy,10/09/2020
PXE,98212B103,WPX ,"74,784","388,876.80",2.827,WPX Energy Inc,Common Stock,Energy,10/09/2020
PXE,171798101,XEC ,"15,283","380,699.53",2.768,Cimarex Energy Co,Common Stock,Energy,10/09/2020
PXE,436106108,HFC ,"17,318","361,426.66",2.628,HollyFrontier Corp,Common Stock,Energy,10/09/2020
PXE,69047Q102,OVV ,"37,784","357,814.48",2.601,Ovintiv Inc,Common Stock,Energy,10/09/2020
PXE,559663109,MGY ,"67,539","348,501.24",2.534,Magnolia Oil & Gas Corp,Common Stock,Energy,10/09/2020
PXE,69327R101,PDCE ,"27,636","345,450.00",2.511,PDC Energy Inc,Common Stock,Energy,10/09/2020
PXE,565849106,MRO ,"80,641","343,530.66",2.497,Marathon Oil Corp,Common Stock,Energy,10/09/2020
PXE,12662P108,CVI ,"25,577","337,104.86",2.451,CVR Energy Inc,Common Stock,Energy,10/09/2020
PXE,25278X109,FANG ,"10,868","333,538.92",2.425,Diamondback Energy Inc,Common Stock,Energy,10/09/2020
PXE,212015101,CLR ,"24,685","332,013.25",2.414,Continental Resources Inc/OK,Common Stock,Energy,10/09/2020
PXE,037411105,APA ,"29,605","286,280.35",2.081,Apache Corp,Common Stock,Energy,10/09/2020
PXE,626717102,MUR ,"30,039","261,038.91",1.898,Murphy Oil Corp,Common Stock,Energy,10/09/2020
PXE,825252885,AGPXX ,"91,049","91,049.16",0.662,STIT - Government & Agency Portfolio,"Money Market Fund, Taxable			     ",Investment Companies,10/09/2020
