Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
PXF,6771720,005930 KS,"306,158","15,848,803.47",1.700,Samsung Electronics Co Ltd,Common Stock,Information Technology,10/09/2020
PXF,7123870,NESN SW,"99,652","11,876,918.20",1.274,Nestle SA,Common Stock,Consumer Staples,10/09/2020
PXF,5529027,DAI ,"196,506","11,185,559.71",1.200,Daimler AG,Common Stock,Consumer Discretionary,10/09/2020
PXF,B15C557,FP FP,"284,065","10,051,471.91",1.078,TOTAL SE,Common Stock,Energy,10/09/2020
PXF,6900643,7203 JP,"121,726","8,026,738.37",0.861,Toyota Motor Corp,Common Stock,Consumer Discretionary,10/09/2020
PXF,B03MLX2,RDSA LN,"602,462","7,959,227.57",0.854,Royal Dutch Shell PLC,Common Stock,Energy,10/09/2020
PXF,5727973,SIE ,"59,555","7,849,497.29",0.842,Siemens AG,Common Stock,Industrials,10/09/2020
PXF,7110388,ROG SW,"22,149","7,793,571.57",0.836,Roche Holding AG,Common Stock,Health Care,10/09/2020
PXF,0798059,BP/ LN,"2,662,639","7,686,656.15",0.824,BP PLC,Common Stock,Energy,10/09/2020
PXF,5231485,ALV ,"38,311","7,610,437.80",0.816,Allianz SE,Common Stock,Financials,10/09/2020
PXF,6770620,9984 JP,"108,710","7,199,317.31",0.772,SoftBank Group Corp,Common Stock,Communication Services,10/09/2020
PXF,B03MM40,RDSB LN,"538,445","6,851,036.54",0.735,Royal Dutch Shell PLC,Common Stock,Energy,10/09/2020
PXF,5086577,BAS ,"102,181","6,644,521.08",0.713,BASF SE,Common Stock,Materials,10/09/2020
PXF,5671735,SAN FP,"63,029","6,427,123.47",0.689,Sanofi,Common Stock,Health Care,10/09/2020
PXF,0540528,HSBA LN,"1,556,409","6,259,226.24",0.671,HSBC Holdings PLC,Common Stock,Financials,10/09/2020
PXF,0287580,BATS LN,"176,892","6,230,947.46",0.668,British American Tobacco PLC,Common Stock,Consumer Staples,10/09/2020
PXF,6144690,BHP ,"231,358","6,116,689.20",0.656,BHP Group Ltd,Common Stock,Materials,10/09/2020
PXF,2754383,RY ,"81,183","6,017,103.85",0.645,Royal Bank of Canada,Common Stock,Financials,10/09/2020
PXF,7103065,NOVN SW,"67,274","5,951,871.05",0.638,Novartis AG,Common Stock,Health Care,10/09/2020
PXF,7309681,BNP FP,"149,431","5,900,139.20",0.633,BNP Paribas SA,Common Stock,Financials,10/09/2020
PXF,0718875,RIO LN,"92,270","5,757,362.85",0.618,Rio Tinto PLC,Common Stock,Materials,10/09/2020
PXF,0925288,GSK LN,"292,114","5,494,871.39",0.589,GlaxoSmithKline PLC,Common Stock,Health Care,10/09/2020
PXF,5842359,DTE ,"315,230","5,361,105.09",0.575,Deutsche Telekom AG,Common Stock,Communication Services,10/09/2020
PXF,5705946,SAN ,"2,626,160","5,255,931.51",0.564,Banco Santander SA,Common Stock,Financials,10/09/2020
PXF,7144569,ENEL ,"587,980","5,226,686.48",0.561,Enel SpA,Common Stock,Utilities,10/09/2020
PXF,5497168,VOW3 ,"30,943","5,032,517.48",0.540,Volkswagen AG,Preference			     ,Consumer Discretionary,10/09/2020
PXF,2897222,TD ,"105,634","4,949,344.37",0.531,Toronto-Dominion Bank/The,Common Stock,Financials,10/09/2020
PXF,7088429,CS FP,"257,181","4,921,095.11",0.528,AXA SA,Common Stock,Financials,10/09/2020
