Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
PXH,6889106,2330 TT,"3,760,000","59,370,490.43",5.936,Taiwan Semiconductor Manufacturing Co Ltd,Common Stock,Information Technology,10/09/2020
PXH,B0LMTQ3,939 HK,"53,814,770","34,857,858.39",3.485,China Construction Bank Corp,Common Stock,Financials,10/09/2020
PXH,01609W102,BABA ,"90,906","27,248,164.44",2.724,Alibaba Group Holding Ltd ADR,American Depository Receipt,Consumer Discretionary,10/09/2020
PXH,B1G1QD8,1398 HK,"43,534,875","22,525,641.61",2.252,Industrial & Commercial Bank of China Ltd,Common Stock,Financials,10/09/2020
PXH,B59L4L7,GAZP RM,"9,242,685","20,130,040.19",2.013,Gazprom PJSC,Common Stock,Energy,10/09/2020
PXH,6073556,941 HK,"3,035,007","19,560,983.43",1.956,China Mobile Ltd,Common Stock,Communication Services,10/09/2020
PXH,BMMV2K8,700 HK,"256,814","17,877,452.79",1.788,Tencent Holdings Ltd,Common Stock,Communication Services,10/09/2020
PXH,6099626,RIL ,"565,329","17,262,069.25",1.726,Reliance Industries Ltd,Common Stock,Energy,10/09/2020
PXH,2196286,VALE3 ,"1,462,138","16,294,031.06",1.629,Vale SA,Common Stock,Materials,10/09/2020
PXH,B154564,3988 HK,"47,807,311","14,743,062.73",1.474,Bank of China Ltd,Common Stock,Financials,10/09/2020
PXH,6438564,2317 TT,"5,197,064","14,129,840.43",1.413,Hon Hai Precision Industry Co Ltd,Common Stock,Information Technology,10/09/2020
PXH,B59SNS8,LKOH RM,"237,689","13,799,347.69",1.380,LUKOIL PJSC,Common Stock,Energy,10/09/2020
PXH,B01FLR7,2318 HK,"1,293,509","13,485,787.47",1.348,Ping An Insurance Group Co of China Ltd,Common Stock,Financials,10/09/2020
PXH,4767981,SBER RM,"4,580,355","12,300,262.42",1.230,Sberbank of Russia PJSC,Common Stock,Financials,10/09/2020
PXH,B037HR3,ITUB4 ,"2,588,175","11,237,361.27",1.124,Itau Unibanco Holding SA,Preference			     ,Financials,10/09/2020
PXH,6205122,INFO ,"666,986","10,092,557.31",1.009,Infosys Ltd,Common Stock,Information Technology,10/09/2020
PXH,6291819,386 HK,"24,619,554","10,070,126.80",1.007,China Petroleum & Chemical Corp,Common Stock,Energy,10/09/2020
