Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
PXI,16411R208,LNG ,"18,331","885,203.99",5.027,Cheniere Energy Inc,Common Stock,Energy,10/09/2020
PXI,91913Y100,VLO ,"18,661","814,366.04",4.624,Valero Energy Corp,Common Stock,Energy,10/09/2020
PXI,969457100,WMB ,"38,769","752,893.98",4.275,Williams Cos Inc/The,Common Stock,Energy,10/09/2020
PXI,20825C104,COP ,"20,122","706,885.86",4.014,ConocoPhillips,Common Stock,Energy,10/09/2020
PXI,127097103,COG ,"33,843","640,647.99",3.638,Cabot Oil & Gas Corp,Common Stock,Energy,10/09/2020
PXI,75972A301,REGI ,"10,068","637,002.36",3.617,Renewable Energy Group Inc,Common Stock,Energy,10/09/2020
PXI,166764100,CVX ,"8,518","630,332.00",3.579,Chevron Corp,Common Stock,Energy,10/09/2020
PXI,406216101,HAL ,"49,356","620,898.48",3.526,Halliburton Co,Common Stock,Energy,10/09/2020
PXI,701877102,PE ,"59,246","604,901.66",3.435,Parsley Energy Inc,Common Stock,Energy,10/09/2020
PXI,42809H107,HES ,"14,498","551,793.88",3.133,Hess Corp,Common Stock,Energy,10/09/2020
PXI,718546104,PSX ,"10,178","539,841.12",3.066,Phillips 66,Common Stock,Energy,10/09/2020
PXI,56585A102,MPC ,"16,503","497,070.36",2.823,Marathon Petroleum Corp,Common Stock,Energy,10/09/2020
PXI,75281A109,RRC ,"60,621","488,605.26",2.775,Range Resources Corp,Common Stock,Energy,10/09/2020
PXI,037411105,APA ,"50,310","486,497.70",2.763,Apache Corp,Common Stock,Energy,10/09/2020
PXI,87612G101,TRGP ,"28,717","481,584.09",2.735,Targa Resources Corp,Common Stock,Energy,10/09/2020
PXI,576485205,MTDR ,"52,402","478,954.28",2.720,Matador Resources Co,Common Stock,Energy,10/09/2020
PXI,723787107,PXD ,"5,163","454,705.41",2.582,Pioneer Natural Resources Co,Common Stock,Energy,10/09/2020
PXI,12653C108,CNX ,"39,431","419,151.53",2.380,CNX Resources Corp,Common Stock,Energy,10/09/2020
PXI,15872M104,CHX ,"45,725","394,606.75",2.241,ChampionX Corp,Common Stock,Energy,10/09/2020
PXI,49456B101,KMI ,"30,303","388,484.46",2.206,Kinder Morgan Inc,Common Stock,Energy,10/09/2020
PXI,294600101,ETRN ,"44,101","370,448.40",2.104,Equitrans Midstream Corp,Common Stock,Energy,10/09/2020
PXI,171798101,XEC ,"14,368","357,906.88",2.032,Cimarex Energy Co,Common Stock,Energy,10/09/2020
PXI,03676B102,AM ,"58,451","346,614.43",1.968,Antero Midstream Corp,Common Stock,Energy,10/09/2020
PXI,25179M103,DVN ,"34,329","345,693.03",1.963,Devon Energy Corp,Common Stock,Energy,10/09/2020
PXI,G6359F137,NBR ,"11,878","336,028.62",1.908,Nabors Industries Ltd,Common Stock,Energy,10/09/2020
PXI,25278X109,FANG ,"10,491","321,968.79",1.828,Diamondback Energy Inc,Common Stock,Energy,10/09/2020
PXI,20605P101,CXO ,"6,620","298,098.60",1.693,Concho Resources Inc,Common Stock,Energy,10/09/2020
PXI,30231G102,XOM ,"8,499","295,255.26",1.677,Exxon Mobil Corp,Common Stock,Energy,10/09/2020
PXI,565849106,MRO ,"67,717","288,474.42",1.638,Marathon Oil Corp,Common Stock,Energy,10/09/2020
PXI,806857108,SLB ,"17,726","287,692.98",1.634,Schlumberger NV,Common Stock,Energy,10/09/2020
PXI,69327R101,PDCE ,"22,883","286,037.50",1.624,PDC Energy Inc,Common Stock,Energy,10/09/2020
PXI,205768302,CRK ,"50,321","284,313.65",1.615,Comstock Resources Inc,Common Stock,Energy,10/09/2020
PXI,674599105,OXY ,"26,147","282,910.54",1.607,Occidental Petroleum Corp,Common Stock,Energy,10/09/2020
PXI,98212B103,WPX ,"54,273","282,219.60",1.603,WPX Energy Inc,Common Stock,Energy,10/09/2020
PXI,05722G100,BKR ,"21,372","282,110.40",1.602,Baker Hughes Co,Common Stock,Energy,10/09/2020
PXI,N22717107,CLB ,"15,951","260,160.81",1.477,Core Laboratories NV,Common Stock,Energy,10/09/2020
PXI,03940R107,ARCH ,"5,887","237,069.49",1.346,Arch Resources Inc,Common Stock,Energy,10/09/2020
PXI,626717102,MUR ,"25,830","224,462.70",1.275,Murphy Oil Corp,Common Stock,Energy,10/09/2020
PXI,70788V102,PVAC ,"20,959","210,428.36",1.195,Penn Virginia Corp,Common Stock,Energy,10/09/2020
PXI,93627C101,HCC ,"12,051","199,685.07",1.134,Warrior Met Coal Inc,Common Stock,Materials,10/09/2020
PXI,637071101,NOV ,"21,312","192,873.60",1.095,National Oilwell Varco Inc,Common Stock,Energy,10/09/2020
PXI,825252885,AGPXX ,"145,029","145,028.94",0.824,STIT - Government & Agency Portfolio,"Money Market Fund, Taxable			     ",Investment Companies,10/09/2020
