Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
PXJ,G87110105,FTI ,"62,730","443,501.10",7.270,TECHNIPFMC PLC,Common Stock,Energy,10/09/2020
PXJ,423452101,HP ,"28,703","431,119.06",7.067,Helmerich & Payne Inc,Common Stock,Energy,10/09/2020
PXJ,05722G100,BKR ,"32,366","427,231.20",7.003,Baker Hughes Co,Common Stock,Energy,10/09/2020
PXJ,G3682E192,FRO ,"61,358","414,780.08",6.799,Frontline Ltd/Bermuda,Common Stock,Energy,10/09/2020
PXJ,806857108,SLB ,"25,495","413,783.85",6.783,Schlumberger NV,Common Stock,Energy,10/09/2020
PXJ,15872M104,CHX ,"46,286","399,448.18",6.548,ChampionX Corp,Common Stock,Energy,10/09/2020
PXJ,406216101,HAL ,"29,760","374,380.80",6.137,Halliburton Co,Common Stock,Energy,10/09/2020
PXJ,637071101,NOV ,"39,499","357,465.95",5.859,National Oilwell Varco Inc,Common Stock,Energy,10/09/2020
PXJ,Y2065G121,DHT ,"62,443","334,694.48",5.486,DHT Holdings Inc,Common Stock,Energy,10/09/2020
PXJ,Y7542C130,STNG ,"27,954","316,998.36",5.196,Scorpio Tankers Inc,Common Stock,Energy,10/09/2020
PXJ,90290N109,USAC ,"27,783","298,111.59",4.887,USA Compression Partners LP,Partnership Interest			     ,Energy,10/09/2020
PXJ,749660106,RES ,"102,859","290,062.38",4.755,RPC Inc,Common Stock,Energy,10/09/2020
PXJ,127203107,WHD ,"13,897","283,220.86",4.642,Cactus Inc,Common Stock,Energy,10/09/2020
PXJ,03957W106,AROC ,"48,377","281,554.14",4.615,Archrock Inc,Common Stock,Energy,10/09/2020
PXJ,703481101,PTEN ,"82,554","244,359.84",4.005,Patterson-UTI Energy Inc,Common Stock,Energy,10/09/2020
PXJ,N22717107,CLB ,"14,715","240,001.65",3.934,Core Laboratories NV,Common Stock,Energy,10/09/2020
PXJ,262037104,DRQ ,"9,502","234,604.38",3.846,Dril-Quip Inc,Common Stock,Energy,10/09/2020
PXJ,H8817H100,RIG ,"254,267","219,635.83",3.600,Transocean Ltd,Common Stock,Energy,10/09/2020
PXJ,825252885,AGPXX ,"95,735","95,735.36",1.569,STIT - Government & Agency Portfolio,"Money Market Fund, Taxable			     ",Investment Companies,10/09/2020
