Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
PXQ,23804L103,DDOG ,"31,739","3,548,102.81",6.481,Datadog Inc,Common Stock,Information Technology,10/09/2020
PXQ,620076307,MSI ,"17,466","2,912,979.48",5.321,Motorola Solutions Inc,Common Stock,Information Technology,10/09/2020
PXQ,679295105,OKTA ,"12,138","2,870,030.10",5.242,Okta Inc,Common Stock,Information Technology,10/09/2020
PXQ,747525103,QCOM ,"22,853","2,853,654.11",5.212,QUALCOMM Inc,Common Stock,Information Technology,10/09/2020
PXQ,928563402,VMW ,"18,555","2,810,711.40",5.134,VMware Inc,Common Stock,Information Technology,10/09/2020
PXQ,032095101,APH ,"24,528","2,783,682.72",5.084,Amphenol Corp,Common Stock,Information Technology,10/09/2020
PXQ,17275R102,CSCO ,"62,697","2,498,475.45",4.563,Cisco Systems Inc,Common Stock,Information Technology,10/09/2020
PXQ,037833100,AAPL ,"21,210","2,480,933.70",4.531,Apple Inc,Common Stock,Information Technology,10/09/2020
PXQ,22788C105,CRWD ,"12,348","1,772,802.36",3.238,Crowdstrike Holdings Inc,Common Stock,Information Technology,10/09/2020
PXQ,88025T102,TENB ,"39,896","1,628,155.76",2.974,Tenable Holdings Inc,Common Stock,Information Technology,10/09/2020
PXQ,98980G102,ZS ,"10,423","1,583,879.08",2.893,Zscaler Inc,Common Stock,Information Technology,10/09/2020
PXQ,45772F107,IPHI ,"12,950","1,581,065.50",2.888,Inphi Corp,Common Stock,Information Technology,10/09/2020
PXQ,M15342104,AUDC ,"45,652","1,553,537.56",2.838,AudioCodes Ltd,Common Stock,Information Technology,10/09/2020
PXQ,90353W103,UI ,"7,861","1,488,794.79",2.719,Ubiquiti Inc,Common Stock,Information Technology,10/09/2020
PXQ,64111Q104,NTGR ,"43,353","1,483,106.13",2.709,NETGEAR Inc,Common Stock,Information Technology,10/09/2020
PXQ,922280102,VRNS ,"11,782","1,474,635.12",2.693,Varonis Systems Inc,Common Stock,Information Technology,10/09/2020
PXQ,64115T104,NTCT ,"62,017","1,462,981.03",2.672,NetScout Systems Inc,Common Stock,Information Technology,10/09/2020
PXQ,268150109,DT ,"33,886","1,458,792.30",2.664,Dynatrace Inc,Common Stock,Information Technology,10/09/2020
PXQ,13100M509,CALX ,"70,825","1,441,997.00",2.634,Calix Inc,Common Stock,Information Technology,10/09/2020
PXQ,00971T101,AKAM ,"12,680","1,426,880.40",2.606,Akamai Technologies Inc,Common Stock,Information Technology,10/09/2020
PXQ,M22465104,CHKP ,"11,332","1,418,539.76",2.591,Check Point Software Technologies Ltd,Common Stock,Information Technology,10/09/2020
PXQ,177376100,CTXS ,"10,168","1,417,724.24",2.589,Citrix Systems Inc,Common Stock,Information Technology,10/09/2020
PXQ,55024U109,LITE ,"17,130","1,417,336.20",2.589,Lumentum Holdings Inc,Common Stock,Information Technology,10/09/2020
PXQ,81374A105,SCWX ,"118,739","1,398,745.42",2.555,SecureWorks Corp,Common Stock,Information Technology,10/09/2020
PXQ,H2906T109,GRMN ,"14,100","1,393,362.00",2.545,Garmin Ltd,Common Stock,Consumer Discretionary,10/09/2020
PXQ,34959E109,FTNT ,"10,951","1,381,797.18",2.524,Fortinet Inc,Common Stock,Information Technology,10/09/2020
PXQ,20337X109,COMM ,"140,960","1,357,444.80",2.479,CommScope Holding Co Inc,Common Stock,Information Technology,10/09/2020
PXQ,74758T303,QLYS ,"13,552","1,353,844.80",2.473,Qualys Inc,Common Stock,Information Technology,10/09/2020
PXQ,31816Q101,FEYE ,"98,586","1,338,797.88",2.445,FireEye Inc,Common Stock,Information Technology,10/09/2020
PXQ,171779309,CIEN ,"25,830","1,111,464.90",2.030,Ciena Corp,Common Stock,Information Technology,10/09/2020
PXQ,825252885,AGPXX ,"45,502","45,501.55",0.083,STIT - Government & Agency Portfolio,"Money Market Fund, Taxable			     ",Investment Companies,10/09/2020
