Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
PYZ,693506107,PPG ,"13,262","1,802,040.56",3.734,PPG Industries Inc,Common Stock,Materials,10/09/2020
PYZ,009158106,APD ,"5,814","1,747,688.40",3.621,Air Products and Chemicals Inc,Common Stock,Materials,10/09/2020
PYZ,053611109,AVY ,"13,228","1,726,254.00",3.577,Avery Dennison Corp,Common Stock,Materials,10/09/2020
PYZ,05352A100,AVTR ,"68,605","1,679,450.40",3.480,Avantor Inc,Common Stock,Health Care,10/09/2020
PYZ,35671D857,FCX ,"96,786","1,667,622.78",3.455,Freeport-McMoRan Inc,Common Stock,Materials,10/09/2020
PYZ,302491303,FMC ,"15,249","1,647,196.98",3.413,FMC Corp,Common Stock,Materials,10/09/2020
PYZ,61945C103,MOS ,"79,596","1,568,837.16",3.251,Mosaic Co/The,Common Stock,Materials,10/09/2020
PYZ,651639106,NEM ,"24,859","1,561,642.38",3.236,Newmont Corp,Common Stock,Materials,10/09/2020
PYZ,278865100,ECL ,"7,665","1,557,221.40",3.227,Ecolab Inc,Common Stock,Materials,10/09/2020
PYZ,422704106,HL ,"269,012","1,487,636.36",3.082,Hecla Mining Co,Common Stock,Materials,10/09/2020
PYZ,012653101,ALB ,"14,041","1,348,357.23",2.794,Albemarle Corp,Common Stock,Materials,10/09/2020
PYZ,150870103,CE ,"11,026","1,299,303.84",2.692,Celanese Corp,Common Stock,Materials,10/09/2020
PYZ,163851108,CC ,"55,091","1,266,542.09",2.624,Chemours Co/The,Common Stock,Materials,10/09/2020
PYZ,749685103,RPM ,"14,278","1,245,612.72",2.581,RPM International Inc,Common Stock,Materials,10/09/2020
PYZ,185899101,CLF ,"164,515","1,242,088.25",2.574,Cleveland-Cliffs Inc,Common Stock,Materials,10/09/2020
PYZ,277432100,EMN ,"12,995","1,119,649.20",2.320,Eastman Chemical Co,Common Stock,Materials,10/09/2020
PYZ,N53745100,LYB ,"13,893","1,109,217.12",2.298,LyondellBasell Industries NV,Common Stock,Materials,10/09/2020
PYZ,260557103,DOW ,"22,306","1,101,024.16",2.281,Dow Inc,Common Stock,Materials,10/09/2020
PYZ,013872106,AA ,"85,172","1,066,353.44",2.210,Alcoa Corp,Common Stock,Materials,10/09/2020
PYZ,962166104,WY ,"34,944","1,024,558.08",2.123,Weyerhaeuser Co,Real Estate Investment Trust			     ,Real Estate,10/09/2020
PYZ,03966V107,ARNC ,"45,134","1,023,187.78",2.120,Arconic Corp,Common Stock,Materials,10/09/2020
PYZ,26614N102,DD ,"16,841","998,839.71",2.070,DuPont de Nemours Inc,Common Stock,Materials,10/09/2020
PYZ,53814L108,LTHM ,"86,015","983,151.45",2.037,Livent Corp,Common Stock,Materials,10/09/2020
PYZ,192108504,CDE ,"117,788","965,861.60",2.001,Coeur Mining Inc,Common Stock,Materials,10/09/2020
PYZ,680665205,OLN ,"56,637","870,510.69",1.804,Olin Corp,Common Stock,Materials,10/09/2020
PYZ,759509102,RS ,"7,603","849,635.25",1.761,Reliance Steel & Aluminum Co,Common Stock,Materials,10/09/2020
PYZ,91336L107,UNVR ,"45,013","814,285.17",1.687,Univar Solutions Inc,Common Stock,Industrials,10/09/2020
PYZ,737630103,PCH ,"17,439","812,831.79",1.684,PotlatchDeltic Corp,Real Estate Investment Trust			     ,Real Estate,10/09/2020
PYZ,201723103,CMC ,"35,308","799,373.12",1.656,Commercial Metals Co,Common Stock,Materials,10/09/2020
PYZ,960413102,WLK ,"11,540","797,183.20",1.652,Westlake Chemical Corp,Common Stock,Materials,10/09/2020
PYZ,747316107,KWR ,"4,013","780,408.11",1.617,Quaker Chemical Corp,Common Stock,Materials,10/09/2020
PYZ,546347105,LPX ,"24,483","775,866.27",1.608,Louisiana-Pacific Corp,Common Stock,Materials,10/09/2020
PYZ,858119100,STLD ,"23,782","774,817.56",1.605,Steel Dynamics Inc,Common Stock,Materials,10/09/2020
PYZ,393222104,GPRE ,"47,243","769,352.26",1.594,Green Plains Inc,Common Stock,Energy,10/09/2020
PYZ,447011107,HUN ,"31,358","767,643.84",1.591,Huntsman Corp,Common Stock,Materials,10/09/2020
PYZ,780287108,RGLD ,"6,253","759,676.97",1.574,Royal Gold Inc,Common Stock,Materials,10/09/2020
PYZ,05368V106,AVNT ,"23,923","759,076.79",1.573,Avient Corp,Common Stock,Materials,10/09/2020
PYZ,359694106,FUL ,"14,890","735,863.80",1.525,HB Fuller Co,Common Stock,Materials,10/09/2020
PYZ,257559203,UFS ,"26,346","727,939.98",1.508,Domtar Corp,Common Stock,Materials,10/09/2020
PYZ,981811102,WOR ,"15,218","727,876.94",1.508,Worthington Industries Inc,Common Stock,Materials,10/09/2020
PYZ,92047W101,VVV ,"36,271","726,145.42",1.505,Valvoline Inc,Common Stock,Materials,10/09/2020
PYZ,45688C107,NGVT ,"11,967","710,480.79",1.472,Ingevity Corp,Common Stock,Materials,10/09/2020
PYZ,858586100,SCL ,"6,075","701,358.75",1.453,Stepan Co,Common Stock,Materials,10/09/2020
PYZ,20451N101,CMP ,"9,877","630,547.68",1.307,Compass Minerals International Inc,Common Stock,Materials,10/09/2020
PYZ,156431108,CENX ,"77,615","618,591.55",1.282,Century Aluminum Co,Common Stock,Materials,10/09/2020
PYZ,825252885,AGPXX ,"112,007","112,006.99",0.232,STIT - Government & Agency Portfolio,"Money Market Fund, Taxable			     ",Investment Companies,10/09/2020
