Fund Ticker, Holding Ticker,Security Identifier, Name, CouponRate, MaturityDate, Effective Date, Next_Call_Date, rating, Shares/Par Value, MarketValue, PercentageOfFund, PositionDate 
PZA,,64972GXD1,New York City Water & Sewer System,5.00,06/15/2048,06/10/2020,06/15/2030,AA+/Aa1,"32,500,000",4.0475825E7,1.52,10/09/2020
PZA,,5444956V1,Los Angeles Department of Water & Power Power System Revenue,5.25,07/01/2049,02/07/2019,01/01/2029,AA-/Aa2,"30,025,000",3.7811083E7,1.42,10/09/2020
PZA,,797356BA9,San Diego Unified School District/CA,5.00,07/01/2022,08/27/2020,N/A,NR/Aa2,"32,490,000",3.5180172E7,1.32,10/09/2020
PZA,,072024WC2,Bay Area Toll Authority,.06,04/01/2047,08/01/2019,10/11/2020,AA+/Aa1,"31,995,000",3.1995E7,1.20,10/09/2020
PZA,,64990GZS4,New York State Dormitory Authority,3.00,09/01/2050,02/20/2020,03/01/2030,AA/A2,"30,325,000",3.095576E7,1.16,10/09/2020
PZA,,64966HXT2,City of New York NY,.10,03/01/2039,03/30/2010,10/13/2020,AA/Aa2,"29,975,000",2.9975E7,1.13,10/09/2020
PZA,,64990FXG4,New York State Dormitory Authority,5.00,03/31/2021,06/18/2020,N/A,SP-1+/MIG1,"25,000,000",2.55595E7,0.96,10/09/2020
PZA,,167727UJ3,City of Chicago IL Wastewater Transmission Revenue,5.00,01/01/2037,09/13/2012,01/01/2022,AA/A2,"24,375,000",2.54109375E7,0.96,10/09/2020
PZA,,949289PX4,Weld County School District No 6 Greeley,5.00,12/01/2044,01/30/2020,12/01/2029,AA/Aa2,"20,000,000",2.53608E7,0.95,10/09/2020
PZA,,949255HC0,Weld County School District No RE-2 Eaton,5.00,12/01/2044,12/19/2019,12/01/2029,AA/Aa2,"19,550,000",2.4696342E7,0.93,10/09/2020
PZA,,797356BB7,San Diego Unified School District/CA,4.00,07/01/2050,08/27/2020,07/01/2030,NR/Aa2,"20,000,000",2.35634E7,0.89,10/09/2020
PZA,,703023PY1,Patchogue-Medford Union Free School District,3.00,06/25/2021,09/22/2020,N/A,NR/NR,"20,000,000",2.03772E7,0.77,10/09/2020
PZA,,574300MP1,Maryland State Transportation Authority,4.00,07/01/2050,06/25/2020,07/01/2030,AA-/Aa2,"17,500,000",2.0265875E7,0.76,10/09/2020
PZA,,432308K60,Hillsborough County Aviation Authority,5.00,10/01/2048,11/07/2018,10/01/2028,A+/Aa3,"16,745,000",1.9943295E7,0.75,10/09/2020
PZA,,79766DGG8,San Francisco City & County Airport Comm-San Francisco Inter,5.00,05/01/2046,09/29/2016,05/01/2026,A/A1,"17,315,000",1.99070555E7,0.75,10/09/2020
PZA,,052414SS9,City of Austin TX Electric Utility Revenue,5.00,11/15/2049,08/21/2019,11/15/2029,AA/Aa3,"15,000,000",1.893705E7,0.71,10/09/2020
PZA,,575579J57,Massachusetts Bay Transportation Authority,5.00,07/01/2050,06/11/2020,07/01/2028,AA/Aa3,"15,380,000",1.87423756E7,0.70,10/09/2020
PZA,,45750TAC7,Inland Valley Development Agency,5.00,09/01/2044,05/15/2014,03/01/2024,AA/NR,"17,000,000",1.872601E7,0.70,10/09/2020
PZA,,797356BX9,San Diego Unified School District/CA,2.00,07/01/2045,08/27/2020,07/01/2030,NR/Aa2,"20,000,000",1.84154E7,0.69,10/09/2020
PZA,,167593M74,Chicago O'Hare International Airport,4.00,01/01/2053,12/12/2018,01/01/2029,AA/NR,"16,375,000",1.793308125E7,0.67,10/09/2020
PZA,,786134WA0,Sacramento County Sanitation Districts Financing Authority,5.00,12/01/2050,07/14/2020,12/01/2030,AA/Aa2,"13,600,000",1.7731816E7,0.67,10/09/2020
PZA,-CASH-,CASHUSD00,Cash/Receivables/Payables,.00,,,N/A,NR/NR,"17,487,540",1.748754015E7,0.66,10/09/2020
PZA,,7973555Y6,San Diego Unified School District/CA,5.00,07/01/2047,11/01/2017,07/01/2027,NR/Aa2,"14,165,000",1.71880943E7,0.65,10/09/2020
PZA,,709224EQ8,Pennsylvania Turnpike Commission,5.25,12/01/2039,10/28/2014,12/01/2024,A/A3,"15,000,000",1.689465E7,0.64,10/09/2020
PZA,,4952894S6,County of King WA Sewer Revenue,5.00,07/01/2039,10/12/2016,07/01/2023,AA+/Aa1,"14,695,000",1.660314575E7,0.62,10/09/2020
PZA,,544532AQ7,Los Angeles Department of Water & Power,5.00,07/01/2044,12/23/2019,07/01/2029,NR/Aa2,"12,360,000",1.55375088E7,0.58,10/09/2020
PZA,,584283HC2,Medford Hospital Facilities Authority,3.00,08/15/2050,07/21/2020,08/15/2030,AA/NR,"15,000,000",1.52349E7,0.57,10/09/2020
PZA,,130178JD9,California Educational Facilities Authority,5.00,03/15/2039,06/19/2007,N/A,AAA/Aaa,"10,000,000",1.48475E7,0.56,10/09/2020
PZA,,161036QA9,City of Charlotte NC Airport Special Facilities Revenue,5.00,07/01/2049,06/20/2019,07/01/2029,NR/Aa3,"11,750,000",1.42683775E7,0.54,10/09/2020
PZA,,23542JSB2,City of Dallas TX Waterworks & Sewer System Revenue,5.00,10/01/2045,07/07/2020,10/01/2030,AAA/NR,"11,000,000",1.418043E7,0.53,10/09/2020
PZA,,68641HNM2,City of Orlando FL,5.00,10/01/2048,11/29/2018,10/01/2028,AA+/Aa2,"11,185,000",1.37682876E7,0.52,10/09/2020
PZA,,13077DAY8,California State University,5.00,11/01/2047,03/09/2017,05/01/2027,AA-/Aa2,"11,310,000",1.36562595E7,0.51,10/09/2020
PZA,,57582RVX1,Commonwealth of Massachusetts,5.25,01/01/2044,01/17/2019,01/01/2029,AA/Aa1,"10,675,000",1.35117745E7,0.51,10/09/2020
PZA,,66285WWD4,North Texas Tollway Authority,5.00,01/01/2048,11/01/2017,01/01/2028,A+/A1,"11,270,000",1.34662976E7,0.51,10/09/2020
