Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
PZD,83417M104,SEDG ,"47,211","14,415,878.85",4.489,SolarEdge Technologies Inc,Common Stock,Information Technology,10/09/2020
PZD,29355A107,ENPH ,"118,448","12,932,152.64",4.027,Enphase Energy Inc,Common Stock,Information Technology,10/09/2020
PZD,5964651,VWS DC,"57,121","9,884,016.35",3.078,Vestas Wind Systems A/S,Common Stock,Industrials,10/09/2020
PZD,B01CP21,SGRE ,"330,895","9,765,573.39",3.041,Siemens Gamesa Renewable Energy SA,Common Stock,Industrials,10/09/2020
PZD,03662Q105,ANSS ,"28,586","9,628,336.52",2.998,ANSYS Inc,Common Stock,Information Technology,10/09/2020
PZD,5972643,ERF FP,"11,311","9,389,106.33",2.924,Eurofins Scientific SE,Common Stock,Health Care,10/09/2020
PZD,98419M100,XYL ,"102,857","9,317,815.63",2.901,Xylem Inc/NY,Common Stock,Industrials,10/09/2020
PZD,052769106,ADSK ,"38,902","9,239,225.00",2.877,Autodesk Inc,Common Stock,Information Technology,10/09/2020
PZD,4491235,KSP ,"101,746","9,195,892.57",2.864,Kingspan Group PLC,Common Stock,Industrials,10/09/2020
PZD,896239100,TRMB ,"177,341","9,111,780.58",2.837,Trimble Inc,Common Stock,Information Technology,10/09/2020
PZD,7108899,ABBN SW,"339,127","9,057,521.61",2.820,ABB Ltd,Common Stock,Industrials,10/09/2020
PZD,4834108,SU FP,"69,922","8,971,370.17",2.794,Schneider Electric SE,Common Stock,Industrials,10/09/2020
PZD,G51502105,JCI ,"205,493","8,830,034.21",2.750,Johnson Controls International plc,Common Stock,Industrials,10/09/2020
PZD,86771W105,RUN ,"123,219","8,801,533.17",2.741,Sunrun Inc,Common Stock,Industrials,10/09/2020
PZD,4824778,SGSN SW,"3,283","8,786,355.16",2.736,SGS SA,Common Stock,Industrials,10/09/2020
PZD,B798FW0,NZYMB DC,"134,876","8,682,338.06",2.704,Novozymes A/S,Common Stock,Materials,10/09/2020
PZD,3163836,ITRK LN,"107,491","8,645,677.16",2.692,Intertek Group PLC,Common Stock,Industrials,10/09/2020
PZD,099724106,BWA ,"200,111","7,928,397.82",2.469,BorgWarner Inc,Common Stock,Consumer Discretionary,10/09/2020
PZD,G8060N102,ST ,"165,696","7,910,327.04",2.463,Sensata Technologies Holding PLC,Common Stock,Industrials,10/09/2020
PZD,BF44466,UMI ,"166,409","7,406,065.36",2.306,Umicore SA,Common Stock,Materials,10/09/2020
PZD,225447101,CREE ,"103,733","7,213,592.82",2.246,Cree Inc,Common Stock,Information Technology,10/09/2020
PZD,257651109,DCI ,"135,392","6,906,345.92",2.151,Donaldson Co Inc,Common Stock,Industrials,10/09/2020
PZD,686688102,ORA ,"92,597","6,710,504.59",2.090,Ormat Technologies Inc,Common Stock,Utilities,10/09/2020
PZD,739276103,POWI ,"109,071","6,606,430.47",2.057,Power Integrations Inc,Common Stock,Information Technology,10/09/2020
PZD,4730875,TOM ,"143,675","6,354,836.16",1.979,TOMRA Systems ASA,Common Stock,Industrials,10/09/2020
