Fund Ticker, Holding Ticker,Security Identifier, Name, CouponRate, MaturityDate, Effective Date, Next_Call_Date, rating, Shares/Par Value, MarketValue, PercentageOfFund, PositionDate 
PZT,,64990FGM0,New York State Dormitory Authority,4.00,02/15/2044,10/13/2017,08/15/2027,AA+/Aa2,"5,000,000",5529650.0,5.50,10/09/2020
PZT,,07133AHK1,Battery Park City Authority,5.00,11/01/2049,08/06/2019,11/01/2029,NR/Aaa,"2,500,000",3158450.0,3.14,10/09/2020
PZT,,68276FDP2,Onondaga County Trust for Cultural Resources,5.00,12/01/2043,12/19/2019,12/01/2029,AA-/Aa3,"2,500,000",3156925.0,3.14,10/09/2020
PZT,,64971PJP1,New York City Industrial Development Agency,6.50,01/01/2046,02/05/2009,11/12/2020,AA/A3,"2,500,000",2510525.0,2.50,10/09/2020
PZT,,64990GVH2,New York State Dormitory Authority,5.00,07/01/2050,11/26/2019,07/01/2029,AA/Aa1,"2,000,000",2491140.0,2.48,10/09/2020
PZT,,91802REJ4,Utility Debt Securitization Authority,5.00,12/15/2038,11/21/2017,12/15/2027,AAA/Aaa,"2,000,000",2487180.0,2.47,10/09/2020
PZT,,64966QFM7,City of New York NY,5.00,10/01/2039,10/22/2019,10/01/2029,AA/Aa2,"2,000,000",2455500.0,2.44,10/09/2020
PZT,,5426903C4,Long Island Power Authority,5.00,09/01/2044,12/16/2014,09/01/2024,A/A2,"2,000,000",2285980.0,2.27,10/09/2020
PZT,,64990BQH9,New York State Dormitory Authority,5.00,07/01/2035,08/20/2015,07/01/2025,A-/A3,"2,000,000",2282980.0,2.27,10/09/2020
PZT,,64985TAP6,New York State Urban Development Corp,4.00,03/15/2044,10/30/2019,09/15/2029,NR/Aa2,"2,000,000",2269600.0,2.26,10/09/2020
PZT,,64971XKP2,New York City Transitional Finance Authority Future Tax Secu,4.00,11/01/2042,04/12/2019,05/01/2029,AAA/Aa1,"2,000,000",2236580.0,2.22,10/09/2020
PZT,,64966MHM4,City of New York NY,4.00,12/01/2043,12/20/2016,12/01/2026,AA/Aa2,"2,000,000",2192420.0,2.18,10/09/2020
PZT,,113807BP5,Brooklyn Arena Local Development Corp,5.00,07/15/2042,09/15/2016,01/15/2027,NR/Ba1,"2,000,000",2182320.0,2.17,10/09/2020
PZT,,64972GPY4,New York City Water & Sewer System,3.62,06/15/2048,03/20/2018,12/15/2027,AA+/Aa1,"2,000,000",2167020.0,2.15,10/09/2020
PZT,,64983XWC4,New York State Dormitory Authority,5.50,07/01/2040,03/15/2001,N/A,AA-/Aa2,"1,500,000",2147235.0,2.13,10/09/2020
PZT,,649451DM0,New York Convention Center Development Corp,5.00,11/15/2040,08/27/2015,11/15/2025,NR/A1,"1,885,000",2093104.0,2.08,10/09/2020
PZT,,649519BR5,New York Liberty Development Corp,5.00,11/15/2044,11/15/2011,11/15/2021,A/NR,"2,000,000",2082820.0,2.07,10/09/2020
PZT,,64971PKK0,New York City Industrial Development Agency,3.00,03/01/2049,10/06/2020,09/01/2030,AA/A2,"2,000,000",2020400.0,2.01,10/09/2020
