Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
QQQ,037833100,AAPL ,"154,895,622","18,118,140,905.34",13.197,Apple Inc,Common Stock,Information Technology,10/09/2020
QQQ,023135106,AMZN ,"4,536,480","14,909,821,992.00",10.861,Amazon.com Inc,Common Stock,Consumer Discretionary,10/09/2020
QQQ,594918104,MSFT ,"68,538,704","14,791,337,710.24",10.774,Microsoft Corp,Common Stock,Information Technology,10/09/2020
QQQ,30303M102,FB ,"21,775,359","5,758,493,687.55",4.195,Facebook Inc,Common Stock,Communication Services,10/09/2020
QQQ,02079K305,GOOGL ,"3,122,532","4,716,428,459.40",3.436,Alphabet Inc,Common Stock,Communication Services,10/09/2020
QQQ,88160R101,TSLA ,"10,765,278","4,672,130,652.00",3.403,Tesla Inc,Common Stock,Consumer Discretionary,10/09/2020
QQQ,02079K107,GOOG ,"3,021,468","4,578,188,742.96",3.335,Alphabet Inc,Common Stock,Communication Services,10/09/2020
QQQ,67066G104,NVDA ,"7,128,165","3,924,126,114.15",2.858,NVIDIA Corp,Common Stock,Information Technology,10/09/2020
QQQ,00724F101,ADBE ,"5,541,582","2,782,760,817.12",2.027,Adobe Inc,Common Stock,Information Technology,10/09/2020
QQQ,64110L106,NFLX ,"5,095,062","2,748,480,245.28",2.002,Netflix Inc,Common Stock,Communication Services,10/09/2020
QQQ,70450Y103,PYPL ,"13,555,323","2,674,058,568.21",1.948,PayPal Holdings Inc,Common Stock,Information Technology,10/09/2020
QQQ,458140100,INTC ,"49,134,915","2,595,306,210.30",1.890,Intel Corp,Common Stock,Information Technology,10/09/2020
QQQ,20030N101,CMCSA ,"52,666,544","2,362,094,498.40",1.721,Comcast Corp,Common Stock,Communication Services,10/09/2020
QQQ,713448108,PEP ,"15,996,729","2,214,587,162.76",1.613,PepsiCo Inc,Common Stock,Consumer Staples,10/09/2020
QQQ,17275R102,CSCO ,"48,780,151","1,943,889,017.35",1.416,Cisco Systems Inc,Common Stock,Information Technology,10/09/2020
QQQ,22160K105,COST ,"5,101,286","1,884,721,125.56",1.373,Costco Wholesale Corp,Common Stock,Consumer Staples,10/09/2020
QQQ,11135F101,AVGO ,"4,618,748","1,739,882,371.60",1.267,Broadcom Inc,Common Stock,Information Technology,10/09/2020
QQQ,872590104,TMUS ,"14,300,516","1,676,449,490.68",1.221,T-Mobile US Inc,Common Stock,Communication Services,10/09/2020
QQQ,747525103,QCOM ,"13,035,047","1,627,686,318.89",1.186,QUALCOMM Inc,Common Stock,Information Technology,10/09/2020
QQQ,031162100,AMGN ,"6,766,650","1,601,666,055.00",1.167,Amgen Inc,Common Stock,Health Care,10/09/2020
QQQ,882508104,TXN ,"10,581,997","1,596,929,167.27",1.163,Texas Instruments Inc,Common Stock,Information Technology,10/09/2020
QQQ,16119P108,CHTR ,"2,367,009","1,504,565,600.76",1.096,Charter Communications Inc,Common Stock,Communication Services,10/09/2020
QQQ,855244109,SBUX ,"13,505,684","1,215,646,616.84",0.885,Starbucks Corp,Common Stock,Consumer Discretionary,10/09/2020
QQQ,007903107,AMD ,"13,564,090","1,127,175,879.00",0.821,Advanced Micro Devices Inc,Common Stock,Information Technology,10/09/2020
QQQ,98980L101,ZM ,"2,104,016","1,036,038,518.56",0.755,Zoom Video Communications Inc,Common Stock,Information Technology,10/09/2020
QQQ,461202103,INTU ,"3,024,905","1,033,942,778.05",0.753,Intuit Inc,Common Stock,Information Technology,10/09/2020
QQQ,46120E602,ISRG ,"1,352,156","998,148,037.64",0.727,Intuitive Surgical Inc,Common Stock,Health Care,10/09/2020
QQQ,609207105,MDLZ ,"16,501,679","945,546,206.70",0.689,Mondelez International Inc,Common Stock,Consumer Staples,10/09/2020
QQQ,375558103,GILD ,"14,484,288","924,676,945.92",0.674,Gilead Sciences Inc,Common Stock,Health Care,10/09/2020
QQQ,09857L108,BKNG ,"473,056","859,963,771.84",0.626,Booking Holdings Inc,Common Stock,Consumer Discretionary,10/09/2020
QQQ,47215P106,JD ,"10,604,114","846,102,256.06",0.616,JD.com Inc ADR,American Depository Receipt,Consumer Discretionary,10/09/2020
QQQ,337738108,FISV ,"7,736,671","813,201,488.81",0.592,Fiserv Inc,Common Stock,Information Technology,10/09/2020
QQQ,92532F100,VRTX ,"3,009,073","812,299,256.35",0.592,Vertex Pharmaceuticals Inc,Common Stock,Health Care,10/09/2020
QQQ,053015103,ADP ,"4,967,459","744,373,731.15",0.542,Automatic Data Processing Inc,Common Stock,Information Technology,10/09/2020
QQQ,75886F107,REGN ,"1,207,939","727,263,833.73",0.530,Regeneron Pharmaceuticals Inc,Common Stock,Health Care,10/09/2020
QQQ,00507V109,ATVI ,"8,917,431","697,432,278.51",0.508,Activision Blizzard Inc,Common Stock,Communication Services,10/09/2020
QQQ,126408103,CSX ,"8,838,583","693,651,993.84",0.505,CSX Corp,Common Stock,Industrials,10/09/2020
QQQ,58733R102,MELI ,"574,390","689,176,097.60",0.502,MercadoLibre Inc,Common Stock,Consumer Discretionary,10/09/2020
QQQ,038222105,AMAT ,"10,551,328","667,793,549.12",0.486,Applied Materials Inc,Common Stock,Information Technology,10/09/2020
QQQ,595112103,MU ,"12,835,488","640,362,496.32",0.466,Micron Technology Inc,Common Stock,Information Technology,10/09/2020
QQQ,512807108,LRCX ,"1,682,496","610,258,124.16",0.445,Lam Research Corp,Common Stock,Information Technology,10/09/2020
QQQ,052769106,ADSK ,"2,532,006","601,351,425.00",0.438,Autodesk Inc,Common Stock,Information Technology,10/09/2020
QQQ,452327109,ILMN ,"1,686,460","571,777,398.40",0.416,Illumina Inc,Common Stock,Health Care,10/09/2020
QQQ,032654105,ADI ,"4,265,286","526,037,722.38",0.383,Analog Devices Inc,Common Stock,Information Technology,10/09/2020
QQQ,09062X103,BIIB ,"1,828,772","524,016,328.88",0.382,Biogen Inc,Common Stock,Health Care,10/09/2020
QQQ,550021109,LULU ,"1,435,939","497,495,425.94",0.362,Lululemon Athletica Inc,Common Stock,Consumer Discretionary,10/09/2020
QQQ,61174X109,MNST ,"6,093,119","493,237,983.05",0.359,Monster Beverage Corp,Common Stock,Consumer Staples,10/09/2020
QQQ,256163106,DOCU ,"2,137,305","482,176,008.00",0.351,DocuSign Inc,Common Stock,Information Technology,10/09/2020
QQQ,98138H101,WDAY ,"2,045,057","461,630,716.61",0.336,Workday Inc,Common Stock,Information Technology,10/09/2020
QQQ,192446102,CTSH ,"6,264,662","457,821,498.96",0.333,Cognizant Technology Solutions Corp,Common Stock,Information Technology,10/09/2020
QQQ,N6596X109,NXPI ,"3,226,151","456,597,151.03",0.333,NXP Semiconductors NV,Common Stock,Information Technology,10/09/2020
QQQ,278642103,EBAY ,"8,085,613","448,347,240.85",0.327,eBay Inc,Common Stock,Consumer Discretionary,10/09/2020
QQQ,30161N101,EXC ,"11,258,491","441,332,847.20",0.321,Exelon Corp,Common Stock,Utilities,10/09/2020
QQQ,98389B100,XEL ,"6,069,262","441,296,040.02",0.321,Xcel Energy Inc,Common Stock,Utilities,10/09/2020
QQQ,500754106,KHC ,"14,124,439","439,411,297.29",0.320,Kraft Heinz Co/The,Common Stock,Consumer Staples,10/09/2020
QQQ,252131107,DXCM ,"1,106,155","426,975,830.00",0.311,DexCom Inc,Common Stock,Health Care,10/09/2020
QQQ,285512109,EA ,"3,336,371","425,220,483.95",0.310,Electronic Arts Inc,Common Stock,Communication Services,10/09/2020
QQQ,056752108,BIDU ,"3,248,793","410,939,826.57",0.299,Baidu Inc ADR,American Depository Receipt,Communication Services,10/09/2020
QQQ,172908105,CTAS ,"1,195,438","405,887,064.14",0.296,Cintas Corp,Common Stock,Industrials,10/09/2020
