Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
RCD,29786A106,ETSY ,"35,832","5,255,479.44",2.107,Etsy Inc,Common Stock,Consumer Discretionary,10/09/2020
RCD,364760108,GPS ,"238,531","4,725,299.11",1.895,Gap Inc/The,Common Stock,Consumer Discretionary,10/09/2020
RCD,237194105,DRI ,"45,728","4,663,798.72",1.870,Darden Restaurants Inc,Common Stock,Consumer Discretionary,10/09/2020
RCD,963320106,WHR ,"22,970","4,626,158.00",1.855,Whirlpool Corp,Common Stock,Consumer Discretionary,10/09/2020
RCD,876030107,TPR ,"245,768","4,625,353.76",1.855,Tapestry Inc,Common Stock,Consumer Discretionary,10/09/2020
RCD,G6095L109,APTV ,"46,944","4,603,328.64",1.846,Aptiv PLC,Common Stock,Consumer Discretionary,10/09/2020
RCD,501797104,LB ,"141,755","4,573,016.30",1.834,L Brands Inc,Common Stock,Consumer Discretionary,10/09/2020
RCD,418056107,HAS ,"50,466","4,499,548.56",1.804,Hasbro Inc,Common Stock,Consumer Discretionary,10/09/2020
RCD,410345102,HBI ,"257,905","4,438,545.05",1.780,Hanesbrands Inc,Common Stock,Consumer Discretionary,10/09/2020
RCD,654106103,NKE ,"33,637","4,405,774.26",1.767,NIKE Inc,Common Stock,Consumer Discretionary,10/09/2020
RCD,87612E106,TGT ,"26,882","4,400,852.22",1.765,Target Corp,Common Stock,Consumer Discretionary,10/09/2020
RCD,918204108,VFC ,"56,678","4,398,779.58",1.764,VF Corp,Common Stock,Consumer Discretionary,10/09/2020
RCD,256677105,DG ,"19,796","4,374,520.08",1.754,Dollar General Corp,Common Stock,Consumer Discretionary,10/09/2020
RCD,23331A109,DHI ,"55,598","4,341,647.82",1.741,DR Horton Inc,Common Stock,Consumer Discretionary,10/09/2020
RCD,778296103,ROST ,"43,994","4,329,449.54",1.736,Ross Stores Inc,Common Stock,Consumer Discretionary,10/09/2020
RCD,892356106,TSCO ,"28,835","4,323,231.55",1.733,Tractor Supply Co,Common Stock,Consumer Discretionary,10/09/2020
RCD,086516101,BBY ,"37,057","4,320,475.63",1.732,Best Buy Co Inc,Common Stock,Consumer Discretionary,10/09/2020
RCD,62944T105,NVR ,981,"4,315,428.81",1.730,NVR Inc,Common Stock,Consumer Discretionary,10/09/2020
RCD,526057104,LEN ,"51,228","4,306,737.96",1.727,Lennar Corp,Common Stock,Consumer Discretionary,10/09/2020
RCD,745867101,PHM ,"87,619","4,291,578.62",1.721,PulteGroup Inc,Common Stock,Consumer Discretionary,10/09/2020
RCD,608190104,MHK ,"40,944","4,268,002.56",1.711,Mohawk Industries Inc,Common Stock,Consumer Discretionary,10/09/2020
RCD,872540109,TJX ,"73,299","4,265,268.81",1.710,TJX Cos Inc/The,Common Stock,Consumer Discretionary,10/09/2020
RCD,548661107,LOW ,"24,518","4,247,253.14",1.703,Lowe's Cos Inc,Common Stock,Consumer Discretionary,10/09/2020
RCD,G66721104,NCLH ,"226,679","4,245,697.67",1.702,Norwegian Cruise Line Holdings Ltd,Common Stock,Consumer Discretionary,10/09/2020
RCD,37045V100,GM ,"130,307","4,190,673.12",1.680,General Motors Co,Common Stock,Consumer Discretionary,10/09/2020
RCD,855244109,SBUX ,"46,548","4,189,785.48",1.680,Starbucks Corp,Common Stock,Consumer Discretionary,10/09/2020
RCD,023135106,AMZN ,"1,274","4,187,192.10",1.679,Amazon.com Inc,Common Stock,Consumer Discretionary,10/09/2020
RCD,278642103,EBAY ,"75,216","4,170,727.20",1.672,eBay Inc,Common Stock,Consumer Discretionary,10/09/2020
RCD,43300A203,HLT ,"45,429","4,150,847.73",1.664,Hilton Worldwide Holdings Inc,Common Stock,Consumer Discretionary,10/09/2020
RCD,886547108,TIF ,"34,875","4,129,548.75",1.656,Tiffany & Co,Common Stock,Consumer Discretionary,10/09/2020
RCD,256746108,DLTR ,"44,077","4,127,370.28",1.655,Dollar Tree Inc,Common Stock,Consumer Discretionary,10/09/2020
RCD,345370860,F ,"567,021","4,110,902.25",1.648,Ford Motor Co,Common Stock,Consumer Discretionary,10/09/2020
RCD,988498101,YUM ,"43,017","4,107,693.33",1.647,Yum! Brands Inc,Common Stock,Consumer Discretionary,10/09/2020
RCD,437076102,HD ,"14,364","4,106,954.88",1.647,Home Depot Inc/The,Common Stock,Consumer Discretionary,10/09/2020
RCD,651229106,NWL ,"227,458","4,096,518.58",1.643,Newell Brands Inc,Common Stock,Consumer Discretionary,10/09/2020
RCD,580135101,MCD ,"18,207","4,093,479.81",1.641,McDonald's Corp,Common Stock,Consumer Discretionary,10/09/2020
RCD,73278L105,POOL ,"11,753","4,073,002.15",1.633,Pool Corp,Common Stock,Consumer Discretionary,10/09/2020
