Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
RDIV,N53745100,LYB ,"419,522","33,494,636.48",5.824,LyondellBasell Industries NV,Common Stock,Materials,10/09/2020
RDIV,260557103,DOW ,"674,427","33,289,716.72",5.788,Dow Inc,Common Stock,Materials,10/09/2020
RDIV,744320102,PRU ,"442,731","30,052,580.28",5.226,Prudential Financial Inc,Common Stock,Financials,10/09/2020
RDIV,59156R108,MET ,"751,900","29,685,012.00",5.162,MetLife Inc,Common Stock,Financials,10/09/2020
RDIV,459200101,IBM ,"228,459","29,194,775.61",5.076,International Business Machines Corp,Common Stock,Information Technology,10/09/2020
RDIV,949746101,WFC ,"1,094,347","27,686,979.10",4.814,Wells Fargo & Co,Common Stock,Financials,10/09/2020
RDIV,166764100,CVX ,"318,846","23,594,604.00",4.103,Chevron Corp,Common Stock,Energy,10/09/2020
RDIV,718546104,PSX ,"441,705","23,428,033.20",4.074,Phillips 66,Common Stock,Energy,10/09/2020
RDIV,56585A102,MPC ,"742,572","22,366,268.64",3.889,Marathon Petroleum Corp,Common Stock,Energy,10/09/2020
RDIV,460146103,IP ,"523,499","22,337,702.33",3.884,International Paper Co,Common Stock,Materials,10/09/2020
RDIV,91913Y100,VLO ,"495,645","21,629,947.80",3.761,Valero Energy Corp,Common Stock,Energy,10/09/2020
RDIV,96145D105,WRK ,"519,020","19,618,956.00",3.411,Westrock Co,Common Stock,Materials,10/09/2020
RDIV,500754106,KHC ,"624,909","19,440,918.99",3.380,Kraft Heinz Co/The,Common Stock,Consumer Staples,10/09/2020
RDIV,05722G100,BKR ,"1,243,676","16,416,523.20",2.855,Baker Hughes Co,Common Stock,Energy,10/09/2020
RDIV,406216101,HAL ,"1,270,489","15,982,751.62",2.779,Halliburton Co,Common Stock,Energy,10/09/2020
RDIV,74251V102,PFG ,"328,513","13,951,947.11",2.426,Principal Financial Group Inc,Common Stock,Financials,10/09/2020
RDIV,91529Y106,UNM ,"565,502","10,591,852.46",1.842,Unum Group,Common Stock,Financials,10/09/2020
RDIV,15189T107,CNP ,"467,621","9,993,060.77",1.738,CenterPoint Energy Inc,Common Stock,Utilities,10/09/2020
RDIV,49456B101,KMI ,"770,360","9,876,015.20",1.717,Kinder Morgan Inc,Common Stock,Energy,10/09/2020
RDIV,98421M106,XRX ,"483,712","9,616,194.56",1.672,Xerox Holdings Corp,Common Stock,Information Technology,10/09/2020
RDIV,G7945M107,STX ,"185,714","9,465,842.58",1.646,Seagate Technology PLC,Common Stock,Information Technology,10/09/2020
RDIV,316773100,FITB ,"387,682","9,064,005.16",1.576,Fifth Third Bancorp,Common Stock,Financials,10/09/2020
RDIV,460690100,IPG ,"474,312","8,708,368.32",1.514,Interpublic Group of Cos Inc/The,Common Stock,Communication Services,10/09/2020
RDIV,783549108,R ,"181,750","8,585,870.00",1.493,Ryder System Inc,Common Stock,Industrials,10/09/2020
RDIV,69351T106,PPL ,"259,315","7,504,576.10",1.305,PPL Corp,Common Stock,Utilities,10/09/2020
RDIV,410345102,HBI ,"412,614","7,101,086.94",1.235,Hanesbrands Inc,Common Stock,Consumer Discretionary,10/09/2020
RDIV,493267108,KEY ,"540,729","7,094,364.48",1.234,KeyCorp,Common Stock,Financials,10/09/2020
RDIV,174610105,CFG ,"252,315","7,054,727.40",1.227,Citizens Financial Group Inc,Common Stock,Financials,10/09/2020
RDIV,680665205,OLN ,"437,537","6,724,943.69",1.169,Olin Corp,Common Stock,Materials,10/09/2020
RDIV,7591EP100,RF ,"507,641","6,492,728.39",1.129,Regions Financial Corp,Common Stock,Financials,10/09/2020
RDIV,354613101,BEN ,"231,623","5,232,363.57",0.910,Franklin Resources Inc,Common Stock,Financials,10/09/2020
RDIV,G6518L108,NLSN ,"374,463","5,148,866.25",0.895,Nielsen Holdings PLC,Common Stock,Industrials,10/09/2020
RDIV,524660107,LEG ,"111,317","5,002,585.98",0.870,Leggett & Platt Inc,Common Stock,Consumer Discretionary,10/09/2020
