Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
RFG,83417M104,SEDG ,"65,763","20,080,732.05",5.673,SolarEdge Technologies Inc,Common Stock,Information Technology,10/09/2020
RFG,368736104,GNRC ,"52,718","10,835,130.54",3.061,Generac Holdings Inc,Common Stock,Industrials,10/09/2020
RFG,74967X103,RH ,"28,799","10,697,676.54",3.022,RH,Common Stock,Consumer Discretionary,10/09/2020
RFG,70438V106,PCTY ,"52,958","9,741,094.52",2.752,Paylocity Holding Corp,Common Stock,Information Technology,10/09/2020
RFG,759916109,RGEN ,"53,968","9,201,544.00",2.599,Repligen Corp,Common Stock,Health Care,10/09/2020
RFG,89055F103,BLD ,"44,269","8,274,318.79",2.337,TopBuild Corp,Common Stock,Consumer Discretionary,10/09/2020
RFG,100557107,SAM ,"8,163","7,495,184.97",2.117,Boston Beer Co Inc/The,Common Stock,Consumer Staples,10/09/2020
RFG,G3198U102,ESNT ,"169,904","7,263,396.00",2.052,Essent Group Ltd,Common Stock,Financials,10/09/2020
RFG,05464C101,AAXN ,"71,134","7,041,554.66",1.989,Axon Enterprise Inc,Common Stock,Industrials,10/09/2020
RFG,89531P105,TREX ,"81,235","6,354,201.70",1.795,Trex Co Inc,Common Stock,Industrials,10/09/2020
RFG,536797103,LAD ,"22,373","6,345,430.26",1.793,Lithia Motors Inc,Common Stock,Consumer Discretionary,10/09/2020
RFG,74838J101,QDEL ,"22,039","6,127,943.95",1.731,Quidel Corp,Common Stock,Health Care,10/09/2020
RFG,70975L107,PEN ,"27,715","5,988,102.90",1.692,Penumbra Inc,Common Stock,Health Care,10/09/2020
RFG,91347P105,OLED ,"28,884","5,840,344.80",1.650,Universal Display Corp,Common Stock,Information Technology,10/09/2020
RFG,58506Q109,MEDP ,"44,586","5,494,778.64",1.552,Medpace Holdings Inc,Common Stock,Health Care,10/09/2020
RFG,52603B107,TREE ,"16,022","5,231,663.66",1.478,LendingTree Inc,Common Stock,Financials,10/09/2020
RFG,609839105,MPWR ,"15,901","5,016,129.46",1.417,Monolithic Power Systems Inc,Common Stock,Information Technology,10/09/2020
RFG,589378108,MRCY ,"63,189","4,960,968.39",1.401,Mercury Systems Inc,Common Stock,Industrials,10/09/2020
RFG,55306N104,MKSI ,"40,630","4,830,094.40",1.364,MKS Instruments Inc,Common Stock,Information Technology,10/09/2020
RFG,12571T100,CCMP ,"30,453","4,767,417.15",1.347,CMC Materials Inc,Common Stock,Information Technology,10/09/2020
RFG,626755102,MUSA ,"36,721","4,764,549.75",1.346,Murphy USA Inc,Common Stock,Consumer Discretionary,10/09/2020
RFG,G7496G103,RNR ,"27,323","4,732,070.37",1.337,RenaissanceRe Holdings Ltd,Common Stock,Financials,10/09/2020
RFG,466313103,JBL ,"125,425","4,561,707.25",1.289,Jabil Inc,Common Stock,Information Technology,10/09/2020
RFG,810186106,SMG ,"27,526","4,515,640.30",1.276,Scotts Miracle-Gro Co/The,Common Stock,Materials,10/09/2020
RFG,974155103,WING ,"34,195","4,488,435.70",1.268,Wingstop Inc,Common Stock,Consumer Discretionary,10/09/2020
RFG,30161Q104,EXEL ,"185,148","4,426,888.68",1.251,Exelixis Inc,Common Stock,Health Care,10/09/2020
RFG,80874P109,SGMS ,"131,305","4,407,908.85",1.245,Scientific Games Corp,Common Stock,Consumer Discretionary,10/09/2020
RFG,303250104,FICO ,"9,887","4,373,020.10",1.235,Fair Isaac Corp,Common Stock,Information Technology,10/09/2020
RFG,33829M101,FIVE ,"30,419","4,130,291.82",1.167,Five Below Inc,Common Stock,Consumer Discretionary,10/09/2020
RFG,12685J105,CABO ,"2,227","4,088,460.22",1.155,Cable One Inc,Common Stock,Communication Services,10/09/2020
RFG,576323109,MTZ ,"86,126","4,026,390.50",1.137,MasTec Inc,Common Stock,Industrials,10/09/2020
RFG,147528103,CASY ,"21,509","3,942,814.79",1.114,Casey's General Stores Inc,Common Stock,Consumer Staples,10/09/2020
RFG,829073105,SSD ,"41,386","3,941,188.78",1.113,Simpson Manufacturing Co Inc,Common Stock,Industrials,10/09/2020
RFG,55024U109,LITE ,"47,056","3,893,413.44",1.100,Lumentum Holdings Inc,Common Stock,Information Technology,10/09/2020
