Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
RFV,707569109,PENN ,"33,708","2,180,907.60",3.470,Penn National Gaming Inc,Common Stock,Consumer Discretionary,10/09/2020
RFV,12653C108,CNX ,"182,925","1,944,492.75",3.094,CNX Resources Corp,Common Stock,Energy,10/09/2020
RFV,05329W102,AN ,"27,410","1,659,949.60",2.641,AutoNation Inc,Common Stock,Consumer Discretionary,10/09/2020
RFV,37247D106,GNW ,"481,209","1,650,546.87",2.626,Genworth Financial Inc,Common Stock,Financials,10/09/2020
RFV,703395103,PDCO ,"64,544","1,631,026.88",2.595,Patterson Cos Inc,Common Stock,Health Care,10/09/2020
RFV,87162W100,SNX ,"10,342","1,553,988.92",2.473,SYNNEX Corp,Common Stock,Information Technology,10/09/2020
RFV,783549108,R ,"30,460","1,438,930.40",2.290,Ryder System Inc,Common Stock,Industrials,10/09/2020
RFV,26884L109,EQT ,"89,472","1,314,343.68",2.091,EQT Corp,Common Stock,Energy,10/09/2020
RFV,042735100,ARW ,"15,534","1,296,312.30",2.063,Arrow Electronics Inc,Common Stock,Information Technology,10/09/2020
RFV,912909108,X ,"154,402","1,290,800.72",2.054,United States Steel Corp,Common Stock,Materials,10/09/2020
RFV,235825205,DAN ,"84,546","1,274,953.68",2.029,Dana Inc,Common Stock,Consumer Discretionary,10/09/2020
RFV,10922N103,BHF ,"41,439","1,268,447.79",2.018,Brighthouse Financial Inc,Common Stock,Financials,10/09/2020
RFV,05550J101,BJ ,"31,034","1,266,187.20",2.015,BJ's Wholesale Club Holdings Inc,Common Stock,Consumer Staples,10/09/2020
RFV,500255104,KSS ,"57,849","1,245,488.97",1.982,Kohl's Corp,Common Stock,Consumer Discretionary,10/09/2020
RFV,382550101,GT ,"128,452","1,235,708.24",1.966,Goodyear Tire & Rubber Co/The,Common Stock,Consumer Discretionary,10/09/2020
RFV,87724P106,TMHC ,"45,035","1,232,607.95",1.961,Taylor Morrison Home Corp,Common Stock,Consumer Discretionary,10/09/2020
RFV,12621E103,CNO ,"67,535","1,227,786.30",1.954,CNO Financial Group Inc,Common Stock,Financials,10/09/2020
RFV,879433829,TDS ,"60,852","1,159,230.60",1.845,Telephone and Data Systems Inc,Common Stock,Communication Services,10/09/2020
RFV,885160101,THO ,"11,925","1,151,835.75",1.833,Thor Industries Inc,Common Stock,Consumer Discretionary,10/09/2020
RFV,87265H109,TPH ,"60,297","1,145,643.00",1.823,TRI Pointe Group Inc,Common Stock,Consumer Discretionary,10/09/2020
RFV,053807103,AVT ,"39,543","1,109,972.01",1.766,Avnet Inc,Common Stock,Information Technology,10/09/2020
RFV,521865204,LEA ,"8,423","1,091,115.42",1.736,Lear Corp,Common Stock,Consumer Discretionary,10/09/2020
RFV,257559203,UFS ,"39,010","1,077,846.30",1.715,Domtar Corp,Common Stock,Materials,10/09/2020
RFV,680665205,OLN ,"68,794","1,057,363.78",1.682,Olin Corp,Common Stock,Materials,10/09/2020
RFV,201723103,CMC ,"43,267","979,564.88",1.559,Commercial Metals Co,Common Stock,Materials,10/09/2020
RFV,56418H100,MAN ,"13,019","973,821.20",1.550,ManpowerGroup Inc,Common Stock,Industrials,10/09/2020
RFV,00766T100,ACM ,"20,864","963,082.24",1.532,AECOM,Common Stock,Industrials,10/09/2020
RFV,G0084W101,ADNT ,"43,113","935,983.23",1.489,Adient PLC,Common Stock,Consumer Discretionary,10/09/2020
RFV,267475101,DY ,"13,789","923,725.11",1.470,Dycom Industries Inc,Common Stock,Industrials,10/09/2020
RFV,053774105,CAR ,"28,763","908,047.91",1.445,Avis Budget Group Inc,Common Stock,Industrials,10/09/2020
RFV,47233W109,JEF ,"44,780","887,539.60",1.412,Jefferies Financial Group Inc,Common Stock,Financials,10/09/2020
RFV,253393102,DKS ,"13,828","840,189.28",1.337,Dick's Sporting Goods Inc,Common Stock,Consumer Discretionary,10/09/2020
RFV,163851108,CC ,"34,589","795,201.11",1.265,Chemours Co/The,Common Stock,Materials,10/09/2020
