Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
RGI,831865209,AOS ,"99,019","5,662,896.61",1.536,A O Smith Corp,Common Stock,Industrials,10/09/2020
RGI,31428X106,FDX ,"20,749","5,634,390.95",1.528,FedEx Corp,Common Stock,Industrials,10/09/2020
RGI,369604103,GE ,"811,802","5,552,725.68",1.506,General Electric Co,Common Stock,Industrials,10/09/2020
RGI,74762E102,PWR ,"93,684","5,548,903.32",1.505,Quanta Services Inc,Common Stock,Industrials,10/09/2020
RGI,G7S00T104,PNR ,"110,505","5,479,942.95",1.487,Pentair PLC,Common Stock,Industrials,10/09/2020
RGI,217204106,CPRT ,"47,352","5,455,423.92",1.480,Copart Inc,Common Stock,Industrials,10/09/2020
RGI,911363109,URI ,"27,660","5,447,360.40",1.478,United Rentals Inc,Common Stock,Industrials,10/09/2020
RGI,770323103,RHI ,"93,338","5,426,671.32",1.472,Robert Half International Inc,Common Stock,Industrials,10/09/2020
RGI,854502101,SWK ,"30,376","5,366,224.16",1.456,Stanley Black & Decker Inc,Common Stock,Industrials,10/09/2020
RGI,G8994E103,TT ,"41,287","5,330,977.44",1.446,Trane Technologies PLC,Common Stock,Industrials,10/09/2020
RGI,14448C104,CARR ,"165,193","5,324,170.39",1.444,Carrier Global Corp,Common Stock,Industrials,10/09/2020
RGI,911312106,UPS ,"30,405","5,311,449.45",1.441,United Parcel Service Inc,Common Stock,Industrials,10/09/2020
RGI,773903109,ROK ,"21,733","5,308,937.24",1.440,Rockwell Automation Inc,Common Stock,Industrials,10/09/2020
RGI,244199105,DE ,"22,366","5,251,760.46",1.425,Deere & Co,Common Stock,Industrials,10/09/2020
RGI,68902V107,OTIS ,"80,318","5,248,781.30",1.424,Otis Worldwide Corp,Common Stock,Industrials,10/09/2020
RGI,384802104,GWW ,"13,602","5,242,482.84",1.422,WW Grainger Inc,Common Stock,Industrials,10/09/2020
RGI,231021106,CMI ,"23,233","5,188,393.56",1.407,Cummins Inc,Common Stock,Industrials,10/09/2020
RGI,34964C106,FBHS ,"58,468","5,185,526.92",1.407,Fortune Brands Home & Security Inc,Common Stock,Industrials,10/09/2020
RGI,98419M100,XYL ,"57,130","5,175,406.70",1.404,Xylem Inc/NY,Common Stock,Industrials,10/09/2020
RGI,031100100,AME ,"48,347","5,170,228.18",1.403,AMETEK Inc,Common Stock,Industrials,10/09/2020
RGI,469814107,J ,"52,050","5,169,606.00",1.402,Jacobs Engineering Group Inc,Common Stock,Industrials,10/09/2020
RGI,12541W209,CHRW ,"48,961","5,162,937.45",1.401,CH Robinson Worldwide Inc,Common Stock,Industrials,10/09/2020
RGI,693718108,PCAR ,"57,577","5,137,019.94",1.394,PACCAR Inc,Common Stock,Industrials,10/09/2020
RGI,833034101,SNA ,"32,674","5,136,679.54",1.393,Snap-on Inc,Common Stock,Industrials,10/09/2020
RGI,775711104,ROL ,"89,248","5,129,082.56",1.391,Rollins Inc,Common Stock,Industrials,10/09/2020
RGI,G0176J109,ALLE ,"49,302","5,126,914.98",1.391,Allegion plc,Common Stock,Industrials,10/09/2020
RGI,311900104,FAST ,"109,704","5,115,497.52",1.388,Fastenal Co,Common Stock,Industrials,10/09/2020
RGI,172908105,CTAS ,"15,048","5,109,247.44",1.386,Cintas Corp,Common Stock,Industrials,10/09/2020
RGI,452308109,ITW ,"24,711","5,083,299.81",1.379,Illinois Tool Works Inc,Common Stock,Industrials,10/09/2020
RGI,45167R104,IEX ,"26,669","5,078,044.29",1.378,IDEX Corp,Common Stock,Industrials,10/09/2020
RGI,907818108,UNP ,"24,651","5,072,682.78",1.376,Union Pacific Corp,Common Stock,Industrials,10/09/2020
RGI,G29183103,ETN ,"47,115","5,066,275.95",1.374,Eaton Corp PLC,Common Stock,Industrials,10/09/2020
RGI,34959J108,FTV ,"72,528","5,063,904.96",1.374,Fortive Corp,Common Stock,Industrials,10/09/2020
RGI,438516106,HON ,"29,019","5,060,333.22",1.373,Honeywell International Inc,Common Stock,Industrials,10/09/2020
RGI,34354P105,FLS ,"171,650","5,060,242.00",1.373,Flowserve Corp,Common Stock,Industrials,10/09/2020
RGI,097023105,BA ,"30,147","5,044,497.51",1.368,Boeing Co/The,Common Stock,Industrials,10/09/2020
RGI,701094104,PH ,"23,096","5,037,468.56",1.367,Parker-Hannifin Corp,Common Stock,Industrials,10/09/2020
RGI,879360105,TDY ,"15,424","5,014,959.36",1.360,Teledyne Technologies Inc,Common Stock,Industrials,10/09/2020
RGI,776696106,ROP ,"12,085","5,007,903.15",1.358,Roper Technologies Inc,Common Stock,Industrials,10/09/2020
RGI,247361702,DAL ,"152,371","4,999,292.51",1.356,Delta Air Lines Inc,Common Stock,Industrials,10/09/2020
RGI,149123101,CAT ,"31,400","4,990,716.00",1.354,Caterpillar Inc,Common Stock,Industrials,10/09/2020
RGI,45687V106,IR ,"134,249","4,984,665.37",1.352,Ingersoll Rand Inc,Common Stock,Industrials,10/09/2020
RGI,G51502105,JCI ,"115,915","4,980,867.55",1.351,Johnson Controls International plc,Common Stock,Industrials,10/09/2020
RGI,92345Y106,VRSK ,"26,590","4,977,116.20",1.350,Verisk Analytics Inc,Common Stock,Industrials,10/09/2020
RGI,291011104,EMR ,"71,118","4,974,704.10",1.349,Emerson Electric Co,Common Stock,Industrials,10/09/2020
RGI,910047109,UAL ,"133,911","4,970,776.32",1.348,United Airlines Holdings Inc,Common Stock,Industrials,10/09/2020
RGI,443201108,HWM ,"271,358","4,965,851.40",1.347,Howmet Aerospace Inc,Common Stock,Industrials,10/09/2020
RGI,302130109,EXPD ,"53,455","4,942,449.30",1.341,Expeditors International of Washington Inc,Common Stock,Industrials,10/09/2020
RGI,679580100,ODFL ,"24,690","4,932,074.40",1.338,Old Dominion Freight Line Inc,Common Stock,Industrials,10/09/2020
RGI,844741108,LUV ,"124,011","4,926,957.03",1.337,Southwest Airlines Co,Common Stock,Industrials,10/09/2020
RGI,G47567105,INFO ,"62,593","4,924,817.24",1.336,IHS Markit Ltd,Common Stock,Industrials,10/09/2020
RGI,94106L109,WM ,"42,689","4,924,176.15",1.336,Waste Management Inc,Common Stock,Industrials,10/09/2020
RGI,02376R102,AAL ,"372,990","4,923,468.00",1.336,American Airlines Group Inc,Common Stock,Industrials,10/09/2020
RGI,88579Y101,MMM ,"29,068","4,921,212.40",1.335,3M Co,Common Stock,Industrials,10/09/2020
RGI,446413106,HII ,"32,769","4,914,694.62",1.333,Huntington Ingalls Industries Inc,Common Stock,Industrials,10/09/2020
RGI,126408103,CSX ,"62,593","4,912,298.64",1.333,CSX Corp,Common Stock,Industrials,10/09/2020
RGI,294429105,EFX ,"29,713","4,881,251.64",1.324,Equifax Inc,Common Stock,Industrials,10/09/2020
RGI,655844108,NSC ,"22,203","4,848,913.17",1.315,Norfolk Southern Corp,Common Stock,Industrials,10/09/2020
RGI,485170302,KSU ,"25,959","4,844,987.76",1.314,Kansas City Southern,Common Stock,Industrials,10/09/2020
RGI,260003108,DOV ,"42,819","4,841,972.52",1.313,Dover Corp,Common Stock,Industrials,10/09/2020
RGI,445658107,JBHT ,"35,745","4,833,438.90",1.311,JB Hunt Transport Services Inc,Common Stock,Industrials,10/09/2020
RGI,539830109,LMT ,"12,405","4,787,461.65",1.299,Lockheed Martin Corp,Common Stock,Industrials,10/09/2020
RGI,369550108,GD ,"33,229","4,773,678.14",1.295,General Dynamics Corp,Common Stock,Industrials,10/09/2020
RGI,75513E101,RTX ,"79,643","4,771,412.13",1.294,Raytheon Technologies Corp,Common Stock,Industrials,10/09/2020
RGI,574599106,MAS ,"82,513","4,742,022.11",1.286,Masco Corp,Common Stock,Industrials,10/09/2020
RGI,760759100,RSG ,"50,450","4,698,913.00",1.275,Republic Services Inc,Common Stock,Industrials,10/09/2020
RGI,502431109,LHX ,"26,681","4,681,181.45",1.270,L3Harris Technologies Inc,Common Stock,Industrials,10/09/2020
RGI,011659109,ALK ,"119,766","4,633,746.54",1.257,Alaska Air Group Inc,Common Stock,Industrials,10/09/2020
RGI,893641100,TDG ,"9,552","4,632,720.00",1.257,TransDigm Group Inc,Common Stock,Industrials,10/09/2020
RGI,929740108,WAB ,"71,558","4,616,206.58",1.252,Westinghouse Air Brake Technologies Corp,Common Stock,Industrials,10/09/2020
RGI,G6518L108,NLSN ,"333,350","4,583,562.50",1.243,Nielsen Holdings PLC,Common Stock,Industrials,10/09/2020
RGI,883203101,TXT ,"124,684","4,583,383.84",1.243,Textron Inc,Common Stock,Industrials,10/09/2020
RGI,666807102,NOC ,"14,253","4,493,685.84",1.219,Northrop Grumman Corp,Common Stock,Industrials,10/09/2020
RGI,825252885,AGPXX ,"233,771","233,770.91",0.063,STIT - Government & Agency Portfolio,"Money Market Fund, Taxable			     ",Investment Companies,10/09/2020
RGI,928881101,VNT ,92,"2,597.36",0.001,Vontier Corp,Common Stock,Information Technology,10/09/2020
