Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
RPG,81762P102,NOW ,"126,995","64,590,926.95",2.513,ServiceNow Inc,Common Stock,Information Technology,10/09/2020
RPG,70432V102,PAYC ,"134,845","49,353,270.00",1.920,Paycom Software Inc,Common Stock,Information Technology,10/09/2020
RPG,30303M102,FB ,"162,686","43,022,312.70",1.674,Facebook Inc,Common Stock,Communication Services,10/09/2020
RPG,512807108,LRCX ,"115,485","41,887,564.35",1.630,Lam Research Corp,Common Stock,Information Technology,10/09/2020
RPG,745867101,PHM ,"843,159","41,297,927.82",1.607,PulteGroup Inc,Common Stock,Consumer Discretionary,10/09/2020
RPG,00724F101,ADBE ,"80,920","40,634,787.20",1.581,Adobe Inc,Common Stock,Information Technology,10/09/2020
RPG,70450Y103,PYPL ,"200,924","39,636,277.48",1.542,PayPal Holdings Inc,Common Stock,Information Technology,10/09/2020
RPG,67066G104,NVDA ,"69,012","37,991,796.12",1.478,NVIDIA Corp,Common Stock,Information Technology,10/09/2020
RPG,911363109,URI ,"192,787","37,967,471.78",1.477,United Rentals Inc,Common Stock,Industrials,10/09/2020
RPG,880770102,TER ,"438,158","37,725,403.80",1.468,Teradyne Inc,Common Stock,Information Technology,10/09/2020
RPG,252131107,DXCM ,"95,482","36,856,052.00",1.434,DexCom Inc,Common Stock,Health Care,10/09/2020
RPG,037833100,AAPL ,"307,518","35,970,380.46",1.400,Apple Inc,Common Stock,Information Technology,10/09/2020
RPG,169656105,CMG ,"27,705","35,517,532.95",1.382,Chipotle Mexican Grill Inc,Common Stock,Consumer Discretionary,10/09/2020
RPG,34959E109,FTNT ,"280,205","35,356,266.90",1.376,Fortinet Inc,Common Stock,Information Technology,10/09/2020
RPG,55354G100,MSCI ,"100,275","35,329,890.75",1.375,MSCI Inc,Common Stock,Financials,10/09/2020
RPG,57636Q104,MA ,"97,849","34,481,009.11",1.342,Mastercard Inc,Common Stock,Information Technology,10/09/2020
RPG,64110L106,NFLX ,"63,679","34,350,999.76",1.337,Netflix Inc,Common Stock,Communication Services,10/09/2020
RPG,217204106,CPRT ,"295,308","34,022,434.68",1.324,Copart Inc,Common Stock,Industrials,10/09/2020
RPG,45337C102,INCY ,"351,832","33,684,395.68",1.311,Incyte Corp,Common Stock,Health Care,10/09/2020
RPG,03662Q105,ANSS ,"99,582","33,541,209.24",1.305,ANSYS Inc,Common Stock,Information Technology,10/09/2020
RPG,023135106,AMZN ,"10,158","33,385,790.70",1.299,Amazon.com Inc,Common Stock,Consumer Discretionary,10/09/2020
RPG,871607107,SNPS ,"147,755","32,922,769.10",1.281,Synopsys Inc,Common Stock,Information Technology,10/09/2020
RPG,482480100,KLAC ,"153,478","32,389,997.12",1.260,KLA Corp,Common Stock,Information Technology,10/09/2020
RPG,92532F100,VRTX ,"119,781","32,334,880.95",1.258,Vertex Pharmaceuticals Inc,Common Stock,Health Care,10/09/2020
RPG,23331A109,DHI ,"406,364","31,732,964.76",1.235,DR Horton Inc,Common Stock,Consumer Discretionary,10/09/2020
RPG,127387108,CDNS ,"282,079","31,573,102.47",1.229,Cadence Design Systems Inc,Common Stock,Information Technology,10/09/2020
RPG,595112103,MU ,"615,919","30,728,198.91",1.196,Micron Technology Inc,Common Stock,Information Technology,10/09/2020
RPG,679580100,ODFL ,"151,962","30,355,929.12",1.181,Old Dominion Freight Line Inc,Common Stock,Industrials,10/09/2020
RPG,594918104,MSFT ,"136,926","29,550,000.06",1.150,Microsoft Corp,Common Stock,Information Technology,10/09/2020
RPG,038222105,AMAT ,"461,002","29,176,816.58",1.135,Applied Materials Inc,Common Stock,Information Technology,10/09/2020
