Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
RPV,084670702,BRK/B ,"100,996","21,782,817.28",3.392,Berkshire Hathaway Inc,Common Stock,Financials,10/09/2020
RPV,501044101,KR ,"450,978","15,536,192.10",2.419,Kroger Co/The,Common Stock,Consumer Staples,10/09/2020
RPV,039483102,ADM ,"306,757","15,021,890.29",2.339,Archer-Daniels-Midland Co,Common Stock,Consumer Staples,10/09/2020
RPV,364760108,GPS ,"744,141","14,741,433.21",2.296,Gap Inc/The,Common Stock,Consumer Discretionary,10/09/2020
RPV,37045V100,GM ,"456,514","14,681,490.24",2.286,General Motors Co,Common Stock,Consumer Discretionary,10/09/2020
RPV,345370860,F ,"1,999,861","14,498,992.25",2.258,Ford Motor Co,Common Stock,Consumer Discretionary,10/09/2020
RPV,61945C103,MOS ,"676,599","13,335,766.29",2.077,Mosaic Co/The,Common Stock,Materials,10/09/2020
RPV,96145D105,WRK ,"350,693","13,256,195.40",2.064,Westrock Co,Common Stock,Materials,10/09/2020
RPV,22052L104,CTVA ,"377,826","12,630,723.18",1.967,Corteva Inc,Common Stock,Materials,10/09/2020
RPV,59156R108,MET ,"302,400","11,938,752.00",1.859,MetLife Inc,Common Stock,Financials,10/09/2020
RPV,15135B101,CNC ,"185,558","11,912,823.60",1.855,Centene Corp,Common Stock,Health Care,10/09/2020
RPV,526057104,LEN ,"141,600","11,904,312.00",1.854,Lennar Corp,Common Stock,Consumer Discretionary,10/09/2020
RPV,744320102,PRU ,"171,674","11,653,231.12",1.815,Prudential Financial Inc,Common Stock,Financials,10/09/2020
RPV,963320106,WHR ,"54,794","11,035,511.60",1.719,Whirlpool Corp,Common Stock,Consumer Discretionary,10/09/2020
RPV,03073E105,ABC ,"110,330","10,686,563.80",1.664,AmerisourceBergen Corp,Common Stock,Health Care,10/09/2020
RPV,501797104,LB ,"325,675","10,506,275.50",1.636,L Brands Inc,Common Stock,Consumer Discretionary,10/09/2020
RPV,91529Y106,UNM ,"542,644","10,163,722.12",1.583,Unum Group,Common Stock,Financials,10/09/2020
RPV,26614N102,DD ,"169,126","10,030,863.06",1.562,DuPont de Nemours Inc,Common Stock,Materials,10/09/2020
RPV,58155Q103,MCK ,"63,692","9,635,962.68",1.501,McKesson Corp,Common Stock,Health Care,10/09/2020
RPV,126650100,CVS ,"158,559","9,418,404.60",1.467,CVS Health Corp,Common Stock,Health Care,10/09/2020
RPV,05722G100,BKR ,"709,383","9,363,855.60",1.458,Baker Hughes Co,Common Stock,Energy,10/09/2020
RPV,N59465109,MYL ,"576,995","9,024,201.80",1.405,Mylan NV,Common Stock,Health Care,10/09/2020
RPV,534187109,LNC ,"251,881","8,778,052.85",1.367,Lincoln National Corp,Common Stock,Financials,10/09/2020
RPV,56585A102,MPC ,"290,714","8,756,305.68",1.364,Marathon Petroleum Corp,Common Stock,Energy,10/09/2020
RPV,31428X106,FDX ,"32,013","8,693,130.15",1.354,FedEx Corp,Common Stock,Industrials,10/09/2020
RPV,65249B109,NWSA ,"598,446","8,524,863.27",1.328,News Corp,Common Stock,Communication Services,10/09/2020
RPV,540424108,L ,"227,640","8,418,127.20",1.311,Loews Corp,Common Stock,Financials,10/09/2020
RPV,G491BT108,IVZ ,"616,997","8,088,830.67",1.260,Invesco Ltd,Common Stock,Financials,10/09/2020
RPV,125523100,CI ,"44,893","7,919,125.20",1.233,Cigna Corp,Common Stock,Health Care,10/09/2020
RPV,74251V102,PFG ,"179,805","7,636,318.35",1.189,Principal Financial Group Inc,Common Stock,Financials,10/09/2020
RPV,026874784,AIG ,"247,133","7,401,633.35",1.153,American International Group Inc,Common Stock,Financials,10/09/2020
RPV,60871R209,TAP ,"203,396","7,344,629.56",1.144,Molson Coors Beverage Co,Common Stock,Consumer Staples,10/09/2020
RPV,38141G104,GS ,"34,895","7,242,108.30",1.128,Goldman Sachs Group Inc/The,Common Stock,Financials,10/09/2020
RPV,14040H105,COF ,"89,510","7,150,058.80",1.113,Capital One Financial Corp,Common Stock,Financials,10/09/2020
RPV,617446448,MS ,"140,630","6,866,962.90",1.069,Morgan Stanley,Common Stock,Financials,10/09/2020
RPV,174610105,CFG ,"242,729","6,786,702.84",1.057,Citizens Financial Group Inc,Common Stock,Financials,10/09/2020
RPV,086516101,BBY ,"55,299","6,447,310.41",1.004,Best Buy Co Inc,Common Stock,Consumer Discretionary,10/09/2020
RPV,693656100,PVH ,"93,305","6,170,259.65",0.961,PVH Corp,Common Stock,Consumer Discretionary,10/09/2020
RPV,670346105,NUE ,"125,988","6,155,773.68",0.959,Nucor Corp,Common Stock,Materials,10/09/2020
RPV,931427108,WBA ,"167,306","6,079,900.04",0.947,Walgreens Boots Alliance Inc,Common Stock,Consumer Staples,10/09/2020
RPV,04621X108,AIZ ,"48,088","6,038,410.16",0.940,Assurant Inc,Common Stock,Financials,10/09/2020
RPV,651639106,NEM ,"95,148","5,977,197.36",0.931,Newmont Corp,Common Stock,Materials,10/09/2020
RPV,20605P101,CXO ,"127,514","5,741,955.42",0.894,Concho Resources Inc,Common Stock,Energy,10/09/2020
RPV,42824C109,HPE ,"555,179","5,446,305.99",0.848,Hewlett Packard Enterprise Co,Common Stock,Information Technology,10/09/2020
RPV,608190104,MHK ,"51,827","5,402,446.48",0.841,Mohawk Industries Inc,Common Stock,Consumer Discretionary,10/09/2020
RPV,020002101,ALL ,"56,931","5,286,612.66",0.823,Allstate Corp/The,Common Stock,Financials,10/09/2020
RPV,89417E109,TRV ,"44,829","5,192,543.07",0.809,Travelers Cos Inc/The,Common Stock,Financials,10/09/2020
RPV,91913Y100,VLO ,"117,508","5,128,049.12",0.799,Valero Energy Corp,Common Stock,Energy,10/09/2020
RPV,30161N101,EXC ,"129,059","5,059,112.80",0.788,Exelon Corp,Common Stock,Utilities,10/09/2020
RPV,7591EP100,RF ,"395,444","5,057,728.76",0.788,Regions Financial Corp,Common Stock,Financials,10/09/2020
RPV,277432100,EMN ,"57,453","4,950,150.48",0.771,Eastman Chemical Co,Common Stock,Materials,10/09/2020
RPV,099724106,BWA ,"123,731","4,902,222.22",0.763,BorgWarner Inc,Common Stock,Consumer Discretionary,10/09/2020
