Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
RTM,573284106,MLM ,"31,899","8,711,616.90",4.384,Martin Marietta Materials Inc,Common Stock,Materials,10/09/2020
RTM,929160109,VMC ,"53,153","8,014,409.34",4.034,Vulcan Materials Co,Common Stock,Materials,10/09/2020
RTM,96145D105,WRK ,"206,038","7,788,236.40",3.920,Westrock Co,Common Stock,Materials,10/09/2020
RTM,22052L104,CTVA ,"230,745","7,713,805.35",3.882,Corteva Inc,Common Stock,Materials,10/09/2020
RTM,150870103,CE ,"62,827","7,403,533.68",3.726,Celanese Corp,Common Stock,Materials,10/09/2020
RTM,058498106,BLL ,"81,981","7,399,605.06",3.724,Ball Corp,Common Stock,Materials,10/09/2020
RTM,460146103,IP ,"172,051","7,341,416.17",3.695,International Paper Co,Common Stock,Materials,10/09/2020
RTM,053611109,AVY ,"55,900","7,294,950.00",3.671,Avery Dennison Corp,Common Stock,Materials,10/09/2020
RTM,81211K100,SEE ,"170,691","7,285,091.88",3.667,Sealed Air Corp,Common Stock,Materials,10/09/2020
RTM,695156109,PKG ,"64,010","7,226,729.00",3.637,Packaging Corp of America,Common Stock,Materials,10/09/2020
RTM,277432100,EMN ,"83,703","7,211,850.48",3.630,Eastman Chemical Co,Common Stock,Materials,10/09/2020
RTM,61945C103,MOS ,"365,714","7,208,222.94",3.628,Mosaic Co/The,Common Stock,Materials,10/09/2020
RTM,N53745100,LYB ,"90,112","7,194,542.08",3.621,LyondellBasell Industries NV,Common Stock,Materials,10/09/2020
RTM,693506107,PPG ,"52,684","7,158,701.92",3.603,PPG Industries Inc,Common Stock,Materials,10/09/2020
RTM,670346105,NUE ,"145,791","7,123,348.26",3.585,Nucor Corp,Common Stock,Materials,10/09/2020
RTM,35671D857,FCX ,"411,566","7,091,282.18",3.569,Freeport-McMoRan Inc,Common Stock,Materials,10/09/2020
RTM,G0250X107,AMCR ,"605,443","6,914,159.06",3.480,Amcor PLC,Common Stock,Materials,10/09/2020
RTM,26614N102,DD ,"114,329","6,780,852.99",3.413,DuPont de Nemours Inc,Common Stock,Materials,10/09/2020
RTM,012653101,ALB ,"70,517","6,771,747.51",3.408,Albemarle Corp,Common Stock,Materials,10/09/2020
RTM,009158106,APD ,"22,297","6,702,478.20",3.373,Air Products and Chemicals Inc,Common Stock,Materials,10/09/2020
RTM,278865100,ECL ,"32,889","6,681,729.24",3.363,Ecolab Inc,Common Stock,Materials,10/09/2020
RTM,302491303,FMC ,"61,683","6,662,997.66",3.353,FMC Corp,Common Stock,Materials,10/09/2020
RTM,260557103,DOW ,"134,327","6,630,380.72",3.337,Dow Inc,Common Stock,Materials,10/09/2020
RTM,459506101,IFF ,"55,327","6,606,597.07",3.325,International Flavors & Fragrances Inc,Common Stock,Materials,10/09/2020
RTM,824348106,SHW ,"9,448","6,598,483.20",3.321,Sherwin-Williams Co/The,Common Stock,Materials,10/09/2020
RTM,G5494J103,LIN ,"26,766","6,422,234.04",3.232,Linde PLC,Common Stock,Materials,10/09/2020
RTM,651639106,NEM ,"101,120","6,352,358.40",3.197,Newmont Corp,Common Stock,Materials,10/09/2020
RTM,125269100,CF ,"200,666","6,286,865.78",3.164,CF Industries Holdings Inc,Common Stock,Materials,10/09/2020
RTM,825252885,AGPXX ,"113,648","113,647.82",0.057,STIT - Government & Agency Portfolio,"Money Market Fund, Taxable			     ",Investment Companies,10/09/2020
