Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
RWJ,911163103,UNFI ,"379,364","6,471,949.84",2.728,United Natural Foods Inc,Common Stock,Consumer Staples,10/09/2020
RWJ,69318G106,PBF ,"790,786","4,879,149.62",2.057,PBF Energy Inc,Common Stock,Energy,10/09/2020
RWJ,55616P104,M ,"754,171","4,698,485.33",1.981,Macy's Inc,Common Stock,Consumer Discretionary,10/09/2020
RWJ,075896100,BBBY ,"210,029","4,507,222.34",1.900,Bed Bath & Beyond Inc,Common Stock,Consumer Discretionary,10/09/2020
RWJ,398905109,GPI ,"32,038","3,992,575.56",1.683,Group 1 Automotive Inc,Common Stock,Consumer Discretionary,10/09/2020
RWJ,218681104,CORE ,"133,669","3,965,959.23",1.672,Core-Mark Holding Co Inc,Common Stock,Consumer Discretionary,10/09/2020
RWJ,690732102,OMI ,"138,807","3,658,952.52",1.542,Owens & Minor Inc,Common Stock,Health Care,10/09/2020
RWJ,203668108,CYH ,"681,132","3,330,735.48",1.404,Community Health Systems Inc,Common Stock,Health Care,10/09/2020
RWJ,36467W109,GME ,"248,724","2,989,662.48",1.260,GameStop Corp,Common Stock,Consumer Discretionary,10/09/2020
RWJ,847215100,SPTN ,"134,323","2,886,601.27",1.217,SpartanNash Co,Common Stock,Consumer Staples,10/09/2020
RWJ,88337F105,ODP ,"122,106","2,763,258.78",1.165,ODP Corp/The,Common Stock,Consumer Discretionary,10/09/2020
RWJ,83545G102,SAH ,"62,009","2,573,373.50",1.085,Sonic Automotive Inc,Common Stock,Consumer Discretionary,10/09/2020
RWJ,45765U103,NSIT ,"37,850","2,315,663.00",0.976,Insight Enterprises Inc,Common Stock,Information Technology,10/09/2020
RWJ,034164103,ANDE ,"116,941","2,293,213.01",0.967,Andersons Inc/The,Common Stock,Consumer Staples,10/09/2020
RWJ,03966V107,ARNC ,"86,156","1,953,156.52",0.823,Arconic Corp,Common Stock,Materials,10/09/2020
RWJ,923454102,VRTV ,"121,868","1,916,983.64",0.808,Veritiv Corp,Common Stock,Industrials,10/09/2020
RWJ,043436104,ABG ,"16,568","1,900,349.60",0.801,Asbury Automotive Group Inc,Common Stock,Consumer Discretionary,10/09/2020
RWJ,801056102,SANM ,"67,380","1,871,142.60",0.789,Sanmina Corp,Common Stock,Information Technology,10/09/2020
RWJ,257867200,RRD ,"1,302,685","1,823,759.00",0.769,RR Donnelley & Sons Co,Common Stock,Industrials,10/09/2020
RWJ,559079207,MGLN ,"22,284","1,732,135.32",0.730,Magellan Health Inc,Common Stock,Health Care,10/09/2020
RWJ,000957100,ABM ,"45,243","1,674,443.43",0.706,ABM Industries Inc,Common Stock,Industrials,10/09/2020
RWJ,089302103,BIG ,"31,611","1,593,826.62",0.672,Big Lots Inc,Common Stock,Consumer Discretionary,10/09/2020
RWJ,81619Q105,SEM ,"70,568","1,584,251.60",0.668,Select Medical Holdings Corp,Common Stock,Health Care,10/09/2020
RWJ,G81276100,SIG ,"73,136","1,523,422.88",0.642,Signet Jewelers Ltd,Common Stock,Consumer Discretionary,10/09/2020
RWJ,22304C100,CVET ,"54,299","1,397,113.27",0.589,Covetrus Inc,Common Stock,Health Care,10/09/2020
RWJ,G30401106,ENDP ,"275,319","1,371,088.62",0.578,Endo International PLC,Common Stock,Health Care,10/09/2020
RWJ,488152208,KELYA ,"73,399","1,361,551.45",0.574,Kelly Services Inc,Common Stock,Industrials,10/09/2020
RWJ,75605Y106,RLGY ,"120,903","1,326,305.91",0.559,Realogy Holdings Corp,Common Stock,Real Estate,10/09/2020
RWJ,09739D100,BCC ,"30,292","1,321,034.12",0.557,Boise Cascade Co,Common Stock,Materials,10/09/2020
RWJ,G1890L107,CPRI ,"58,598","1,269,232.68",0.535,Capri Holdings Ltd,Common Stock,Consumer Discretionary,10/09/2020
RWJ,90278Q108,UFPI ,"20,416","1,209,443.84",0.510,UFP Industries Inc,Common Stock,Industrials,10/09/2020
RWJ,59408Q106,MIK ,"120,185","1,206,657.40",0.509,Michaels Cos Inc/The,Common Stock,Consumer Discretionary,10/09/2020
RWJ,76118Y104,REZI ,"96,369","1,173,774.42",0.495,Resideo Technologies Inc,Common Stock,Industrials,10/09/2020
RWJ,253651103,DBD ,"135,215","1,169,609.75",0.493,Diebold Nixdorf Inc,Common Stock,Information Technology,10/09/2020
RWJ,59001A102,MTH ,"10,373","1,169,244.56",0.493,Meritage Homes Corp,Common Stock,Consumer Discretionary,10/09/2020
