Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
RWK,466313103,JBL ,"127,140","4,624,081.80",2.156,Jabil Inc,Common Stock,Information Technology,10/09/2020
RWK,981475106,INT ,"185,123","4,331,878.20",2.020,World Fuel Services Corp,Common Stock,Energy,10/09/2020
RWK,042735100,ARW ,"51,039","4,259,204.55",1.986,Arrow Electronics Inc,Common Stock,Information Technology,10/09/2020
RWK,87162W100,SNX ,"27,933","4,197,212.58",1.957,SYNNEX Corp,Common Stock,Information Technology,10/09/2020
RWK,05329W102,AN ,"54,122","3,277,628.32",1.528,AutoNation Inc,Common Stock,Consumer Discretionary,10/09/2020
RWK,60855R100,MOH ,"15,399","3,067,480.80",1.430,Molina Healthcare Inc,Common Stock,Health Care,10/09/2020
RWK,56418H100,MAN ,"40,704","3,044,659.20",1.420,ManpowerGroup Inc,Common Stock,Industrials,10/09/2020
RWK,343412102,FLR ,"255,315","2,788,039.80",1.300,Fluor Corp,Common Stock,Industrials,10/09/2020
RWK,48020Q107,JLL ,"25,904","2,775,095.52",1.294,Jones Lang LaSalle Inc,Common Stock,Real Estate,10/09/2020
RWK,053807103,AVT ,"94,725","2,658,930.75",1.240,Avnet Inc,Common Stock,Information Technology,10/09/2020
RWK,521865204,LEA ,"20,356","2,636,916.24",1.230,Lear Corp,Common Stock,Consumer Discretionary,10/09/2020
RWK,00766T100,ACM ,"56,776","2,620,780.16",1.222,AECOM,Common Stock,Industrials,10/09/2020
RWK,500255104,KSS ,"119,189","2,566,139.17",1.197,Kohl's Corp,Common Stock,Consumer Discretionary,10/09/2020
RWK,88033G407,THC ,"88,263","2,512,847.61",1.172,Tenet Healthcare Corp,Common Stock,Health Care,10/09/2020
RWK,983793100,XPO ,"26,267","2,502,457.09",1.167,XPO Logistics Inc,Common Stock,Industrials,10/09/2020
