Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
RWL,931142103,WMT ,"245,480","35,049,634.40",4.496,Walmart Inc,Common Stock,Consumer Staples,10/09/2020
RWL,023135106,AMZN ,"6,394","21,014,840.10",2.695,Amazon.com Inc,Common Stock,Consumer Discretionary,10/09/2020
RWL,037833100,AAPL ,"151,174","17,682,822.78",2.268,Apple Inc,Common Stock,Information Technology,10/09/2020
RWL,126650100,CVS ,"284,561","16,902,923.40",2.168,CVS Health Corp,Common Stock,Health Care,10/09/2020
RWL,91324P102,UNH ,"50,916","16,692,301.44",2.141,UnitedHealth Group Inc,Common Stock,Health Care,10/09/2020
RWL,084670702,BRK/B ,"70,611","15,229,380.48",1.953,Berkshire Hathaway Inc,Common Stock,Financials,10/09/2020
RWL,58155Q103,MCK ,"95,147","14,394,789.63",1.846,McKesson Corp,Common Stock,Health Care,10/09/2020
RWL,30231G102,XOM ,"357,657","12,425,004.18",1.594,Exxon Mobil Corp,Common Stock,Energy,10/09/2020
RWL,03073E105,ABC ,"122,668","11,881,622.48",1.524,AmerisourceBergen Corp,Common Stock,Health Care,10/09/2020
RWL,22160K105,COST ,"29,394","10,859,907.24",1.393,Costco Wholesale Corp,Common Stock,Consumer Staples,10/09/2020
RWL,00206R102,T ,"374,364","10,601,988.48",1.360,AT&T Inc,Common Stock,Communication Services,10/09/2020
RWL,125523100,CI ,"56,553","9,975,949.20",1.280,Cigna Corp,Common Stock,Health Care,10/09/2020
RWL,14149Y108,CAH ,"195,756","9,402,160.68",1.206,Cardinal Health Inc,Common Stock,Health Care,10/09/2020
RWL,594918104,MSFT ,"43,422","9,370,901.82",1.202,Microsoft Corp,Common Stock,Information Technology,10/09/2020
RWL,931427108,WBA ,"247,812","9,005,488.08",1.155,Walgreens Boots Alliance Inc,Common Stock,Consumer Staples,10/09/2020
RWL,46625H100,JPM ,"85,546","8,657,255.20",1.110,JPMorgan Chase & Co,Common Stock,Financials,10/09/2020
RWL,345370860,F ,"1,153,676","8,364,151.00",1.073,Ford Motor Co,Common Stock,Consumer Discretionary,10/09/2020
RWL,036752103,ANTM ,"27,129","7,987,048.89",1.024,Anthem Inc,Common Stock,Health Care,10/09/2020
RWL,92343V104,VZ ,"134,419","7,975,079.27",1.023,Verizon Communications Inc,Common Stock,Communication Services,10/09/2020
RWL,501044101,KR ,"228,309","7,865,245.05",1.009,Kroger Co/The,Common Stock,Consumer Staples,10/09/2020
RWL,437076102,HD ,"26,746","7,647,216.32",0.981,Home Depot Inc/The,Common Stock,Consumer Discretionary,10/09/2020
RWL,37045V100,GM ,"235,623","7,577,635.68",0.972,General Motors Co,Common Stock,Consumer Discretionary,10/09/2020
RWL,060505104,BAC ,"275,945","6,997,965.20",0.898,Bank of America Corp,Common Stock,Financials,10/09/2020
RWL,166764100,CVX ,"91,421","6,765,154.00",0.868,Chevron Corp,Common Stock,Energy,10/09/2020
RWL,20030N101,CMCSA ,"146,949","6,590,662.65",0.845,Comcast Corp,Common Stock,Communication Services,10/09/2020
RWL,15135B101,CNC ,"100,921","6,479,128.20",0.831,Centene Corp,Common Stock,Health Care,10/09/2020
RWL,369604103,GE ,"925,803","6,332,492.52",0.812,General Electric Co,Common Stock,Industrials,10/09/2020
RWL,56585A102,MPC ,"202,562","6,101,167.44",0.783,Marathon Petroleum Corp,Common Stock,Energy,10/09/2020
RWL,949746101,WFC ,"233,596","5,909,978.80",0.758,Wells Fargo & Co,Common Stock,Financials,10/09/2020
RWL,87612E106,TGT ,"35,448","5,803,192.08",0.744,Target Corp,Common Stock,Consumer Discretionary,10/09/2020
RWL,172967424,C ,"122,725","5,514,034.25",0.707,Citigroup Inc,Common Stock,Financials,10/09/2020
RWL,548661107,LOW ,"30,700","5,318,161.00",0.682,Lowe's Cos Inc,Common Stock,Consumer Discretionary,10/09/2020
RWL,911312106,UPS ,"30,019","5,244,019.11",0.673,United Parcel Service Inc,Common Stock,Industrials,10/09/2020
RWL,458140100,INTC ,"99,037","5,231,134.34",0.671,Intel Corp,Common Stock,Information Technology,10/09/2020
RWL,02079K305,GOOGL ,"3,377","5,100,789.65",0.654,Alphabet Inc,Common Stock,Communication Services,10/09/2020
RWL,02079K107,GOOG ,"3,366","5,100,230.52",0.654,Alphabet Inc,Common Stock,Communication Services,10/09/2020
RWL,91913Y100,VLO ,"116,699","5,092,744.36",0.653,Valero Energy Corp,Common Stock,Energy,10/09/2020
RWL,478160104,JNJ ,"33,678","5,084,367.66",0.652,Johnson & Johnson,Common Stock,Health Care,10/09/2020
RWL,718546104,PSX ,"94,909","5,033,973.36",0.646,Phillips 66,Common Stock,Energy,10/09/2020
RWL,31428X106,FDX ,"18,387","4,992,989.85",0.640,FedEx Corp,Common Stock,Industrials,10/09/2020
RWL,459200101,IBM ,"38,424","4,910,202.96",0.630,International Business Machines Corp,Common Stock,Information Technology,10/09/2020
RWL,444859102,HUM ,"11,196","4,852,794.24",0.622,Humana Inc,Common Stock,Health Care,10/09/2020
RWL,30303M102,FB ,"17,429","4,609,099.05",0.591,Facebook Inc,Common Stock,Communication Services,10/09/2020
RWL,742718109,PG ,"31,749","4,537,567.08",0.582,Procter & Gamble Co/The,Common Stock,Consumer Staples,10/09/2020
RWL,75513E101,RTX ,"72,775","4,359,950.25",0.559,Raytheon Technologies Corp,Common Stock,Industrials,10/09/2020
RWL,097023105,BA ,"25,699","4,300,213.67",0.552,Boeing Co/The,Common Stock,Industrials,10/09/2020
RWL,713448108,PEP ,"30,792","4,262,844.48",0.547,PepsiCo Inc,Common Stock,Consumer Staples,10/09/2020
RWL,59156R108,MET ,"106,492","4,204,304.16",0.539,MetLife Inc,Common Stock,Financials,10/09/2020
RWL,039483102,ADM ,"84,735","4,149,472.95",0.532,Archer-Daniels-Midland Co,Common Stock,Consumer Staples,10/09/2020
RWL,254687106,DIS ,"32,474","4,058,600.52",0.521,Walt Disney Co/The,Common Stock,Communication Services,10/09/2020
RWL,539830109,LMT ,"9,987","3,854,282.91",0.494,Lockheed Martin Corp,Common Stock,Industrials,10/09/2020
RWL,744320102,PRU ,"54,290","3,685,205.20",0.473,Prudential Financial Inc,Common Stock,Financials,10/09/2020
RWL,871829107,SYY ,"52,480","3,567,590.40",0.458,Sysco Corp,Common Stock,Consumer Staples,10/09/2020
RWL,40434L105,HPQ ,"180,708","3,500,313.96",0.449,HP Inc,Common Stock,Information Technology,10/09/2020
RWL,38141G104,GS ,"16,652","3,455,956.08",0.443,Goldman Sachs Group Inc/The,Common Stock,Financials,10/09/2020
RWL,872590104,TMUS ,"28,654","3,359,108.42",0.431,T-Mobile US Inc,Common Stock,Communication Services,10/09/2020
RWL,026874784,AIG ,"105,711","3,166,044.45",0.406,American International Group Inc,Common Stock,Financials,10/09/2020
RWL,717081103,PFE ,"84,310","3,101,764.90",0.398,Pfizer Inc,Common Stock,Health Care,10/09/2020
RWL,40412C101,HCA ,"23,143","3,100,236.28",0.398,HCA Healthcare Inc,Common Stock,Health Care,10/09/2020
RWL,617446448,MS ,"63,479","3,099,679.57",0.398,Morgan Stanley,Common Stock,Financials,10/09/2020
RWL,16119P108,CHTR ,"4,797","3,049,165.08",0.391,Charter Communications Inc,Common Stock,Communication Services,10/09/2020
RWL,17275R102,CSCO ,"76,417","3,045,217.45",0.391,Cisco Systems Inc,Common Stock,Information Technology,10/09/2020
RWL,149123101,CAT ,"18,695","2,971,383.30",0.381,Caterpillar Inc,Common Stock,Industrials,10/09/2020
RWL,086516101,BBY ,"25,072","2,923,144.48",0.375,Best Buy Co Inc,Common Stock,Consumer Discretionary,10/09/2020
RWL,58933Y105,MRK ,"34,363","2,761,410.68",0.354,Merck & Co Inc,Common Stock,Health Care,10/09/2020
RWL,025816109,AXP ,"25,880","2,752,079.20",0.353,American Express Co,Common Stock,Financials,10/09/2020
RWL,020002101,ALL ,"29,071","2,699,533.06",0.346,Allstate Corp/The,Common Stock,Financials,10/09/2020
RWL,G1151C101,ACN ,"11,777","2,693,282.13",0.345,Accenture PLC,Common Stock,Information Technology,10/09/2020
RWL,743315103,PGR ,"26,390","2,635,833.20",0.338,Progressive Corp/The,Common Stock,Financials,10/09/2020
RWL,68389X105,ORCL ,"42,369","2,590,864.35",0.332,Oracle Corp,Common Stock,Information Technology,10/09/2020
RWL,654106103,NKE ,"19,611","2,568,648.78",0.329,NIKE Inc,Common Stock,Consumer Discretionary,10/09/2020
RWL,244199105,DE ,"10,225","2,400,932.25",0.308,Deere & Co,Common Stock,Industrials,10/09/2020
RWL,902494103,TSN ,"41,329","2,396,255.42",0.307,Tyson Foods Inc,Common Stock,Consumer Staples,10/09/2020
RWL,260557103,DOW ,"48,475","2,392,726.00",0.307,Dow Inc,Common Stock,Materials,10/09/2020
RWL,369550108,GD ,"16,392","2,354,874.72",0.302,General Dynamics Corp,Common Stock,Industrials,10/09/2020
RWL,14040H105,COF ,"28,275","2,258,607.00",0.290,Capital One Financial Corp,Common Stock,Financials,10/09/2020
RWL,110122108,BMY ,"36,532","2,258,408.24",0.290,Bristol Myers Squibb Co,Common Stock,Health Care,10/09/2020
RWL,872540109,TJX ,"38,508","2,240,780.52",0.287,TJX Cos Inc/The,Common Stock,Consumer Discretionary,10/09/2020
