Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
RYE,25179M103,DVN ,"209,252","2,107,167.64",4.629,Devon Energy Corp,Common Stock,Energy,10/09/2020
RYE,682680103,OKE ,"71,260","2,070,103.00",4.548,ONEOK Inc,Common Stock,Energy,10/09/2020
RYE,20825C104,COP ,"56,690","1,991,519.70",4.375,ConocoPhillips,Common Stock,Energy,10/09/2020
RYE,674599105,OXY ,"183,659","1,987,190.38",4.365,Occidental Petroleum Corp,Common Stock,Energy,10/09/2020
RYE,G87110105,FTI ,"276,435","1,954,395.45",4.293,TECHNIPFMC PLC,Common Stock,Energy,10/09/2020
RYE,127097103,COG ,"102,905","1,947,991.65",4.279,Cabot Oil & Gas Corp,Common Stock,Energy,10/09/2020
RYE,25278X109,FANG ,"63,369","1,944,794.61",4.272,Diamondback Energy Inc,Common Stock,Energy,10/09/2020
RYE,49456B101,KMI ,"146,411","1,876,989.02",4.123,Kinder Morgan Inc,Common Stock,Energy,10/09/2020
RYE,436106108,HFC ,"89,594","1,869,826.78",4.108,HollyFrontier Corp,Common Stock,Energy,10/09/2020
RYE,20605P101,CXO ,"41,426","1,865,412.78",4.098,Concho Resources Inc,Common Stock,Energy,10/09/2020
RYE,56585A102,MPC ,"60,064","1,809,127.68",3.974,Marathon Petroleum Corp,Common Stock,Energy,10/09/2020
RYE,26875P101,EOG ,"48,066","1,805,358.96",3.966,EOG Resources Inc,Common Stock,Energy,10/09/2020
RYE,969457100,WMB ,"92,783","1,801,845.86",3.958,Williams Cos Inc/The,Common Stock,Energy,10/09/2020
RYE,723787107,PXD ,"20,387","1,795,483.09",3.944,Pioneer Natural Resources Co,Common Stock,Energy,10/09/2020
RYE,565849106,MRO ,"419,908","1,788,808.08",3.930,Marathon Oil Corp,Common Stock,Energy,10/09/2020
RYE,166764100,CVX ,"24,160","1,787,840.00",3.928,Chevron Corp,Common Stock,Energy,10/09/2020
RYE,05722G100,BKR ,"134,551","1,776,073.20",3.902,Baker Hughes Co,Common Stock,Energy,10/09/2020
RYE,30231G102,XOM ,"50,867","1,767,119.58",3.882,Exxon Mobil Corp,Common Stock,Energy,10/09/2020
RYE,91913Y100,VLO ,"40,461","1,765,718.04",3.879,Valero Energy Corp,Common Stock,Energy,10/09/2020
RYE,718546104,PSX ,"32,889","1,744,432.56",3.832,Phillips 66,Common Stock,Energy,10/09/2020
RYE,806857108,SLB ,"105,036","1,704,734.28",3.745,Schlumberger NV,Common Stock,Energy,10/09/2020
RYE,406216101,HAL ,"131,534","1,654,697.72",3.635,Halliburton Co,Common Stock,Energy,10/09/2020
RYE,42809H107,HES ,"43,399","1,651,765.94",3.629,Hess Corp,Common Stock,Energy,10/09/2020
RYE,037411105,APA ,"157,929","1,527,173.43",3.355,Apache Corp,Common Stock,Energy,10/09/2020
RYE,637071101,NOV ,"167,439","1,515,322.95",3.329,National Oilwell Varco Inc,Common Stock,Energy,10/09/2020
RYE,825252885,AGPXX ,"9,773","9,773.01",0.021,STIT - Government & Agency Portfolio,"Money Market Fund, Taxable			     ",Investment Companies,10/09/2020
