Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
RYF,G491BT108,IVZ ,"207,830","2,724,651.30",1.798,Invesco Ltd,Common Stock,Financials,10/09/2020
RYF,254709108,DFS ,"40,624","2,636,091.36",1.740,Discover Financial Services,Common Stock,Financials,10/09/2020
RYF,33616C100,FRC ,"20,787","2,571,767.64",1.697,First Republic Bank/CA,Common Stock,Financials,10/09/2020
RYF,57060D108,MKTX ,"4,908","2,562,221.40",1.691,MarketAxess Holdings Inc,Common Stock,Financials,10/09/2020
RYF,74144T108,TROW ,"17,686","2,515,126.06",1.660,T Rowe Price Group Inc,Common Stock,Financials,10/09/2020
RYF,89832Q109,TFC ,"58,168","2,513,439.28",1.659,Truist Financial Corp,Common Stock,Financials,10/09/2020
RYF,09247X101,BLK ,"4,109","2,512,941.13",1.658,BlackRock Inc,Common Stock,Financials,10/09/2020
RYF,14040H105,COF ,"31,299","2,500,164.12",1.650,Capital One Financial Corp,Common Stock,Financials,10/09/2020
RYF,03076C106,AMP ,"14,620","2,490,370.80",1.643,Ameriprise Financial Inc,Common Stock,Financials,10/09/2020
RYF,87165B103,SYF ,"86,226","2,486,757.84",1.641,Synchrony Financial,Common Stock,Financials,10/09/2020
RYF,354613101,BEN ,"109,925","2,483,205.75",1.639,Franklin Resources Inc,Common Stock,Financials,10/09/2020
RYF,316773100,FITB ,"105,668","2,470,517.84",1.630,Fifth Third Bancorp,Common Stock,Financials,10/09/2020
RYF,7591EP100,RF ,"193,036","2,468,930.44",1.629,Regions Financial Corp,Common Stock,Financials,10/09/2020
RYF,78486Q101,SIVB ,"8,946","2,456,929.44",1.621,SVB Financial Group,Common Stock,Financials,10/09/2020
RYF,808513105,SCHW ,"63,104","2,412,465.92",1.592,Charles Schwab Corp/The,Common Stock,Financials,10/09/2020
RYF,200340107,CMA ,"56,128","2,376,459.52",1.568,Comerica Inc,Common Stock,Financials,10/09/2020
RYF,902973304,USB ,"60,626","2,374,720.42",1.567,US Bancorp,Common Stock,Financials,10/09/2020
RYF,665859104,NTRS ,"27,849","2,373,291.78",1.566,Northern Trust Corp,Common Stock,Financials,10/09/2020
RYF,363576109,AJG ,"21,847","2,371,491.85",1.565,Arthur J Gallagher & Co,Common Stock,Financials,10/09/2020
RYF,712704105,PBCT ,"218,446","2,365,770.18",1.561,People's United Financial Inc,Common Stock,Financials,10/09/2020
