Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
RYH,015351109,ALXN ,"105,555","13,143,708.60",1.796,Alexion Pharmaceuticals Inc,Common Stock,Health Care,10/09/2020
RYH,G8473T100,STE ,"68,532","12,914,855.40",1.765,STERIS PLC,Common Stock,Health Care,10/09/2020
RYH,148806102,CTLT ,"134,478","12,705,481.44",1.736,Catalent Inc,Common Stock,Health Care,10/09/2020
RYH,036752103,ANTM ,"43,101","12,689,365.41",1.734,Anthem Inc,Common Stock,Health Care,10/09/2020
RYH,15135B101,CNC ,"197,047","12,650,417.40",1.729,Centene Corp,Common Stock,Health Care,10/09/2020
RYH,090572207,BIO ,"22,024","12,468,667.36",1.704,Bio-Rad Laboratories Inc,Common Stock,Health Care,10/09/2020
RYH,436440101,HOLX ,"179,262","12,438,990.18",1.700,Hologic Inc,Common Stock,Health Care,10/09/2020
RYH,444859102,HUM ,"28,417","12,317,064.48",1.683,Humana Inc,Common Stock,Health Care,10/09/2020
RYH,75886F107,REGN ,"20,415","12,291,259.05",1.679,Regeneron Pharmaceuticals Inc,Common Stock,Health Care,10/09/2020
RYH,863667101,SYK ,"55,051","12,272,519.43",1.677,Stryker Corp,Common Stock,Health Care,10/09/2020
RYH,235851102,DHR ,"54,286","12,271,893.16",1.677,Danaher Corp,Common Stock,Health Care,10/09/2020
RYH,714046109,PKI ,"94,499","12,254,630.32",1.674,PerkinElmer Inc,Common Stock,Health Care,10/09/2020
RYH,45168D104,IDXX ,"30,485","12,213,815.25",1.669,IDEXX Laboratories Inc,Common Stock,Health Care,10/09/2020
RYH,955306105,WST ,"40,828","12,178,175.84",1.664,West Pharmaceutical Services Inc,Common Stock,Health Care,10/09/2020
RYH,216648402,COO ,"34,028","12,176,919.80",1.664,Cooper Cos Inc/The,Common Stock,Health Care,10/09/2020
RYH,45337C102,INCY ,"126,378","12,099,429.72",1.653,Incyte Corp,Common Stock,Health Care,10/09/2020
RYH,91324P102,UNH ,"36,889","12,093,689.76",1.652,UnitedHealth Group Inc,Common Stock,Health Care,10/09/2020
RYH,50540R409,LH ,"61,286","11,997,347.36",1.639,Laboratory Corp of America Holdings,Common Stock,Health Care,10/09/2020
RYH,883556102,TMO ,"25,797","11,987,865.90",1.638,Thermo Fisher Scientific Inc,Common Stock,Health Care,10/09/2020
RYH,00846U101,A ,"112,793","11,928,987.68",1.630,Agilent Technologies Inc,Common Stock,Health Care,10/09/2020
RYH,98956P102,ZBH ,"79,889","11,822,773.11",1.615,Zimmer Biomet Holdings Inc,Common Stock,Health Care,10/09/2020
RYH,09062X103,BIIB ,"41,204","11,806,594.16",1.613,Biogen Inc,Common Stock,Health Care,10/09/2020
RYH,532457108,LLY ,"75,098","11,781,374.24",1.610,Eli Lilly and Co,Common Stock,Health Care,10/09/2020
RYH,74834L100,DGX ,"100,800","11,760,336.00",1.607,Quest Diagnostics Inc,Common Stock,Health Care,10/09/2020
RYH,592688105,MTD ,"11,423","11,713,829.58",1.601,Mettler-Toledo International Inc,Common Stock,Health Care,10/09/2020
RYH,46120E602,ISRG ,"15,830","11,685,547.70",1.597,Intuitive Surgical Inc,Common Stock,Health Care,10/09/2020
RYH,110122108,BMY ,"188,529","11,654,862.78",1.593,Bristol Myers Squibb Co,Common Stock,Health Care,10/09/2020
RYH,002824100,ABT ,"106,223","11,647,351.95",1.591,Abbott Laboratories,Common Stock,Health Care,10/09/2020
RYH,92532F100,VRTX ,"43,113","11,638,354.35",1.590,Vertex Pharmaceuticals Inc,Common Stock,Health Care,10/09/2020
RYH,46266C105,IQV ,"69,713","11,625,339.88",1.588,IQVIA Holdings Inc,Common Stock,Health Care,10/09/2020
RYH,98978V103,ZTS ,"70,127","11,601,109.61",1.585,Zoetis Inc,Common Stock,Health Care,10/09/2020
RYH,125523100,CI ,"65,667","11,583,658.80",1.583,Cigna Corp,Common Stock,Health Care,10/09/2020
RYH,G5960L103,MDT ,"106,150","11,536,382.00",1.576,Medtronic PLC,Common Stock,Health Care,10/09/2020
RYH,126650100,CVS ,"193,751","11,508,809.40",1.573,CVS Health Corp,Common Stock,Health Care,10/09/2020
RYH,016255101,ALGN ,"35,010","11,505,686.40",1.572,Align Technology Inc,Common Stock,Health Care,10/09/2020
RYH,24906P109,XRAY ,"251,841","11,458,765.50",1.566,DENTSPLY SIRONA Inc,Common Stock,Health Care,10/09/2020
RYH,03073E105,ABC ,"118,211","11,449,917.46",1.565,AmerisourceBergen Corp,Common Stock,Health Care,10/09/2020
RYH,28176E108,EW ,"135,991","11,409,644.90",1.559,Edwards Lifesciences Corp,Common Stock,Health Care,10/09/2020
RYH,761152107,RMD ,"64,659","11,387,743.08",1.556,ResMed Inc,Common Stock,Health Care,10/09/2020
RYH,478160104,JNJ ,"75,256","11,361,398.32",1.552,Johnson & Johnson,Common Stock,Health Care,10/09/2020
RYH,101137107,BSX ,"276,031","11,355,915.34",1.552,Boston Scientific Corp,Common Stock,Health Care,10/09/2020
RYH,156782104,CERN ,"156,749","11,347,060.11",1.550,Cerner Corp,Common Stock,Health Care,10/09/2020
RYH,N59465109,MYL ,"725,460","11,346,194.40",1.550,Mylan NV,Common Stock,Health Care,10/09/2020
RYH,717081103,PFE ,"308,326","11,343,313.54",1.550,Pfizer Inc,Common Stock,Health Care,10/09/2020
RYH,003654100,ABMD ,"41,225","11,277,511.00",1.541,ABIOMED Inc,Common Stock,Health Care,10/09/2020
RYH,252131107,DXCM ,"29,003","11,195,158.00",1.530,DexCom Inc,Common Stock,Health Care,10/09/2020
RYH,075887109,BDX ,"47,168","11,193,438.08",1.529,Becton Dickinson and Co,Common Stock,Health Care,10/09/2020
RYH,58155Q103,MCK ,"73,960","11,189,408.40",1.529,McKesson Corp,Common Stock,Health Care,10/09/2020
RYH,40412C101,HCA ,"82,995","11,118,010.20",1.519,HCA Healthcare Inc,Common Stock,Health Care,10/09/2020
RYH,23918K108,DVA ,"126,309","11,097,508.74",1.516,DaVita Inc,Common Stock,Health Care,10/09/2020
RYH,941848103,WAT ,"54,535","11,059,698.00",1.511,Waters Corp,Common Stock,Health Care,10/09/2020
RYH,14149Y108,CAH ,"229,874","11,040,848.22",1.509,Cardinal Health Inc,Common Stock,Health Care,10/09/2020
RYH,92220P105,VAR ,"64,163","11,029,619.70",1.507,Varian Medical Systems Inc,Common Stock,Health Care,10/09/2020
RYH,913903100,UHS ,"98,245","10,976,913.85",1.500,Universal Health Services Inc,Common Stock,Health Care,10/09/2020
RYH,879369106,TFX ,"30,011","10,909,298.61",1.491,Teleflex Inc,Common Stock,Health Care,10/09/2020
RYH,00287Y109,ABBV ,"123,983","10,873,309.10",1.486,AbbVie Inc,Common Stock,Health Care,10/09/2020
RYH,375558103,GILD ,"169,584","10,826,242.56",1.479,Gilead Sciences Inc,Common Stock,Health Care,10/09/2020
RYH,031162100,AMGN ,"45,727","10,823,580.90",1.479,Amgen Inc,Common Stock,Health Care,10/09/2020
RYH,452327109,ILMN ,"31,782","10,775,369.28",1.472,Illumina Inc,Common Stock,Health Care,10/09/2020
RYH,58933Y105,MRK ,"131,644","10,578,911.84",1.445,Merck & Co Inc,Common Stock,Health Care,10/09/2020
RYH,071813109,BAX ,"133,830","10,505,655.00",1.435,Baxter International Inc,Common Stock,Health Care,10/09/2020
RYH,G97822103,PRGO ,"228,739","10,489,970.54",1.433,Perrigo Co PLC,Common Stock,Health Care,10/09/2020
RYH,806407102,HSIC ,"172,772","10,445,795.12",1.427,Henry Schein Inc,Common Stock,Health Care,10/09/2020
RYH,825252885,AGPXX ,"20,657","20,656.55",0.003,STIT - Government & Agency Portfolio,"Money Market Fund, Taxable			     ",Investment Companies,10/09/2020
