Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
RYJ,14167L103,CDNA ,"21,001","1,133,108.96",1.026,CareDx Inc,Common Stock,Health Care,10/09/2020
RYJ,075896100,BBBY ,"50,308","1,079,609.68",0.977,Bed Bath & Beyond Inc,Common Stock,Consumer Discretionary,10/09/2020
RYJ,53814L108,LTHM ,"84,078","961,011.54",0.870,Livent Corp,Common Stock,Materials,10/09/2020
RYJ,87266J104,TPIC ,"26,978","958,528.34",0.868,TPI Composites Inc,Common Stock,Industrials,10/09/2020
RYJ,12739A100,CADE ,"86,683","917,106.14",0.830,Cadence BanCorp,Common Stock,Financials,10/09/2020
RYJ,67576A100,OCUL ,"80,498","907,212.46",0.821,Ocular Therapeutix Inc,Common Stock,Health Care,10/09/2020
RYJ,97650W108,WTFC ,"18,288","883,493.28",0.800,Wintrust Financial Corp,Common Stock,Financials,10/09/2020
RYJ,01973R101,ALSN ,"21,631","881,895.87",0.798,Allison Transmission Holdings Inc,Common Stock,Industrials,10/09/2020
RYJ,69478X105,PPBI ,"36,189","872,154.90",0.790,Pacific Premier Bancorp Inc,Common Stock,Financials,10/09/2020
RYJ,923451108,VBTX ,"43,611","866,550.57",0.785,Veritex Holdings Inc,Common Stock,Financials,10/09/2020
RYJ,947890109,WBS ,"28,378","855,596.70",0.775,Webster Financial Corp,Common Stock,Financials,10/09/2020
RYJ,30057T105,AQUA ,"35,509","852,216.00",0.772,Evoqua Water Technologies Corp,Common Stock,Industrials,10/09/2020
RYJ,23257D103,CBAY ,"106,962","846,069.42",0.766,Cymabay Therapeutics Inc,Common Stock,Health Care,10/09/2020
RYJ,68621T102,OBNK ,"34,341","845,132.01",0.765,Origin Bancorp Inc,Common Stock,Financials,10/09/2020
RYJ,320517105,FHN ,"78,160","837,875.20",0.759,First Horizon National Corp,Common Stock,Financials,10/09/2020
RYJ,929566107,WNC ,"60,829","837,007.04",0.758,Wabash National Corp,Common Stock,Industrials,10/09/2020
RYJ,872307103,TCF ,"30,427","830,352.83",0.752,TCF Financial Corp,Common Stock,Financials,10/09/2020
RYJ,036642106,ATRS ,"250,728","827,402.40",0.749,Antares Pharma Inc,Common Stock,Health Care,10/09/2020
RYJ,36251C103,GMS ,"30,789","824,529.42",0.746,GMS Inc,Common Stock,Industrials,10/09/2020
RYJ,59100U108,CASH ,"37,348","823,523.40",0.746,Meta Financial Group Inc,Common Stock,Financials,10/09/2020
RYJ,695263103,PACW ,"43,022","823,010.86",0.745,PacWest Bancorp,Common Stock,Financials,10/09/2020
RYJ,094235108,BLMN ,"47,490","823,001.70",0.745,Bloomin' Brands Inc,Common Stock,Consumer Discretionary,10/09/2020
RYJ,05465C100,AX ,"31,285","819,667.00",0.742,Axos Financial Inc,Common Stock,Financials,10/09/2020
RYJ,7591EP100,RF ,"63,363","810,412.77",0.734,Regions Financial Corp,Common Stock,Financials,10/09/2020
RYJ,05969A105,TBBK ,"85,517","808,990.82",0.732,Bancorp Inc/The,Common Stock,Financials,10/09/2020
