Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
RYT,70432V102,PAYC ,"92,205","33,747,030.00",1.740,Paycom Software Inc,Common Stock,Information Technology,10/09/2020
RYT,512807108,LRCX ,"83,266","30,201,410.86",1.557,Lam Research Corp,Common Stock,Information Technology,10/09/2020
RYT,482480100,KLAC ,"142,372","30,046,186.88",1.549,KLA Corp,Common Stock,Information Technology,10/09/2020
RYT,983919101,XLNX ,"248,144","30,010,535.36",1.547,Xilinx Inc,Common Stock,Information Technology,10/09/2020
RYT,902252105,TYL ,"75,245","29,291,373.60",1.510,Tyler Technologies Inc,Common Stock,Information Technology,10/09/2020
RYT,038222105,AMAT ,"445,080","28,169,113.20",1.452,Applied Materials Inc,Common Stock,Information Technology,10/09/2020
RYT,880770102,TER ,"326,740","28,132,314.00",1.450,Teradyne Inc,Common Stock,Information Technology,10/09/2020
RYT,44980X109,IPGP ,"154,415","27,953,747.45",1.441,IPG Photonics Corp,Common Stock,Information Technology,10/09/2020
RYT,81762P102,NOW ,"54,899","27,922,180.39",1.440,ServiceNow Inc,Common Stock,Information Technology,10/09/2020
RYT,49338L103,KEYS ,"265,072","27,901,478.72",1.438,Keysight Technologies Inc,Common Stock,Information Technology,10/09/2020
RYT,989207105,ZBRA ,"97,933","27,812,972.00",1.434,Zebra Technologies Corp,Common Stock,Information Technology,10/09/2020
RYT,83088M102,SWKS ,"179,797","27,739,081.16",1.430,Skyworks Solutions Inc,Common Stock,Information Technology,10/09/2020
RYT,595017104,MCHP ,"243,093","27,707,740.14",1.428,Microchip Technology Inc,Common Stock,Information Technology,10/09/2020
RYT,12514G108,CDW ,"219,901","27,705,326.99",1.428,CDW Corp/DE,Common Stock,Information Technology,10/09/2020
RYT,67066G104,NVDA ,"50,309","27,695,607.59",1.428,NVIDIA Corp,Common Stock,Information Technology,10/09/2020
RYT,337738108,FISV ,"263,050","27,649,185.50",1.425,Fiserv Inc,Common Stock,Information Technology,10/09/2020
RYT,053015103,ADP ,"183,449","27,489,832.65",1.417,Automatic Data Processing Inc,Common Stock,Information Technology,10/09/2020
RYT,74736K101,QRVO ,"199,085","27,447,848.95",1.415,Qorvo Inc,Common Stock,Information Technology,10/09/2020
RYT,040413106,ANET ,"120,109","27,338,009.49",1.409,Arista Networks Inc,Common Stock,Information Technology,10/09/2020
RYT,871607107,SNPS ,"122,250","27,239,745.00",1.404,Synopsys Inc,Common Stock,Information Technology,10/09/2020
RYT,882508104,TXN ,"179,507","27,089,401.37",1.397,Texas Instruments Inc,Common Stock,Information Technology,10/09/2020
RYT,57772K101,MXIM ,"370,900","27,075,700.00",1.396,Maxim Integrated Products Inc,Common Stock,Information Technology,10/09/2020
RYT,37940X102,GPN ,"147,227","27,057,378.06",1.395,Global Payments Inc,Common Stock,Information Technology,10/09/2020
RYT,127387108,CDNS ,"241,153","26,992,255.29",1.392,Cadence Design Systems Inc,Common Stock,Information Technology,10/09/2020
RYT,747525103,QCOM ,"215,830","26,950,692.10",1.389,QUALCOMM Inc,Common Stock,Information Technology,10/09/2020
RYT,704326107,PAYX ,"326,436","26,898,326.40",1.387,Paychex Inc,Common Stock,Information Technology,10/09/2020
RYT,H84989104,TEL ,"250,224","26,861,546.40",1.385,TE Connectivity Ltd,Common Stock,Information Technology,10/09/2020
RYT,302445101,FLIR ,"715,354","26,847,235.62",1.384,FLIR Systems Inc,Common Stock,Information Technology,10/09/2020
RYT,34959E109,FTNT ,"212,550","26,819,559.00",1.383,Fortinet Inc,Common Stock,Information Technology,10/09/2020
RYT,G7945M107,STX ,"525,987","26,809,557.39",1.382,Seagate Technology PLC,Common Stock,Information Technology,10/09/2020
RYT,79466L302,CRM ,"100,697","26,783,388.06",1.381,salesforce.com Inc,Common Stock,Information Technology,10/09/2020
RYT,219350105,GLW ,"766,419","26,656,052.82",1.374,Corning Inc,Common Stock,Information Technology,10/09/2020
RYT,007903107,AMD ,"320,663","26,647,095.30",1.374,Advanced Micro Devices Inc,Common Stock,Information Technology,10/09/2020
RYT,032095101,APH ,"234,725","26,638,940.25",1.373,Amphenol Corp,Common Stock,Information Technology,10/09/2020
RYT,461202103,INTU ,"77,713","26,563,080.53",1.369,Intuit Inc,Common Stock,Information Technology,10/09/2020
RYT,620076307,MSI ,"159,102","26,535,031.56",1.368,Motorola Solutions Inc,Common Stock,Information Technology,10/09/2020
RYT,032654105,ADI ,"215,109","26,529,392.97",1.368,Analog Devices Inc,Common Stock,Information Technology,10/09/2020
RYT,595112103,MU ,"531,123","26,497,726.47",1.366,Micron Technology Inc,Common Stock,Information Technology,10/09/2020
RYT,68389X105,ORCL ,"429,464","26,261,723.60",1.354,Oracle Corp,Common Stock,Information Technology,10/09/2020
RYT,03662Q105,ANSS ,"77,941","26,252,087.62",1.353,ANSYS Inc,Common Stock,Information Technology,10/09/2020
RYT,70450Y103,PYPL ,"133,040","26,244,800.80",1.353,PayPal Holdings Inc,Common Stock,Information Technology,10/09/2020
RYT,192446102,CTSH ,"359,042","26,238,789.36",1.353,Cognizant Technology Solutions Corp,Common Stock,Information Technology,10/09/2020
RYT,458140100,INTC ,"496,742","26,237,912.44",1.353,Intel Corp,Common Stock,Information Technology,10/09/2020
RYT,339041105,FLT ,"105,971","26,186,493.81",1.350,FleetCor Technologies Inc,Common Stock,Information Technology,10/09/2020
RYT,57636Q104,MA ,"74,146","26,128,308.94",1.347,Mastercard Inc,Common Stock,Information Technology,10/09/2020
RYT,00724F101,ADBE ,"51,935","26,079,679.60",1.345,Adobe Inc,Common Stock,Information Technology,10/09/2020
RYT,315616102,FFIV ,"204,012","26,023,770.72",1.342,F5 Networks Inc,Common Stock,Information Technology,10/09/2020
RYT,42824C109,HPE ,"2,649,289","25,989,525.09",1.340,Hewlett Packard Enterprise Co,Common Stock,Information Technology,10/09/2020
RYT,594918104,MSFT ,"119,979","25,892,667.99",1.335,Microsoft Corp,Common Stock,Information Technology,10/09/2020
RYT,92343E102,VRSN ,"123,552","25,891,557.12",1.335,VeriSign Inc,Common Stock,Information Technology,10/09/2020
RYT,00971T101,AKAM ,"229,875","25,867,833.75",1.334,Akamai Technologies Inc,Common Stock,Information Technology,10/09/2020
RYT,426281101,JKHY ,"157,141","25,848,123.09",1.333,Jack Henry & Associates Inc,Common Stock,Information Technology,10/09/2020
RYT,177376100,CTXS ,"184,932","25,785,068.76",1.329,Citrix Systems Inc,Common Stock,Information Technology,10/09/2020
RYT,459200101,IBM ,"201,544","25,755,307.76",1.328,International Business Machines Corp,Common Stock,Information Technology,10/09/2020
RYT,11133T103,BR ,"182,098","25,646,682.32",1.322,Broadridge Financial Solutions Inc,Common Stock,Information Technology,10/09/2020
RYT,11135F101,AVGO ,"68,055","25,636,318.50",1.322,Broadcom Inc,Common Stock,Information Technology,10/09/2020
RYT,037833100,AAPL ,"218,567","25,565,781.99",1.318,Apple Inc,Common Stock,Information Technology,10/09/2020
RYT,052769106,ADSK ,"107,611","25,557,612.50",1.318,Autodesk Inc,Common Stock,Information Technology,10/09/2020
RYT,525327102,LDOS ,"280,824","25,518,476.88",1.316,Leidos Holdings Inc,Common Stock,Information Technology,10/09/2020
RYT,98421M106,XRX ,"1,282,317","25,492,461.96",1.314,Xerox Holdings Corp,Common Stock,Information Technology,10/09/2020
RYT,64110D104,NTAP ,"555,215","25,467,712.05",1.313,NetApp Inc,Common Stock,Information Technology,10/09/2020
RYT,31620M106,FIS ,"169,725","25,294,116.75",1.304,Fidelity National Information Services Inc,Common Stock,Information Technology,10/09/2020
RYT,92826C839,V ,"121,982","25,206,360.48",1.300,Visa Inc,Common Stock,Information Technology,10/09/2020
RYT,23355L106,DXC ,"1,252,144","25,105,487.20",1.294,DXC Technology Co,Common Stock,Information Technology,10/09/2020
RYT,958102105,WDC ,"655,056","24,970,734.72",1.287,Western Digital Corp,Common Stock,Information Technology,10/09/2020
RYT,959802109,WU ,"1,106,665","24,601,162.95",1.268,Western Union Co/The,Common Stock,Information Technology,10/09/2020
RYT,40434L105,HPQ ,"1,269,021","24,580,936.77",1.267,HP Inc,Common Stock,Information Technology,10/09/2020
RYT,17275R102,CSCO ,"613,828","24,461,045.80",1.261,Cisco Systems Inc,Common Stock,Information Technology,10/09/2020
RYT,366651107,IT ,"193,300","24,433,120.00",1.260,Gartner Inc,Common Stock,Information Technology,10/09/2020
RYT,668771108,NLOK ,"1,158,516","24,311,458.26",1.253,NortonLifeLock Inc,Common Stock,Information Technology,10/09/2020
RYT,48203R104,JNPR ,"1,058,799","23,992,385.34",1.237,Juniper Networks Inc,Common Stock,Information Technology,10/09/2020
RYT,G1151C101,ACN ,"104,269","23,845,277.61",1.229,Accenture PLC,Common Stock,Information Technology,10/09/2020
RYT,928881101,VNT ,"713,892","20,067,504.12",1.035,Vontier Corp,Common Stock,Information Technology,10/09/2020
RYT,825252885,AGPXX ,"1,790,230","1,790,229.92",0.092,STIT - Government & Agency Portfolio,"Money Market Fund, Taxable			     ",Investment Companies,10/09/2020
