Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
RYU,723484101,PNW ,"114,819","9,479,456.64",3.857,Pinnacle West Capital Corp,Common Stock,Utilities,10/09/2020
RYU,209115104,ED ,"111,915","9,238,583.25",3.759,Consolidated Edison Inc,Common Stock,Utilities,10/09/2020
RYU,842587107,SO ,"157,277","9,238,450.98",3.759,Southern Co/The,Common Stock,Utilities,10/09/2020
RYU,025537101,AEP ,"102,851","9,238,076.82",3.759,American Electric Power Co Inc,Common Stock,Utilities,10/09/2020
RYU,26441C204,DUK ,"98,045","9,147,598.50",3.722,Duke Energy Corp,Common Stock,Utilities,10/09/2020
RYU,30040W108,ES ,"99,083","9,134,461.77",3.717,Eversource Energy,Common Stock,Utilities,10/09/2020
RYU,29364G103,ETR ,"85,287","9,027,628.95",3.673,Entergy Corp,Common Stock,Utilities,10/09/2020
RYU,281020107,EIX ,"160,788","9,018,598.92",3.670,Edison International,Common Stock,Utilities,10/09/2020
RYU,030420103,AWK ,"57,694","8,985,840.50",3.656,American Water Works Co Inc,Common Stock,Utilities,10/09/2020
RYU,15189T107,CNP ,"418,544","8,944,285.28",3.639,CenterPoint Energy Inc,Common Stock,Utilities,10/09/2020
RYU,744573106,PEG ,"155,386","8,944,018.16",3.639,Public Service Enterprise Group Inc,Common Stock,Utilities,10/09/2020
RYU,30161N101,EXC ,"227,203","8,906,357.60",3.624,Exelon Corp,Common Stock,Utilities,10/09/2020
RYU,65339F101,NEE ,"29,267","8,865,266.97",3.607,NextEra Energy Inc,Common Stock,Utilities,10/09/2020
RYU,00130H105,AES ,"457,341","8,835,828.12",3.595,AES Corp/The,Common Stock,Utilities,10/09/2020
RYU,023608102,AEE ,"106,275","8,719,863.75",3.548,Ameren Corp,Common Stock,Utilities,10/09/2020
RYU,816851109,SRE ,"69,106","8,708,047.06",3.543,Sempra Energy,Common Stock,Utilities,10/09/2020
RYU,337932107,FE ,"277,555","8,665,267.10",3.526,FirstEnergy Corp,Common Stock,Utilities,10/09/2020
RYU,125896100,CMS ,"133,651","8,599,105.34",3.499,CMS Energy Corp,Common Stock,Utilities,10/09/2020
RYU,98389B100,XEL ,"118,229","8,596,430.59",3.498,Xcel Energy Inc,Common Stock,Utilities,10/09/2020
RYU,018802108,LNT ,"156,974","8,592,756.76",3.496,Alliant Energy Corp,Common Stock,Utilities,10/09/2020
RYU,69351T106,PPL ,"295,702","8,557,615.88",3.482,PPL Corp,Common Stock,Utilities,10/09/2020
RYU,92939U106,WEC ,"84,834","8,435,892.96",3.432,WEC Energy Group Inc,Common Stock,Utilities,10/09/2020
RYU,049560105,ATO ,"87,337","8,428,893.87",3.430,Atmos Energy Corp,Common Stock,Utilities,10/09/2020
RYU,25746U109,D ,"102,218","8,359,388.04",3.401,Dominion Energy Inc,Common Stock,Utilities,10/09/2020
RYU,629377508,NRG ,"257,535","8,310,654.45",3.381,NRG Energy Inc,Common Stock,Utilities,10/09/2020
RYU,65473P105,NI ,"369,359","8,306,883.91",3.380,NiSource Inc,Common Stock,Utilities,10/09/2020
RYU,30034W106,EVRG ,"156,732","8,295,824.76",3.375,Evergy Inc,Common Stock,Utilities,10/09/2020
RYU,233331107,DTE ,"68,732","8,267,772.28",3.364,DTE Energy Co,Common Stock,Utilities,10/09/2020
RYU,CASHUSD00,-CASH-,"-80,007","-80,007.28",-0.033,Cash/Receivables/Payables,Currency,Cash,10/09/2020
