Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
RZG,49714P108,KNSL ,"15,011","3,125,290.20",2.857,Kinsale Capital Group Inc,Common Stock,Financials,10/09/2020
RZG,45781V101,IIPR ,"20,715","2,718,222.30",2.485,Innovative Industrial Properties Inc,Real Estate Investment Trust			     ,Real Estate,10/09/2020
RZG,50187T106,LGIH ,"20,116","2,539,846.16",2.322,LGI Homes Inc,Common Stock,Consumer Discretionary,10/09/2020
RZG,45780R101,IBP ,"19,968","2,370,401.28",2.167,Installed Building Products Inc,Common Stock,Consumer Discretionary,10/09/2020
RZG,78645L100,SAFE ,"34,751","2,240,049.46",2.048,Safehold Inc,Real Estate Investment Trust			     ,Real Estate,10/09/2020
RZG,76009N100,RCII ,"52,105","1,784,596.25",1.632,Rent-A-Center Inc/TX,Common Stock,Consumer Discretionary,10/09/2020
RZG,829214105,SLP ,"23,529","1,755,028.11",1.604,Simulations Plus Inc,Common Stock,Health Care,10/09/2020
RZG,114340102,BRKS ,"32,485","1,707,086.75",1.561,Brooks Automation Inc,Common Stock,Information Technology,10/09/2020
RZG,87874R100,TTGT ,"33,778","1,669,984.32",1.527,TechTarget Inc,Common Stock,Communication Services,10/09/2020
RZG,92828Q109,VRTS ,"9,895","1,539,760.95",1.408,Virtus Investment Partners Inc,Common Stock,Financials,10/09/2020
RZG,974637100,WGO ,"28,248","1,514,375.28",1.384,Winnebago Industries Inc,Common Stock,Consumer Discretionary,10/09/2020
RZG,78709Y105,SAIA ,"10,379","1,492,292.62",1.364,Saia Inc,Common Stock,Industrials,10/09/2020
RZG,90385V107,UCTT ,"60,428","1,470,817.52",1.345,Ultra Clean Holdings Inc,Common Stock,Information Technology,10/09/2020
RZG,703343103,PATK ,"22,317","1,430,519.70",1.308,Patrick Industries Inc,Common Stock,Industrials,10/09/2020
RZG,64049M209,NEO ,"34,850","1,408,637.00",1.288,NeoGenomics Inc,Common Stock,Health Care,10/09/2020
RZG,83125X103,SNBR ,"24,910","1,382,505.00",1.264,Sleep Number Corp,Common Stock,Consumer Discretionary,10/09/2020
RZG,398433102,GFF ,"53,627","1,249,509.10",1.142,Griffon Corp,Common Stock,Industrials,10/09/2020
RZG,749397105,RCM ,"69,436","1,230,405.92",1.125,R1 RCM Inc,Common Stock,Health Care,10/09/2020
RZG,89854H102,TTEC ,"20,793","1,220,341.17",1.116,TTEC Holdings Inc,Common Stock,Information Technology,10/09/2020
RZG,90278Q108,UFPI ,"20,562","1,218,092.88",1.114,UFP Industries Inc,Common Stock,Industrials,10/09/2020
RZG,98585X104,YETI ,"23,832","1,206,137.52",1.103,YETI Holdings Inc,Common Stock,Consumer Discretionary,10/09/2020
RZG,552676108,MDC ,"23,793","1,205,115.45",1.102,MDC Holdings Inc,Common Stock,Consumer Discretionary,10/09/2020
RZG,313855108,FSS ,"37,594","1,172,932.80",1.072,Federal Signal Corp,Common Stock,Industrials,10/09/2020
RZG,78463M107,SPSC ,"13,623","1,169,943.24",1.070,SPS Commerce Inc,Common Stock,Information Technology,10/09/2020
RZG,98986M103,ZYXI ,"57,467","1,133,823.91",1.037,Zynex Inc,Common Stock,Health Care,10/09/2020
RZG,359664109,FLGT ,"25,641","1,128,204.00",1.031,Fulgent Genetics Inc,Common Stock,Health Care,10/09/2020
RZG,346375108,FORM ,"38,368","1,115,741.44",1.020,FormFactor Inc,Common Stock,Information Technology,10/09/2020
RZG,29670E107,EPRT ,"57,206","1,104,647.86",1.010,Essential Properties Realty Trust Inc,Real Estate Investment Trust			     ,Real Estate,10/09/2020
RZG,629209305,NMIH ,"46,336","1,054,144.00",0.964,NMI Holdings Inc,Common Stock,Financials,10/09/2020
RZG,898202106,TRUP ,"11,680","1,050,966.40",0.961,Trupanion Inc,Common Stock,Financials,10/09/2020
RZG,218352102,CORT ,"57,140","1,048,519.00",0.959,Corcept Therapeutics Inc,Common Stock,Health Care,10/09/2020
RZG,131193104,ELY ,"51,874","1,032,811.34",0.944,Callaway Golf Co,Common Stock,Consumer Discretionary,10/09/2020
RZG,70805E109,PNTG ,"26,483","1,032,042.51",0.944,Pennant Group Inc/The,Common Stock,Health Care,10/09/2020
RZG,030506109,AMWD ,"11,151","1,024,107.84",0.936,American Woodmark Corp,Common Stock,Industrials,10/09/2020
RZG,576485205,MTDR ,"108,297","989,834.58",0.905,Matador Resources Co,Common Stock,Energy,10/09/2020
RZG,20369C106,CHCT ,"18,992","963,464.16",0.881,Community Healthcare Trust Inc,Real Estate Investment Trust			     ,Real Estate,10/09/2020
