Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
RZV,049164205,AAWW ,"68,843","4,662,736.39",3.852,Atlas Air Worldwide Holdings Inc,Common Stock,Industrials,10/09/2020
RZV,75972A301,REGI ,"60,138","3,804,931.26",3.144,Renewable Energy Group Inc,Common Stock,Energy,10/09/2020
RZV,845467109,SWN ,"912,775","2,665,303.00",2.202,Southwestern Energy Co,Common Stock,Energy,10/09/2020
RZV,847215100,SPTN ,"118,869","2,554,494.81",2.111,SpartanNash Co,Common Stock,Consumer Staples,10/09/2020
RZV,567908108,HZO ,"96,220","2,478,627.20",2.048,MarineMax Inc,Common Stock,Consumer Discretionary,10/09/2020
RZV,089302103,BIG ,"48,020","2,421,168.40",2.000,Big Lots Inc,Common Stock,Consumer Discretionary,10/09/2020
RZV,209034107,CNSL ,"391,984","2,304,865.92",1.904,Consolidated Communications Holdings Inc,Common Stock,Communication Services,10/09/2020
RZV,393657101,GBX ,"62,107","2,094,869.11",1.731,Greenbrier Cos Inc/The,Common Stock,Industrials,10/09/2020
RZV,03937C105,ARCB ,"55,457","1,940,995.00",1.604,ArcBest Corp,Common Stock,Industrials,10/09/2020
RZV,76118Y104,REZI ,"155,585","1,895,025.30",1.566,Resideo Technologies Inc,Common Stock,Industrials,10/09/2020
RZV,393222104,GPRE ,"104,788","1,706,472.58",1.410,Green Plains Inc,Common Stock,Energy,10/09/2020
RZV,88337F105,ODP ,"75,238","1,702,635.94",1.407,ODP Corp/The,Common Stock,Consumer Discretionary,10/09/2020
RZV,861896108,SNEX ,"31,361","1,697,884.54",1.403,StoneX Group Inc,Common Stock,Financials,10/09/2020
RZV,075896100,BBBY ,"77,550","1,664,223.00",1.375,Bed Bath & Beyond Inc,Common Stock,Consumer Discretionary,10/09/2020
RZV,899896104,TUP ,"74,168","1,644,304.56",1.359,Tupperware Brands Corp,Common Stock,Consumer Discretionary,10/09/2020
RZV,27875T101,ECHO ,"58,801","1,618,203.52",1.337,Echo Global Logistics Inc,Common Stock,Industrials,10/09/2020
RZV,488152208,KELYA ,"84,151","1,561,001.05",1.290,Kelly Services Inc,Common Stock,Industrials,10/09/2020
RZV,34988V106,FOSL ,"226,675","1,525,522.75",1.260,Fossil Group Inc,Common Stock,Consumer Discretionary,10/09/2020
RZV,75605Y106,RLGY ,"137,275","1,505,906.75",1.244,Realogy Holdings Corp,Common Stock,Real Estate,10/09/2020
RZV,55616P104,M ,"237,941","1,482,372.43",1.225,Macy's Inc,Common Stock,Consumer Discretionary,10/09/2020
RZV,034164103,ANDE ,"74,136","1,453,806.96",1.201,Andersons Inc/The,Common Stock,Consumer Staples,10/09/2020
RZV,817070501,SENEA ,"35,486","1,430,795.52",1.182,Seneca Foods Corp,Common Stock,Consumer Staples,10/09/2020
RZV,83545G102,SAH ,"34,174","1,418,221.00",1.172,Sonic Automotive Inc,Common Stock,Consumer Discretionary,10/09/2020
RZV,50077C106,KRA ,"55,788","1,413,110.04",1.168,Kraton Corp,Common Stock,Materials,10/09/2020
RZV,002896207,ANF ,"85,639","1,401,910.43",1.158,Abercrombie & Fitch Co,Common Stock,Consumer Discretionary,10/09/2020
RZV,690732102,OMI ,"52,607","1,386,720.52",1.146,Owens & Minor Inc,Common Stock,Health Care,10/09/2020
