Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
SPGP,78486Q101,SIVB ,"16,645","4,571,382.80",2.464,SVB Financial Group,Common Stock,Financials,10/09/2020
SPGP,016255101,ALGN ,"13,454","4,421,522.56",2.383,Align Technology Inc,Common Stock,Health Care,10/09/2020
SPGP,00724F101,ADBE ,"8,137","4,086,075.92",2.202,Adobe Inc,Common Stock,Information Technology,10/09/2020
SPGP,74762E102,PWR ,"68,527","4,058,854.21",2.187,Quanta Services Inc,Common Stock,Industrials,10/09/2020
SPGP,70432V102,PAYC ,"10,973","4,016,118.00",2.164,Paycom Software Inc,Common Stock,Information Technology,10/09/2020
SPGP,30303M102,FB ,"14,800","3,913,860.00",2.109,Facebook Inc,Common Stock,Communication Services,10/09/2020
SPGP,743315103,PGR ,"35,450","3,540,746.00",1.908,Progressive Corp/The,Common Stock,Financials,10/09/2020
SPGP,745867101,PHM ,"70,619","3,458,918.62",1.864,PulteGroup Inc,Common Stock,Consumer Discretionary,10/09/2020
SPGP,003654100,ABMD ,"12,625","3,453,695.00",1.861,ABIOMED Inc,Common Stock,Health Care,10/09/2020
SPGP,040413106,ANET ,"14,889","3,388,885.29",1.826,Arista Networks Inc,Common Stock,Information Technology,10/09/2020
SPGP,512807108,LRCX ,"9,276","3,364,497.96",1.813,Lam Research Corp,Common Stock,Information Technology,10/09/2020
SPGP,217204106,CPRT ,"27,697","3,190,971.37",1.720,Copart Inc,Common Stock,Industrials,10/09/2020
SPGP,46120E602,ISRG ,"4,305","3,177,907.95",1.713,Intuitive Surgical Inc,Common Stock,Health Care,10/09/2020
SPGP,015351109,ALXN ,"24,887","3,098,929.24",1.670,Alexion Pharmaceuticals Inc,Common Stock,Health Care,10/09/2020
SPGP,693718108,PCAR ,"34,085","3,041,063.70",1.639,PACCAR Inc,Common Stock,Industrials,10/09/2020
SPGP,57636Q104,MA ,"8,548","3,012,229.72",1.623,Mastercard Inc,Common Stock,Information Technology,10/09/2020
SPGP,87165B103,SYF ,"102,196","2,947,332.64",1.588,Synchrony Financial,Common Stock,Financials,10/09/2020
SPGP,02079K305,GOOGL ,"1,911","2,886,469.95",1.556,Alphabet Inc,Common Stock,Communication Services,10/09/2020
SPGP,12503M108,CBOE ,"33,789","2,884,229.04",1.554,Cboe Global Markets Inc,Common Stock,Financials,10/09/2020
SPGP,34959E109,FTNT ,"22,346","2,819,618.28",1.520,Fortinet Inc,Common Stock,Information Technology,10/09/2020
SPGP,23331A109,DHI ,"35,970","2,808,897.30",1.514,DR Horton Inc,Common Stock,Consumer Discretionary,10/09/2020
SPGP,874054109,TTWO ,"16,820","2,718,784.80",1.465,Take-Two Interactive Software Inc,Common Stock,Communication Services,10/09/2020
SPGP,92556H206,VIAC ,"93,631","2,707,340.37",1.459,ViacomCBS Inc,Common Stock,Communication Services,10/09/2020
SPGP,09857L108,BKNG ,"1,484","2,697,748.76",1.454,Booking Holdings Inc,Common Stock,Consumer Discretionary,10/09/2020
SPGP,92826C839,V ,"12,972","2,680,534.08",1.445,Visa Inc,Common Stock,Information Technology,10/09/2020
SPGP,127387108,CDNS ,"23,553","2,636,287.29",1.421,Cadence Design Systems Inc,Common Stock,Information Technology,10/09/2020
SPGP,231021106,CMI ,"11,751","2,624,233.32",1.414,Cummins Inc,Common Stock,Industrials,10/09/2020
SPGP,526057104,LEN ,"30,619","2,574,139.33",1.387,Lennar Corp,Common Stock,Consumer Discretionary,10/09/2020
SPGP,038222105,AMAT ,"40,102","2,538,055.58",1.368,Applied Materials Inc,Common Stock,Information Technology,10/09/2020
SPGP,037833100,AAPL ,"21,683","2,536,260.51",1.367,Apple Inc,Common Stock,Information Technology,10/09/2020
