Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
SPHB,G66721104,NCLH ,"134,985","2,528,269.05",1.624,Norwegian Cruise Line Holdings Ltd,Common Stock,Consumer Discretionary,10/09/2020
SPHB,254709108,DFS ,"36,241","2,351,678.49",1.510,Discover Financial Services,Common Stock,Financials,10/09/2020
SPHB,V7780T103,RCL ,"31,558","2,243,458.22",1.441,Royal Caribbean Cruises Ltd,Common Stock,Consumer Discretionary,10/09/2020
SPHB,693656100,PVH ,"33,616","2,223,026.08",1.428,PVH Corp,Common Stock,Consumer Discretionary,10/09/2020
SPHB,876030107,TPR ,"116,812","2,198,401.84",1.412,Tapestry Inc,Common Stock,Consumer Discretionary,10/09/2020
SPHB,534187109,LNC ,"61,175","2,131,948.75",1.369,Lincoln National Corp,Common Stock,Financials,10/09/2020
SPHB,364760108,GPS ,"107,575","2,131,060.75",1.369,Gap Inc/The,Common Stock,Consumer Discretionary,10/09/2020
SPHB,G491BT108,IVZ ,"161,470","2,116,871.70",1.359,Invesco Ltd,Common Stock,Financials,10/09/2020
SPHB,35671D857,FCX ,"121,451","2,092,600.73",1.344,Freeport-McMoRan Inc,Common Stock,Materials,10/09/2020
SPHB,03076C106,AMP ,"12,087","2,058,899.58",1.322,Ameriprise Financial Inc,Common Stock,Financials,10/09/2020
SPHB,143658300,CCL ,"131,204","2,058,590.76",1.322,Carnival Corp,Common Stock,Consumer Discretionary,10/09/2020
SPHB,87165B103,SYF ,"70,898","2,044,698.32",1.313,Synchrony Financial,Common Stock,Financials,10/09/2020
SPHB,237194105,DRI ,"19,657","2,004,817.43",1.287,Darden Restaurants Inc,Common Stock,Consumer Discretionary,10/09/2020
SPHB,23355L106,DXC ,"99,607","1,997,120.35",1.283,DXC Technology Co,Common Stock,Information Technology,10/09/2020
SPHB,14040H105,COF ,"24,594","1,964,568.72",1.262,Capital One Financial Corp,Common Stock,Financials,10/09/2020
SPHB,501797104,LB ,"60,187","1,941,632.62",1.247,L Brands Inc,Common Stock,Consumer Discretionary,10/09/2020
SPHB,316773100,FITB ,"82,738","1,934,414.44",1.242,Fifth Third Bancorp,Common Stock,Financials,10/09/2020
SPHB,70432V102,PAYC ,"5,066","1,854,156.00",1.191,Paycom Software Inc,Common Stock,Information Technology,10/09/2020
SPHB,174610105,CFG ,"65,905","1,842,703.80",1.183,Citizens Financial Group Inc,Common Stock,Financials,10/09/2020
SPHB,962166104,WY ,"62,818","1,841,823.76",1.183,Weyerhaeuser Co,Real Estate Investment Trust			     ,Real Estate,10/09/2020
SPHB,96145D105,WRK ,"48,716","1,841,464.80",1.183,Westrock Co,Common Stock,Materials,10/09/2020
SPHB,91529Y106,UNM ,"97,735","1,830,576.55",1.176,Unum Group,Common Stock,Financials,10/09/2020
SPHB,552953101,MGM ,"85,625","1,828,950.00",1.175,MGM Resorts International,Common Stock,Consumer Discretionary,10/09/2020
SPHB,N53745100,LYB ,"22,769","1,817,876.96",1.167,LyondellBasell Industries NV,Common Stock,Materials,10/09/2020
SPHB,493267108,KEY ,"136,253","1,787,639.36",1.148,KeyCorp,Common Stock,Financials,10/09/2020
SPHB,854502101,SWK ,"10,078","1,780,379.48",1.143,Stanley Black & Decker Inc,Common Stock,Industrials,10/09/2020
SPHB,78486Q101,SIVB ,"6,411","1,760,717.04",1.131,SVB Financial Group,Common Stock,Financials,10/09/2020
SPHB,595017104,MCHP ,"15,430","1,758,711.40",1.129,Microchip Technology Inc,Common Stock,Information Technology,10/09/2020
SPHB,524660107,LEG ,"38,885","1,747,491.90",1.122,Leggett & Platt Inc,Common Stock,Consumer Discretionary,10/09/2020
SPHB,911363109,URI ,"8,823","1,737,601.62",1.116,United Rentals Inc,Common Stock,Industrials,10/09/2020
SPHB,7591EP100,RF ,"135,625","1,734,643.75",1.114,Regions Financial Corp,Common Stock,Financials,10/09/2020
SPHB,92276F100,VTR ,"38,821","1,734,134.07",1.114,Ventas Inc,Real Estate Investment Trust			     ,Real Estate,10/09/2020
SPHB,89832Q109,TFC ,"39,089","1,689,035.69",1.085,Truist Financial Corp,Common Stock,Financials,10/09/2020
SPHB,910047109,UAL ,"45,474","1,687,994.88",1.084,United Airlines Holdings Inc,Common Stock,Industrials,10/09/2020
SPHB,958102105,WDC ,"44,208","1,685,208.96",1.082,Western Digital Corp,Common Stock,Information Technology,10/09/2020
SPHB,G6095L109,APTV ,"17,129","1,679,669.74",1.079,Aptiv PLC,Common Stock,Consumer Discretionary,10/09/2020
SPHB,67066G104,NVDA ,"3,021","1,663,090.71",1.068,NVIDIA Corp,Common Stock,Information Technology,10/09/2020
SPHB,904311107,UAA ,"132,223","1,659,398.65",1.066,Under Armour Inc,Common Stock,Consumer Discretionary,10/09/2020
SPHB,682680103,OKE ,"56,992","1,655,617.60",1.063,ONEOK Inc,Common Stock,Energy,10/09/2020
SPHB,025816109,AXP ,"15,376","1,635,083.84",1.050,American Express Co,Common Stock,Financials,10/09/2020
SPHB,744320102,PRU ,"24,073","1,634,075.24",1.049,Prudential Financial Inc,Common Stock,Financials,10/09/2020
SPHB,097023105,BA ,"9,757","1,632,638.81",1.048,Boeing Co/The,Common Stock,Industrials,10/09/2020
SPHB,78440X101,SLG ,"31,645","1,627,818.80",1.045,SL Green Realty Corp,Real Estate Investment Trust			     ,Real Estate,10/09/2020
