Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
SPHD,46284V101,IRM ,"2,704,115","76,391,248.75",3.126,Iron Mountain Inc,Real Estate Investment Trust			     ,Real Estate,10/09/2020
SPHD,260557103,DOW ,"1,508,679","74,468,395.44",3.048,Dow Inc,Common Stock,Materials,10/09/2020
SPHD,156700106,LUMN ,"7,300,306","73,806,093.66",3.021,CenturyLink Inc,Common Stock,Communication Services,10/09/2020
SPHD,02209S103,MO ,"1,760,098","71,618,387.62",2.931,Altria Group Inc,Common Stock,Consumer Staples,10/09/2020
SPHD,69351T106,PPL ,"2,331,245","67,466,230.30",2.761,PPL Corp,Common Stock,Utilities,10/09/2020
SPHD,929042109,VNO ,"1,846,798","65,598,264.96",2.685,Vornado Realty Trust,Real Estate Investment Trust			     ,Real Estate,10/09/2020
SPHD,718172109,PM ,"813,424","64,162,885.12",2.626,Philip Morris International Inc,Common Stock,Consumer Staples,10/09/2020
SPHD,446150104,HBAN ,"6,473,464","63,763,620.40",2.610,Huntington Bancshares Inc/OH,Common Stock,Financials,10/09/2020
SPHD,460146103,IP ,"1,490,976","63,619,945.92",2.604,International Paper Co,Common Stock,Materials,10/09/2020
SPHD,410345102,HBI ,"3,559,964","61,266,980.44",2.507,Hanesbrands Inc,Common Stock,Consumer Discretionary,10/09/2020
SPHD,00206R102,T ,"2,156,564","61,073,892.48",2.500,AT&T Inc,Common Stock,Communication Services,10/09/2020
SPHD,30231G102,XOM ,"1,676,766","58,250,850.84",2.384,Exxon Mobil Corp,Common Stock,Energy,10/09/2020
SPHD,651229106,NWL ,"3,163,088","56,967,214.88",2.331,Newell Brands Inc,Common Stock,Consumer Discretionary,10/09/2020
SPHD,49456B101,KMI ,"4,383,080","56,191,085.60",2.300,Kinder Morgan Inc,Common Stock,Energy,10/09/2020
SPHD,42250P103,PEAK ,"1,915,154","54,830,859.02",2.244,Healthpeak Properties Inc,Real Estate Investment Trust			     ,Real Estate,10/09/2020
SPHD,G7945M107,STX ,"1,038,165","52,915,270.05",2.166,Seagate Technology PLC,Common Stock,Information Technology,10/09/2020
SPHD,460690100,IPG ,"2,881,042","52,895,931.12",2.165,Interpublic Group of Cos Inc/The,Common Stock,Communication Services,10/09/2020
SPHD,712704105,PBCT ,"4,802,365","52,009,612.95",2.129,People's United Financial Inc,Common Stock,Financials,10/09/2020
SPHD,459200101,IBM ,"399,782","51,088,141.78",2.091,International Business Machines Corp,Common Stock,Information Technology,10/09/2020
SPHD,26441C204,DUK ,"534,817","49,898,426.10",2.042,Duke Energy Corp,Common Stock,Utilities,10/09/2020
SPHD,313747206,FRT ,"631,945","49,531,849.10",2.027,Federal Realty Investment Trust,Real Estate Investment Trust			     ,Real Estate,10/09/2020
SPHD,842587107,SO ,"822,620","48,320,698.80",1.978,Southern Co/The,Common Stock,Utilities,10/09/2020
SPHD,756109104,O ,"755,713","47,753,504.47",1.954,Realty Income Corp,Real Estate Investment Trust			     ,Real Estate,10/09/2020
SPHD,758849103,REG ,"1,204,351","47,668,212.58",1.951,Regency Centers Corp,Real Estate Investment Trust			     ,Real Estate,10/09/2020
SPHD,42824C109,HPE ,"4,723,878","46,341,243.18",1.897,Hewlett Packard Enterprise Co,Common Stock,Information Technology,10/09/2020
SPHD,11135F101,AVGO ,"120,236","45,292,901.20",1.854,Broadcom Inc,Common Stock,Information Technology,10/09/2020
SPHD,G0250X107,AMCR ,"3,951,415","45,125,159.30",1.847,Amcor PLC,Common Stock,Materials,10/09/2020
SPHD,25746U109,D ,"532,580","43,554,392.40",1.783,Dominion Energy Inc,Common Stock,Utilities,10/09/2020
SPHD,92343V104,VZ ,"730,783","43,357,355.39",1.774,Verizon Communications Inc,Common Stock,Communication Services,10/09/2020
SPHD,281020107,EIX ,"768,956","43,130,742.04",1.765,Edison International,Common Stock,Utilities,10/09/2020
SPHD,64110D104,NTAP ,"937,375","42,997,391.25",1.760,NetApp Inc,Common Stock,Information Technology,10/09/2020
SPHD,209115104,ED ,"518,124","42,771,136.20",1.750,Consolidated Edison Inc,Common Stock,Utilities,10/09/2020
SPHD,166764100,CVX ,"577,146","42,708,804.00",1.748,Chevron Corp,Common Stock,Energy,10/09/2020
SPHD,500754106,KHC ,"1,353,852","42,118,335.72",1.724,Kraft Heinz Co/The,Common Stock,Consumer Staples,10/09/2020
SPHD,670346105,NUE ,"847,772","41,422,139.92",1.695,Nucor Corp,Common Stock,Materials,10/09/2020
SPHD,717081103,PFE ,"1,124,653","41,375,983.87",1.693,Pfizer Inc,Common Stock,Health Care,10/09/2020
SPHD,681919106,OMC ,"787,873","41,339,696.31",1.692,Omnicom Group Inc,Common Stock,Communication Services,10/09/2020
SPHD,40434L105,HPQ ,"2,113,209","40,932,858.33",1.675,HP Inc,Common Stock,Information Technology,10/09/2020
SPHD,125269100,CF ,"1,304,983","40,885,117.39",1.673,CF Industries Holdings Inc,Common Stock,Materials,10/09/2020
SPHD,723484101,PNW ,"484,035","39,961,929.60",1.636,Pinnacle West Capital Corp,Common Stock,Utilities,10/09/2020
SPHD,30161N101,EXC ,"1,016,466","39,845,467.20",1.631,Exelon Corp,Common Stock,Utilities,10/09/2020
SPHD,337932107,FE ,"1,260,579","39,355,276.38",1.611,FirstEnergy Corp,Common Stock,Utilities,10/09/2020
SPHD,277432100,EMN ,"455,872","39,277,931.52",1.608,Eastman Chemical Co,Common Stock,Materials,10/09/2020
SPHD,00287Y109,ABBV ,"441,684","38,735,686.80",1.585,AbbVie Inc,Common Stock,Health Care,10/09/2020
SPHD,29364G103,ETR ,"359,531","38,056,356.35",1.558,Entergy Corp,Common Stock,Utilities,10/09/2020
SPHD,88579Y101,MMM ,"218,437","36,981,384.10",1.514,3M Co,Common Stock,Industrials,10/09/2020
SPHD,959802109,WU ,"1,637,363","36,398,579.49",1.490,Western Union Co/The,Common Stock,Information Technology,10/09/2020
SPHD,931427108,WBA ,"997,264","36,240,573.76",1.483,Walgreens Boots Alliance Inc,Common Stock,Consumer Staples,10/09/2020
SPHD,14149Y108,CAH ,"612,245","29,406,127.35",1.204,Cardinal Health Inc,Common Stock,Health Care,10/09/2020
SPHD,825252885,AGPXX ,"4,214,543","4,214,542.89",0.172,STIT - Government & Agency Portfolio,"Money Market Fund, Taxable			     ",Investment Companies,10/09/2020
