Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
SPHQ,037833100,AAPL ,"1,197,925","140,121,287.25",6.017,Apple Inc,Common Stock,Information Technology,10/09/2020
SPHQ,67066G104,NVDA ,"248,159","136,614,011.09",5.867,NVIDIA Corp,Common Stock,Information Technology,10/09/2020
SPHQ,742718109,PG ,"842,583","120,421,962.36",5.171,Procter & Gamble Co/The,Common Stock,Consumer Staples,10/09/2020
SPHQ,594918104,MSFT ,"536,746","115,835,154.26",4.974,Microsoft Corp,Common Stock,Information Technology,10/09/2020
SPHQ,92826C839,V ,"527,040","108,907,545.60",4.677,Visa Inc,Common Stock,Information Technology,10/09/2020
SPHQ,478160104,JNJ ,"714,938","107,934,189.86",4.635,Johnson & Johnson,Common Stock,Health Care,10/09/2020
SPHQ,00724F101,ADBE ,"151,006","75,829,172.96",3.256,Adobe Inc,Common Stock,Information Technology,10/09/2020
SPHQ,58933Y105,MRK ,"885,548","71,162,637.28",3.056,Merck & Co Inc,Common Stock,Health Care,10/09/2020
SPHQ,458140100,INTC ,"1,334,018","70,462,830.76",3.026,Intel Corp,Common Stock,Information Technology,10/09/2020
SPHQ,17275R102,CSCO ,"1,726,668","68,807,719.80",2.955,Cisco Systems Inc,Common Stock,Information Technology,10/09/2020
SPHQ,654106103,NKE ,"520,137","68,127,544.26",2.926,NIKE Inc,Common Stock,Consumer Discretionary,10/09/2020
SPHQ,002824100,ABT ,"595,569","65,304,140.85",2.804,Abbott Laboratories,Common Stock,Health Care,10/09/2020
SPHQ,22160K105,COST ,"143,950","53,183,767.00",2.284,Costco Wholesale Corp,Common Stock,Consumer Staples,10/09/2020
SPHQ,G5960L103,MDT ,"458,338","49,812,173.84",2.139,Medtronic PLC,Common Stock,Health Care,10/09/2020
SPHQ,031162100,AMGN ,"206,718","48,930,150.60",2.101,Amgen Inc,Common Stock,Health Care,10/09/2020
SPHQ,235851102,DHR ,"212,509","48,039,784.54",2.063,Danaher Corp,Common Stock,Health Care,10/09/2020
SPHQ,166764100,CVX ,"628,808","46,531,792.00",1.998,Chevron Corp,Common Stock,Energy,10/09/2020
SPHQ,68389X105,ORCL ,"741,404","45,336,854.60",1.947,Oracle Corp,Common Stock,Information Technology,10/09/2020
SPHQ,882508104,TXN ,"286,688","43,264,086.08",1.858,Texas Instruments Inc,Common Stock,Information Technology,10/09/2020
SPHQ,G5494J103,LIN ,"178,648","42,864,801.12",1.841,Linde PLC,Common Stock,Materials,10/09/2020
SPHQ,438516106,HON ,"227,569","39,683,482.22",1.704,Honeywell International Inc,Common Stock,Industrials,10/09/2020
SPHQ,09857L108,BKNG ,"19,160","34,830,772.40",1.496,Booking Holdings Inc,Common Stock,Consumer Discretionary,10/09/2020
SPHQ,539830109,LMT ,"84,106","32,459,028.58",1.394,Lockheed Martin Corp,Common Stock,Industrials,10/09/2020
SPHQ,461202103,INTU ,"76,689","26,213,067.09",1.126,Intuit Inc,Common Stock,Information Technology,10/09/2020
SPHQ,009158106,APD ,"74,565","22,414,239.00",0.963,Air Products and Chemicals Inc,Common Stock,Materials,10/09/2020
SPHQ,09062X103,BIIB ,"76,358","21,879,621.32",0.940,Biogen Inc,Common Stock,Health Care,10/09/2020
SPHQ,452308109,ITW ,"100,799","20,735,362.29",0.890,Illinois Tool Works Inc,Common Stock,Industrials,10/09/2020
SPHQ,12572Q105,CME ,"120,852","20,473,537.32",0.879,CME Group Inc,Common Stock,Financials,10/09/2020
SPHQ,00507V109,ATVI ,"260,259","20,354,856.39",0.874,Activision Blizzard Inc,Common Stock,Communication Services,10/09/2020
SPHQ,444859102,HUM ,"46,557","20,179,666.08",0.867,Humana Inc,Common Stock,Health Care,10/09/2020
SPHQ,452327109,ILMN ,"55,947","18,968,270.88",0.815,Illumina Inc,Common Stock,Health Care,10/09/2020
SPHQ,45866F104,ICE ,"181,347","18,386,772.33",0.790,Intercontinental Exchange Inc,Common Stock,Financials,10/09/2020
SPHQ,26614N102,DD ,"306,986","18,207,339.66",0.782,DuPont de Nemours Inc,Common Stock,Materials,10/09/2020
