Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
SPLV,92343V104,VZ ,"2,157,262","127,990,354.46",1.420,Verizon Communications Inc,Common Stock,Communication Services,10/09/2020
SPLV,22160K105,COST ,"324,880","120,030,164.80",1.332,Costco Wholesale Corp,Common Stock,Consumer Staples,10/09/2020
SPLV,931142103,WMT ,"777,393","110,996,172.54",1.232,Walmart Inc,Common Stock,Consumer Staples,10/09/2020
SPLV,256677105,DG ,"499,185","110,309,901.30",1.224,Dollar General Corp,Common Stock,Consumer Discretionary,10/09/2020
SPLV,110122108,BMY ,"1,770,073","109,425,912.86",1.214,Bristol Myers Squibb Co,Common Stock,Health Care,10/09/2020
SPLV,902252105,TYL ,"280,885","109,342,912.80",1.213,Tyler Technologies Inc,Common Stock,Information Technology,10/09/2020
SPLV,478160104,JNJ ,"690,534","104,249,917.98",1.157,Johnson & Johnson,Common Stock,Health Care,10/09/2020
SPLV,74460D109,PSA ,"445,290","104,202,312.90",1.156,Public Storage,Real Estate Investment Trust			     ,Real Estate,10/09/2020
SPLV,235851102,DHR ,"460,853","104,180,429.18",1.156,Danaher Corp,Common Stock,Health Care,10/09/2020
SPLV,189054109,CLX ,"481,794","103,484,533.26",1.148,Clorox Co/The,Common Stock,Consumer Staples,10/09/2020
SPLV,302130109,EXPD ,"1,115,910","103,177,038.60",1.145,Expeditors International of Washington Inc,Common Stock,Industrials,10/09/2020
SPLV,370334104,GIS ,"1,642,259","101,606,564.33",1.128,General Mills Inc,Common Stock,Consumer Staples,10/09/2020
SPLV,194162103,CL ,"1,266,396","101,020,408.92",1.121,Colgate-Palmolive Co,Common Stock,Consumer Staples,10/09/2020
SPLV,156782104,CERN ,"1,391,196","100,708,678.44",1.118,Cerner Corp,Common Stock,Health Care,10/09/2020
SPLV,12541W209,CHRW ,"952,243","100,414,024.35",1.114,CH Robinson Worldwide Inc,Common Stock,Industrials,10/09/2020
SPLV,742718109,PG ,"701,420","100,246,946.40",1.113,Procter & Gamble Co/The,Common Stock,Consumer Staples,10/09/2020
SPLV,832696405,SJM ,"842,338","99,968,673.84",1.109,J M Smucker Co/The,Common Stock,Consumer Staples,10/09/2020
SPLV,16119P108,CHTR ,"157,222","99,936,592.08",1.109,Charter Communications Inc,Common Stock,Communication Services,10/09/2020
SPLV,191216100,KO ,"1,962,939","99,736,930.59",1.107,Coca-Cola Co/The,Common Stock,Consumer Staples,10/09/2020
SPLV,714046109,PKI ,"756,504","98,103,438.72",1.089,PerkinElmer Inc,Common Stock,Health Care,10/09/2020
SPLV,440452100,HRL ,"2,000,949","97,966,463.04",1.087,Hormel Foods Corp,Common Stock,Consumer Staples,10/09/2020
SPLV,883556102,TMO ,"210,267","97,711,074.90",1.084,Thermo Fisher Scientific Inc,Common Stock,Health Care,10/09/2020
SPLV,G8473T100,STE ,"516,093","97,257,725.85",1.079,STERIS PLC,Common Stock,Health Care,10/09/2020
SPLV,023135106,AMZN ,"29,294","96,279,125.10",1.068,Amazon.com Inc,Common Stock,Consumer Discretionary,10/09/2020
SPLV,831865209,AOS ,"1,671,913","95,616,704.47",1.061,A O Smith Corp,Common Stock,Industrials,10/09/2020
SPLV,487836108,K ,"1,450,842","95,537,945.70",1.060,Kellogg Co,Common Stock,Consumer Staples,10/09/2020
SPLV,216648402,COO ,"266,836","95,487,262.60",1.060,Cooper Cos Inc/The,Common Stock,Health Care,10/09/2020
SPLV,760759100,RSG ,"1,018,750","94,886,375.00",1.053,Republic Services Inc,Common Stock,Industrials,10/09/2020
SPLV,134429109,CPB ,"1,957,547","94,882,303.09",1.053,Campbell Soup Co,Common Stock,Consumer Staples,10/09/2020
SPLV,494368103,KMB ,"621,971","94,844,357.79",1.053,Kimberly-Clark Corp,Common Stock,Consumer Staples,10/09/2020
SPLV,171340102,CHD ,"1,021,427","94,747,568.52",1.051,Church & Dwight Co Inc,Common Stock,Consumer Staples,10/09/2020
SPLV,084670702,BRK/B ,"438,559","94,588,405.12",1.050,Berkshire Hathaway Inc,Common Stock,Financials,10/09/2020
SPLV,58933Y105,MRK ,"1,173,547","94,306,236.92",1.047,Merck & Co Inc,Common Stock,Health Care,10/09/2020
SPLV,743315103,PGR ,"944,028","94,289,516.64",1.046,Progressive Corp/The,Common Stock,Financials,10/09/2020
SPLV,94106L109,WM ,"814,749","93,981,297.15",1.043,Waste Management Inc,Common Stock,Industrials,10/09/2020
SPLV,609207105,MDLZ ,"1,639,266","93,929,941.80",1.042,Mondelez International Inc,Common Stock,Consumer Staples,10/09/2020
SPLV,775711104,ROL ,"1,633,979","93,904,773.13",1.042,Rollins Inc,Common Stock,Industrials,10/09/2020
SPLV,955306105,WST ,"314,241","93,731,805.48",1.040,West Pharmaceutical Services Inc,Common Stock,Health Care,10/09/2020
SPLV,00846U101,A ,"871,944","92,216,797.44",1.023,Agilent Technologies Inc,Common Stock,Health Care,10/09/2020
SPLV,002824100,ABT ,"829,183","90,919,915.95",1.009,Abbott Laboratories,Common Stock,Health Care,10/09/2020
SPLV,717081103,PFE ,"2,461,262","90,549,828.98",1.005,Pfizer Inc,Common Stock,Health Care,10/09/2020
SPLV,025537101,AEP ,"1,007,664","90,508,380.48",1.004,American Electric Power Co Inc,Common Stock,Utilities,10/09/2020
SPLV,45167R104,IEX ,"475,208","90,484,355.28",1.004,IDEX Corp,Common Stock,Industrials,10/09/2020
SPLV,090572207,BIO ,"157,416","89,119,494.24",0.989,Bio-Rad Laboratories Inc,Common Stock,Health Care,10/09/2020
SPLV,115637209,BF/B ,"1,135,559","89,050,536.78",0.988,Brown-Forman Corp,Common Stock,Consumer Staples,10/09/2020
SPLV,00971T101,AKAM ,"791,288","89,043,638.64",0.988,Akamai Technologies Inc,Common Stock,Information Technology,10/09/2020
SPLV,278642103,EBAY ,"1,605,811","89,042,219.95",0.988,eBay Inc,Common Stock,Consumer Discretionary,10/09/2020
SPLV,209115104,ED ,"1,075,712","88,800,025.60",0.985,Consolidated Edison Inc,Common Stock,Utilities,10/09/2020
SPLV,501044101,KR ,"2,561,093","88,229,653.85",0.979,Kroger Co/The,Common Stock,Consumer Staples,10/09/2020
SPLV,11133T103,BR ,"623,688","87,840,217.92",0.975,Broadridge Financial Solutions Inc,Common Stock,Information Technology,10/09/2020
SPLV,30225T102,EXR ,"774,837","87,827,773.95",0.975,Extra Space Storage Inc,Real Estate Investment Trust			     ,Real Estate,10/09/2020
SPLV,02079K107,GOOG ,"57,958","87,819,120.76",0.975,Alphabet Inc,Common Stock,Communication Services,10/09/2020
SPLV,125896100,CMS ,"1,357,523","87,343,029.82",0.969,CMS Energy Corp,Common Stock,Utilities,10/09/2020
SPLV,911312106,UPS ,"499,776","87,305,869.44",0.969,United Parcel Service Inc,Common Stock,Industrials,10/09/2020
