Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
SPMO,594918104,MSFT ,"32,280","6,966,346.80",8.772,Microsoft Corp,Common Stock,Information Technology,10/09/2020
SPMO,023135106,AMZN ,"2,110","6,934,831.50",8.732,Amazon.com Inc,Common Stock,Consumer Discretionary,10/09/2020
SPMO,037833100,AAPL ,"56,420","6,599,447.40",8.310,Apple Inc,Common Stock,Information Technology,10/09/2020
SPMO,67066G104,NVDA ,"9,040","4,976,610.40",6.266,NVIDIA Corp,Common Stock,Information Technology,10/09/2020
SPMO,30303M102,FB ,"16,701","4,416,579.45",5.561,Facebook Inc,Common Stock,Communication Services,10/09/2020
SPMO,70450Y103,PYPL ,"13,607","2,684,252.89",3.380,PayPal Holdings Inc,Common Stock,Information Technology,10/09/2020
SPMO,64110L106,NFLX ,"4,208","2,269,963.52",2.858,Netflix Inc,Common Stock,Communication Services,10/09/2020
SPMO,00724F101,ADBE ,"4,275","2,146,734.00",2.703,Adobe Inc,Common Stock,Information Technology,10/09/2020
SPMO,437076102,HD ,"6,855","1,959,981.60",2.468,Home Depot Inc/The,Common Stock,Consumer Discretionary,10/09/2020
SPMO,883556102,TMO ,"4,128","1,918,281.60",2.415,Thermo Fisher Scientific Inc,Common Stock,Health Care,10/09/2020
SPMO,00287Y109,ABBV ,"19,658","1,724,006.60",2.171,AbbVie Inc,Common Stock,Health Care,10/09/2020
SPMO,235851102,DHR ,"6,605","1,493,126.30",1.880,Danaher Corp,Common Stock,Health Care,10/09/2020
SPMO,007903107,AMD ,"17,215","1,430,566.50",1.801,Advanced Micro Devices Inc,Common Stock,Information Technology,10/09/2020
SPMO,110122108,BMY ,"22,530","1,392,804.60",1.754,Bristol Myers Squibb Co,Common Stock,Health Care,10/09/2020
SPMO,65339F101,NEE ,"4,006","1,213,457.46",1.528,NextEra Energy Inc,Common Stock,Utilities,10/09/2020
SPMO,747525103,QCOM ,"9,299","1,161,166.13",1.462,QUALCOMM Inc,Common Stock,Information Technology,10/09/2020
SPMO,532457108,LLY ,"7,296","1,144,596.48",1.441,Eli Lilly and Co,Common Stock,Health Care,10/09/2020
SPMO,031162100,AMGN ,"4,740","1,121,958.00",1.413,Amgen Inc,Common Stock,Health Care,10/09/2020
SPMO,548661107,LOW ,"6,373","1,103,994.79",1.390,Lowe's Cos Inc,Common Stock,Consumer Discretionary,10/09/2020
SPMO,22160K105,COST ,"2,927","1,081,409.42",1.362,Costco Wholesale Corp,Common Stock,Consumer Staples,10/09/2020
SPMO,16119P108,CHTR ,"1,692","1,075,502.88",1.354,Charter Communications Inc,Common Stock,Communication Services,10/09/2020
SPMO,G5494J103,LIN ,"3,888","932,886.72",1.175,Linde PLC,Common Stock,Materials,10/09/2020
SPMO,75886F107,REGN ,"1,537","925,381.59",1.165,Regeneron Pharmaceuticals Inc,Common Stock,Health Care,10/09/2020
SPMO,81762P102,NOW ,"1,792","911,429.12",1.148,ServiceNow Inc,Common Stock,Information Technology,10/09/2020
SPMO,29444U700,EQIX ,980,"812,763.00",1.023,Equinix Inc,Real Estate Investment Trust			     ,Real Estate,10/09/2020
SPMO,92532F100,VRTX ,"2,976","803,371.20",1.012,Vertex Pharmaceuticals Inc,Common Stock,Health Care,10/09/2020
SPMO,00507V109,ATVI ,"9,922","775,999.62",0.977,Activision Blizzard Inc,Common Stock,Communication Services,10/09/2020
SPMO,87612E106,TGT ,"4,594","752,083.74",0.947,Target Corp,Common Stock,Consumer Discretionary,10/09/2020
SPMO,651639106,NEM ,"11,791","740,710.62",0.933,Newmont Corp,Common Stock,Materials,10/09/2020
SPMO,78409V104,SPGI ,"1,959","698,892.84",0.880,S&P Global Inc,Common Stock,Financials,10/09/2020
SPMO,03027X100,AMT ,"2,705","661,859.40",0.833,American Tower Corp,Real Estate Investment Trust			     ,Real Estate,10/09/2020
SPMO,46120E602,ISRG ,796,"587,599.24",0.740,Intuitive Surgical Inc,Common Stock,Health Care,10/09/2020
SPMO,98978V103,ZTS ,"3,537","585,125.91",0.737,Zoetis Inc,Common Stock,Health Care,10/09/2020
SPMO,256677105,DG ,"2,572","568,360.56",0.716,Dollar General Corp,Common Stock,Consumer Discretionary,10/09/2020
SPMO,74340W103,PLD ,"5,204","556,359.64",0.701,Prologis Inc,Real Estate Investment Trust			     ,Real Estate,10/09/2020
SPMO,252131107,DXCM ,"1,395","538,470.00",0.678,DexCom Inc,Common Stock,Health Care,10/09/2020
SPMO,512807108,LRCX ,"1,479","536,448.09",0.675,Lam Research Corp,Common Stock,Information Technology,10/09/2020
SPMO,872590104,TMUS ,"4,491","526,479.93",0.663,T-Mobile US Inc,Common Stock,Communication Services,10/09/2020
SPMO,22822V101,CCI ,"2,783","465,762.88",0.586,Crown Castle International Corp,Real Estate Investment Trust			     ,Real Estate,10/09/2020
SPMO,052769106,ADSK ,"1,870","444,125.00",0.559,Autodesk Inc,Common Stock,Information Technology,10/09/2020
SPMO,009158106,APD ,"1,461","439,176.60",0.553,Air Products and Chemicals Inc,Common Stock,Materials,10/09/2020
SPMO,285512109,EA ,"3,246","413,702.70",0.521,Electronic Arts Inc,Common Stock,Communication Services,10/09/2020
SPMO,253868103,DLR ,"2,369","375,107.46",0.472,Digital Realty Trust Inc,Real Estate Investment Trust			     ,Real Estate,10/09/2020
SPMO,501044101,KR ,"10,643","366,651.35",0.462,Kroger Co/The,Common Stock,Consumer Staples,10/09/2020
SPMO,189054109,CLX ,"1,518","326,051.22",0.411,Clorox Co/The,Common Stock,Consumer Staples,10/09/2020
SPMO,871607107,SNPS ,"1,452","323,534.64",0.407,Synopsys Inc,Common Stock,Information Technology,10/09/2020
SPMO,955306105,WST ,"1,078","321,545.84",0.405,West Pharmaceutical Services Inc,Common Stock,Health Care,10/09/2020
SPMO,278642103,EBAY ,"5,726","317,506.70",0.400,eBay Inc,Common Stock,Consumer Discretionary,10/09/2020
SPMO,615369105,MCO ,"1,041","306,813.93",0.386,Moody's Corp,Common Stock,Financials,10/09/2020
SPMO,55354G100,MSCI ,834,"293,843.22",0.370,MSCI Inc,Common Stock,Financials,10/09/2020
SPMO,169656105,CMG ,225,"288,447.75",0.363,Chipotle Mexican Grill Inc,Common Stock,Consumer Discretionary,10/09/2020
SPMO,45168D104,IDXX ,718,"287,666.70",0.362,IDEXX Laboratories Inc,Common Stock,Health Care,10/09/2020
SPMO,00846U101,A ,"2,719","287,561.44",0.362,Agilent Technologies Inc,Common Stock,Health Care,10/09/2020
SPMO,311900104,FAST ,"5,837","272,179.31",0.343,Fastenal Co,Common Stock,Industrials,10/09/2020
SPMO,127387108,CDNS ,"2,427","271,654.11",0.342,Cadence Design Systems Inc,Common Stock,Information Technology,10/09/2020
SPMO,03662Q105,ANSS ,802,"270,129.64",0.340,ANSYS Inc,Common Stock,Information Technology,10/09/2020
SPMO,370334104,GIS ,"4,350","269,134.50",0.339,General Mills Inc,Common Stock,Consumer Staples,10/09/2020
SPMO,83088M102,SWKS ,"1,723","265,824.44",0.335,Skyworks Solutions Inc,Common Stock,Information Technology,10/09/2020
SPMO,761152107,RMD ,"1,394","245,511.28",0.309,ResMed Inc,Common Stock,Health Care,10/09/2020
SPMO,482480100,KLAC ,"1,159","244,595.36",0.308,KLA Corp,Common Stock,Information Technology,10/09/2020
SPMO,78410G104,SBAC ,725,"228,106.75",0.287,SBA Communications Corp,Real Estate Investment Trust			     ,Real Estate,10/09/2020
SPMO,679580100,ODFL ,"1,103","220,335.28",0.277,Old Dominion Freight Line Inc,Common Stock,Industrials,10/09/2020
SPMO,693718108,PCAR ,"2,397","213,860.34",0.269,PACCAR Inc,Common Stock,Industrials,10/09/2020
SPMO,773903109,ROK ,826,"201,775.28",0.254,Rockwell Automation Inc,Common Stock,Industrials,10/09/2020
SPMO,92345Y106,VRSK ,"1,059","198,223.62",0.250,Verisk Analytics Inc,Common Stock,Industrials,10/09/2020
SPMO,030420103,AWK ,"1,239","192,974.25",0.243,American Water Works Co Inc,Common Stock,Utilities,10/09/2020
SPMO,23331A109,DHI ,"2,462","192,257.58",0.242,DR Horton Inc,Common Stock,Consumer Discretionary,10/09/2020
SPMO,177376100,CTXS ,"1,303","181,677.29",0.229,Citrix Systems Inc,Common Stock,Information Technology,10/09/2020
SPMO,57060D108,MKTX ,345,"180,107.25",0.227,MarketAxess Holdings Inc,Common Stock,Financials,10/09/2020
SPMO,G47567105,INFO ,"2,286","179,862.48",0.226,IHS Markit Ltd,Common Stock,Industrials,10/09/2020
SPMO,902252105,TYL ,462,"179,847.36",0.226,Tyler Technologies Inc,Common Stock,Information Technology,10/09/2020
SPMO,171340102,CHD ,"1,931","179,119.56",0.226,Church & Dwight Co Inc,Common Stock,Consumer Staples,10/09/2020
SPMO,668771108,NLOK ,"8,464","177,617.04",0.224,NortonLifeLock Inc,Common Stock,Information Technology,10/09/2020
SPMO,34959E109,FTNT ,"1,365","172,235.70",0.217,Fortinet Inc,Common Stock,Information Technology,10/09/2020
SPMO,526057104,LEN ,"2,028","170,493.96",0.215,Lennar Corp,Common Stock,Consumer Discretionary,10/09/2020
SPMO,25754A201,DPZ ,406,"158,725.70",0.200,Domino's Pizza Inc,Common Stock,Consumer Discretionary,10/09/2020
SPMO,74736K101,QRVO ,"1,147","158,136.89",0.199,Qorvo Inc,Common Stock,Information Technology,10/09/2020
SPMO,090572207,BIO ,256,"144,931.84",0.182,Bio-Rad Laboratories Inc,Common Stock,Health Care,10/09/2020
SPMO,874054109,TTWO ,844,"136,424.16",0.172,Take-Two Interactive Software Inc,Common Stock,Communication Services,10/09/2020
SPMO,205887102,CAG ,"3,619","135,061.08",0.170,Conagra Brands Inc,Common Stock,Consumer Staples,10/09/2020
SPMO,436440101,HOLX ,"1,943","134,824.77",0.170,Hologic Inc,Common Stock,Health Care,10/09/2020
SPMO,892356106,TSCO ,886,"132,837.98",0.167,Tractor Supply Co,Common Stock,Consumer Discretionary,10/09/2020
SPMO,485170302,KSU ,702,"131,021.28",0.165,Kansas City Southern,Common Stock,Industrials,10/09/2020
SPMO,714046109,PKI ,992,"128,642.56",0.162,PerkinElmer Inc,Common Stock,Health Care,10/09/2020
SPMO,00971T101,AKAM ,"1,139","128,171.67",0.161,Akamai Technologies Inc,Common Stock,Information Technology,10/09/2020
SPMO,574599106,MAS ,"2,229","128,100.63",0.161,Masco Corp,Common Stock,Industrials,10/09/2020
SPMO,631103108,NDAQ ,917,"114,680.02",0.144,Nasdaq Inc,Common Stock,Financials,10/09/2020
SPMO,487836108,K ,"1,701","112,010.85",0.141,Kellogg Co,Common Stock,Consumer Staples,10/09/2020
SPMO,440452100,HRL ,"2,165","105,998.40",0.133,Hormel Foods Corp,Common Stock,Consumer Staples,10/09/2020
SPMO,74834L100,DGX ,899,"104,886.33",0.132,Quest Diagnostics Inc,Common Stock,Health Care,10/09/2020
SPMO,H2906T109,GRMN ,"1,056","104,353.92",0.131,Garmin Ltd,Common Stock,Consumer Discretionary,10/09/2020
SPMO,775711104,ROL ,"1,760","101,147.20",0.127,Rollins Inc,Common Stock,Industrials,10/09/2020
SPMO,115637209,BF/B ,"1,242","97,397.64",0.123,Brown-Forman Corp,Common Stock,Consumer Staples,10/09/2020
SPMO,426281101,JKHY ,561,"92,278.89",0.116,Jack Henry & Associates Inc,Common Stock,Information Technology,10/09/2020
SPMO,34964C106,FBHS ,954,"84,610.26",0.107,Fortune Brands Home & Security Inc,Common Stock,Industrials,10/09/2020
SPMO,745867101,PHM ,"1,708","83,657.84",0.105,PulteGroup Inc,Common Stock,Consumer Discretionary,10/09/2020
SPMO,445658107,JBHT ,554,"74,911.88",0.094,JB Hunt Transport Services Inc,Common Stock,Industrials,10/09/2020
SPMO,23918K108,DVA ,713,"62,644.18",0.079,DaVita Inc,Common Stock,Health Care,10/09/2020
SPMO,134429109,CPB ,"1,271","61,605.37",0.078,Campbell Soup Co,Common Stock,Consumer Staples,10/09/2020
SPMO,825252885,AGPXX ,"5,746","5,745.72",0.007,STIT - Government & Agency Portfolio,"Money Market Fund, Taxable			     ",Investment Companies,10/09/2020
