Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
SPMV,00724F101,ADBE ,254,"127,548.64",2.608,Adobe Inc,Common Stock,Information Technology,10/09/2020
SPMV,594918104,MSFT ,588,"126,896.28",2.595,Microsoft Corp,Common Stock,Information Technology,10/09/2020
SPMV,743315103,PGR ,"1,263","126,148.44",2.580,Progressive Corp/The,Common Stock,Financials,10/09/2020
SPMV,023135106,AMZN ,38,"124,892.70",2.554,Amazon.com Inc,Common Stock,Consumer Discretionary,10/09/2020
SPMV,580135101,MCD ,537,"120,733.71",2.469,McDonald's Corp,Common Stock,Consumer Discretionary,10/09/2020
SPMV,91324P102,UNH ,364,"119,333.76",2.440,UnitedHealth Group Inc,Common Stock,Health Care,10/09/2020
SPMV,92343V104,VZ ,"2,002","118,778.66",2.429,Verizon Communications Inc,Common Stock,Communication Services,10/09/2020
SPMV,084670702,BRK/B ,550,"118,624.00",2.426,Berkshire Hathaway Inc,Common Stock,Financials,10/09/2020
SPMV,03027X100,AMT ,480,"117,446.40",2.402,American Tower Corp,Real Estate Investment Trust			     ,Real Estate,10/09/2020
SPMV,654106103,NKE ,896,"117,358.08",2.400,NIKE Inc,Common Stock,Consumer Discretionary,10/09/2020
SPMV,G1151C101,ACN ,511,"116,860.59",2.390,Accenture PLC,Common Stock,Information Technology,10/09/2020
SPMV,747525103,QCOM ,886,"110,634.82",2.262,QUALCOMM Inc,Common Stock,Information Technology,10/09/2020
SPMV,651639106,NEM ,"1,748","109,809.36",2.245,Newmont Corp,Common Stock,Materials,10/09/2020
SPMV,58933Y105,MRK ,"1,323","106,316.28",2.174,Merck & Co Inc,Common Stock,Health Care,10/09/2020
SPMV,882508104,TXN ,700,"105,637.00",2.160,Texas Instruments Inc,Common Stock,Information Technology,10/09/2020
SPMV,126650100,CVS ,"1,740","103,356.00",2.113,CVS Health Corp,Common Stock,Health Care,10/09/2020
SPMV,571748102,MMC ,833,"96,386.43",1.971,Marsh & McLennan Cos Inc,Common Stock,Financials,10/09/2020
SPMV,65339F101,NEE ,318,"96,325.38",1.970,NextEra Energy Inc,Common Stock,Utilities,10/09/2020
SPMV,00206R102,T ,"3,360","95,155.20",1.946,AT&T Inc,Common Stock,Communication Services,10/09/2020
SPMV,94106L109,WM ,823,"94,933.05",1.941,Waste Management Inc,Common Stock,Industrials,10/09/2020
SPMV,H1467J104,CB ,772,"92,987.40",1.901,Chubb Ltd,Common Stock,Financials,10/09/2020
SPMV,370334104,GIS ,"1,401","86,679.87",1.772,General Mills Inc,Common Stock,Consumer Staples,10/09/2020
SPMV,478160104,JNJ ,573,"86,505.81",1.769,Johnson & Johnson,Common Stock,Health Care,10/09/2020
SPMV,872540109,TJX ,"1,442","83,909.98",1.716,TJX Cos Inc/The,Common Stock,Consumer Discretionary,10/09/2020
SPMV,037833100,AAPL ,716,"83,750.52",1.713,Apple Inc,Common Stock,Information Technology,10/09/2020
SPMV,842587107,SO ,"1,382","81,178.68",1.660,Southern Co/The,Common Stock,Utilities,10/09/2020
SPMV,G0403H108,AON ,388,"81,165.72",1.660,Aon PLC,Common Stock,Financials,10/09/2020
SPMV,G5960L103,MDT ,746,"81,075.28",1.658,Medtronic PLC,Common Stock,Health Care,10/09/2020
SPMV,194162103,CL ,991,"79,052.07",1.617,Colgate-Palmolive Co,Common Stock,Consumer Staples,10/09/2020
SPMV,22822V101,CCI ,471,"78,826.56",1.612,Crown Castle International Corp,Real Estate Investment Trust			     ,Real Estate,10/09/2020
SPMV,458140100,INTC ,"1,435","75,796.70",1.550,Intel Corp,Common Stock,Information Technology,10/09/2020
SPMV,461202103,INTU ,221,"75,540.01",1.545,Intuit Inc,Common Stock,Information Technology,10/09/2020
SPMV,437076102,HD ,256,"73,195.52",1.497,Home Depot Inc/The,Common Stock,Consumer Discretionary,10/09/2020
SPMV,744573106,PEG ,"1,227","70,626.12",1.444,Public Service Enterprise Group Inc,Common Stock,Utilities,10/09/2020
SPMV,760759100,RSG ,660,"61,472.40",1.257,Republic Services Inc,Common Stock,Industrials,10/09/2020
SPMV,125523100,CI ,307,"54,154.80",1.107,Cigna Corp,Common Stock,Health Care,10/09/2020
SPMV,192446102,CTSH ,712,"52,032.96",1.064,Cognizant Technology Solutions Corp,Common Stock,Information Technology,10/09/2020
SPMV,742718109,PG ,364,"52,022.88",1.064,Procter & Gamble Co/The,Common Stock,Consumer Staples,10/09/2020
SPMV,205887102,CAG ,"1,333","49,747.56",1.017,Conagra Brands Inc,Common Stock,Consumer Staples,10/09/2020
SPMV,579780206,MKC ,250,"49,027.50",1.003,McCormick & Co Inc/MD,Common Stock,Consumer Staples,10/09/2020
SPMV,191216100,KO ,957,"48,625.17",0.994,Coca-Cola Co/The,Common Stock,Consumer Staples,10/09/2020
SPMV,37940X102,GPN ,259,"47,599.02",0.973,Global Payments Inc,Common Stock,Information Technology,10/09/2020
SPMV,832696405,SJM ,393,"46,641.24",0.954,J M Smucker Co/The,Common Stock,Consumer Staples,10/09/2020
SPMV,253868103,DLR ,283,"44,810.22",0.916,Digital Realty Trust Inc,Real Estate Investment Trust			     ,Real Estate,10/09/2020
SPMV,156782104,CERN ,618,"44,737.02",0.915,Cerner Corp,Common Stock,Health Care,10/09/2020
SPMV,440452100,HRL ,891,"43,623.36",0.892,Hormel Foods Corp,Common Stock,Consumer Staples,10/09/2020
SPMV,25746U109,D ,525,"42,934.50",0.878,Dominion Energy Inc,Common Stock,Utilities,10/09/2020
SPMV,189054109,CLX ,197,"42,313.63",0.865,Clorox Co/The,Common Stock,Consumer Staples,10/09/2020
SPMV,92826C839,V ,203,"41,947.92",0.858,Visa Inc,Common Stock,Information Technology,10/09/2020
SPMV,177376100,CTXS ,289,"40,295.27",0.824,Citrix Systems Inc,Common Stock,Information Technology,10/09/2020
SPMV,863667101,SYK ,166,"37,006.38",0.757,Stryker Corp,Common Stock,Health Care,10/09/2020
SPMV,74340W103,PLD ,328,"35,066.48",0.717,Prologis Inc,Real Estate Investment Trust			     ,Real Estate,10/09/2020
SPMV,50540R409,LH ,170,"33,279.20",0.681,Laboratory Corp of America Holdings,Common Stock,Health Care,10/09/2020
SPMV,30231G102,XOM ,917,"31,856.58",0.651,Exxon Mobil Corp,Common Stock,Energy,10/09/2020
SPMV,855244109,SBUX ,330,"29,703.30",0.607,Starbucks Corp,Common Stock,Consumer Discretionary,10/09/2020
SPMV,053015103,ADP ,196,"29,370.60",0.601,Automatic Data Processing Inc,Common Stock,Information Technology,10/09/2020
SPMV,74834L100,DGX ,242,"28,234.14",0.577,Quest Diagnostics Inc,Common Stock,Health Care,10/09/2020
SPMV,060505104,BAC ,"1,086","27,540.96",0.563,Bank of America Corp,Common Stock,Financials,10/09/2020
SPMV,775711104,ROL ,467,"26,838.49",0.549,Rollins Inc,Common Stock,Industrials,10/09/2020
SPMV,74460D109,PSA ,114,"26,677.14",0.546,Public Storage,Real Estate Investment Trust			     ,Real Estate,10/09/2020
SPMV,92343E102,VRSN ,127,"26,614.12",0.544,VeriSign Inc,Common Stock,Information Technology,10/09/2020
SPMV,22052L104,CTVA ,766,"25,607.38",0.524,Corteva Inc,Common Stock,Materials,10/09/2020
SPMV,98389B100,XEL ,331,"24,067.01",0.492,Xcel Energy Inc,Common Stock,Utilities,10/09/2020
SPMV,30040W108,ES ,257,"23,692.83",0.484,Eversource Energy,Common Stock,Utilities,10/09/2020
SPMV,67066G104,NVDA ,42,"23,121.42",0.473,NVIDIA Corp,Common Stock,Information Technology,10/09/2020
SPMV,902252105,TYL ,59,"22,967.52",0.470,Tyler Technologies Inc,Common Stock,Information Technology,10/09/2020
SPMV,487836108,K ,343,"22,586.55",0.462,Kellogg Co,Common Stock,Consumer Staples,10/09/2020
SPMV,17275R102,CSCO ,533,"21,240.05",0.434,Cisco Systems Inc,Common Stock,Information Technology,10/09/2020
SPMV,494368103,KMB ,138,"21,043.62",0.430,Kimberly-Clark Corp,Common Stock,Consumer Staples,10/09/2020
SPMV,032654105,ADI ,132,"16,279.56",0.333,Analog Devices Inc,Common Stock,Information Technology,10/09/2020
SPMV,68389X105,ORCL ,255,"15,593.25",0.319,Oracle Corp,Common Stock,Information Technology,10/09/2020
SPMV,023608102,AEE ,186,"15,261.30",0.312,Ameren Corp,Common Stock,Utilities,10/09/2020
SPMV,26441C204,DUK ,163,"15,207.90",0.311,Duke Energy Corp,Common Stock,Utilities,10/09/2020
SPMV,46120E602,ISRG ,20,"14,763.80",0.302,Intuitive Surgical Inc,Common Stock,Health Care,10/09/2020
SPMV,134429109,CPB ,266,"12,893.02",0.264,Campbell Soup Co,Common Stock,Consumer Staples,10/09/2020
SPMV,89417E109,TRV ,98,"11,351.34",0.232,Travelers Cos Inc/The,Common Stock,Financials,10/09/2020
SPMV,444859102,HUM ,26,"11,269.44",0.230,Humana Inc,Common Stock,Health Care,10/09/2020
SPMV,79466L302,CRM ,42,"11,171.16",0.228,salesforce.com Inc,Common Stock,Information Technology,10/09/2020
SPMV,61174X109,MNST ,135,"10,928.25",0.223,Monster Beverage Corp,Common Stock,Consumer Staples,10/09/2020
SPMV,007903107,AMD ,130,"10,803.00",0.221,Advanced Micro Devices Inc,Common Stock,Information Technology,10/09/2020
SPMV,427866108,HSY ,66,"9,611.58",0.197,Hershey Co/The,Common Stock,Consumer Staples,10/09/2020
SPMV,025537101,AEP ,104,"9,341.28",0.191,American Electric Power Co Inc,Common Stock,Utilities,10/09/2020
SPMV,92939U106,WEC ,81,"8,054.64",0.165,WEC Energy Group Inc,Common Stock,Utilities,10/09/2020
SPMV,02079K107,GOOG ,5,"7,576.10",0.155,Alphabet Inc,Common Stock,Communication Services,10/09/2020
SPMV,156700106,LUMN ,666,"6,733.26",0.138,CenturyLink Inc,Common Stock,Communication Services,10/09/2020
SPMV,075887109,BDX ,27,"6,407.37",0.131,Becton Dickinson and Co,Common Stock,Health Care,10/09/2020
SPMV,816851109,SRE ,50,"6,300.50",0.129,Sempra Energy,Common Stock,Utilities,10/09/2020
SPMV,46625H100,JPM ,57,"5,768.40",0.118,JPMorgan Chase & Co,Common Stock,Financials,10/09/2020
SPMV,209115104,ED ,61,"5,035.55",0.103,Consolidated Edison Inc,Common Stock,Utilities,10/09/2020
SPMV,233331107,DTE ,39,"4,691.31",0.096,DTE Energy Co,Common Stock,Utilities,10/09/2020
SPMV,038222105,AMAT ,74,"4,683.46",0.096,Applied Materials Inc,Common Stock,Information Technology,10/09/2020
SPMV,110122108,BMY ,66,"4,080.12",0.083,Bristol Myers Squibb Co,Common Stock,Health Care,10/09/2020
SPMV,595112103,MU ,51,"2,544.39",0.052,Micron Technology Inc,Common Stock,Information Technology,10/09/2020
SPMV,375558103,GILD ,36,"2,298.24",0.047,Gilead Sciences Inc,Common Stock,Health Care,10/09/2020
SPMV,CASHUSD00,-CASH-,-333,-333.21,-0.007,Cash/Receivables/Payables,Currency,Cash,10/09/2020
