Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
SPVM,96145D105,WRK ,"22,226","840,142.80",2.401,Westrock Co,Common Stock,Materials,10/09/2020
SPVM,59156R108,MET ,"18,119","715,338.12",2.044,MetLife Inc,Common Stock,Financials,10/09/2020
SPVM,963320106,WHR ,"3,514","707,719.60",2.022,Whirlpool Corp,Common Stock,Consumer Discretionary,10/09/2020
SPVM,74762E102,PWR ,"11,220","664,560.60",1.899,Quanta Services Inc,Common Stock,Industrials,10/09/2020
SPVM,039483102,ADM ,"13,063","639,695.11",1.828,Archer-Daniels-Midland Co,Common Stock,Consumer Staples,10/09/2020
SPVM,443201108,HWM ,"33,639","615,593.70",1.759,Howmet Aerospace Inc,Common Stock,Industrials,10/09/2020
SPVM,526057104,LEN ,"6,588","553,853.16",1.583,Lennar Corp,Common Stock,Consumer Discretionary,10/09/2020
SPVM,156700106,LUMN ,"53,631","542,209.41",1.549,CenturyLink Inc,Common Stock,Communication Services,10/09/2020
SPVM,501044101,KR ,"15,718","541,485.10",1.547,Kroger Co/The,Common Stock,Consumer Staples,10/09/2020
SPVM,14040H105,COF ,"6,512","520,178.56",1.486,Capital One Financial Corp,Common Stock,Financials,10/09/2020
SPVM,745867101,PHM ,"10,279","503,465.42",1.439,PulteGroup Inc,Common Stock,Consumer Discretionary,10/09/2020
SPVM,03073E105,ABC ,"5,181","501,831.66",1.434,AmerisourceBergen Corp,Common Stock,Health Care,10/09/2020
SPVM,086516101,BBY ,"4,202","489,911.18",1.400,Best Buy Co Inc,Common Stock,Consumer Discretionary,10/09/2020
SPVM,126650100,CVS ,"8,127","482,743.80",1.380,CVS Health Corp,Common Stock,Health Care,10/09/2020
SPVM,172967424,C ,"10,062","452,085.66",1.292,Citigroup Inc,Common Stock,Financials,10/09/2020
SPVM,416515104,HIG ,"11,699","451,698.39",1.291,Hartford Financial Services Group Inc/The,Common Stock,Financials,10/09/2020
SPVM,58155Q103,MCK ,"2,954","446,910.66",1.277,McKesson Corp,Common Stock,Health Care,10/09/2020
SPVM,04621X108,AIZ ,"3,534","443,764.38",1.268,Assurant Inc,Common Stock,Financials,10/09/2020
SPVM,23331A109,DHI ,"5,607","437,850.63",1.251,DR Horton Inc,Common Stock,Consumer Discretionary,10/09/2020
SPVM,15135B101,CNC ,"6,651","426,994.20",1.220,Centene Corp,Common Stock,Health Care,10/09/2020
SPVM,89832Q109,TFC ,"9,463","408,896.23",1.168,Truist Financial Corp,Common Stock,Financials,10/09/2020
SPVM,617446448,MS ,"8,314","405,972.62",1.160,Morgan Stanley,Common Stock,Financials,10/09/2020
SPVM,001055102,AFL ,"10,471","398,945.10",1.140,Aflac Inc,Common Stock,Financials,10/09/2020
SPVM,501889208,LKQ ,"13,036","397,858.72",1.137,LKQ Corp,Common Stock,Consumer Discretionary,10/09/2020
SPVM,712704105,PBCT ,"36,600","396,378.00",1.133,People's United Financial Inc,Common Stock,Financials,10/09/2020
SPVM,020002101,ALL ,"4,174","387,597.64",1.108,Allstate Corp/The,Common Stock,Financials,10/09/2020
SPVM,911363109,URI ,"1,968","387,577.92",1.108,United Rentals Inc,Common Stock,Industrials,10/09/2020
SPVM,902494103,TSN ,"6,673","386,900.54",1.106,Tyson Foods Inc,Common Stock,Consumer Staples,10/09/2020
SPVM,500754106,KHC ,"12,287","382,248.57",1.092,Kraft Heinz Co/The,Common Stock,Consumer Staples,10/09/2020
SPVM,913903100,UHS ,"3,382","377,870.86",1.080,Universal Health Services Inc,Common Stock,Health Care,10/09/2020
SPVM,38141G104,GS ,"1,816","376,892.64",1.077,Goldman Sachs Group Inc/The,Common Stock,Financials,10/09/2020
