Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
SPVU,060505104,BAC ,"142,710","3,619,125.60",5.062,Bank of America Corp,Common Stock,Financials,10/09/2020
SPVU,00206R102,T ,"118,103","3,344,676.96",4.678,AT&T Inc,Common Stock,Communication Services,10/09/2020
SPVU,126650100,CVS ,"51,757","3,074,365.80",4.300,CVS Health Corp,Common Stock,Health Care,10/09/2020
SPVU,172967424,C ,"67,956","3,053,263.08",4.270,Citigroup Inc,Common Stock,Financials,10/09/2020
SPVU,949746101,WFC ,"117,677","2,977,228.10",4.164,Wells Fargo & Co,Common Stock,Financials,10/09/2020
SPVU,30231G102,XOM ,"74,945","2,603,589.30",3.641,Exxon Mobil Corp,Common Stock,Energy,10/09/2020
SPVU,75513E101,RTX ,"38,691","2,317,977.81",3.242,Raytheon Technologies Corp,Common Stock,Industrials,10/09/2020
SPVU,125523100,CI ,"10,948","1,931,227.20",2.701,Cigna Corp,Common Stock,Health Care,10/09/2020
SPVU,37045V100,GM ,"59,755","1,921,720.80",2.688,General Motors Co,Common Stock,Consumer Discretionary,10/09/2020
SPVU,036752103,ANTM ,"6,180","1,819,453.80",2.545,Anthem Inc,Common Stock,Health Care,10/09/2020
SPVU,38141G104,GS ,"8,120","1,685,224.80",2.357,Goldman Sachs Group Inc/The,Common Stock,Financials,10/09/2020
SPVU,617446448,MS ,"30,580","1,493,221.40",2.088,Morgan Stanley,Common Stock,Financials,10/09/2020
SPVU,59156R108,MET ,"36,516","1,441,651.68",2.016,MetLife Inc,Common Stock,Financials,10/09/2020
SPVU,89832Q109,TFC ,"33,318","1,439,670.78",2.014,Truist Financial Corp,Common Stock,Financials,10/09/2020
SPVU,744320102,PRU ,"18,672","1,267,455.36",1.773,Prudential Financial Inc,Common Stock,Financials,10/09/2020
SPVU,15135B101,CNC ,"19,132","1,228,274.40",1.718,Centene Corp,Common Stock,Health Care,10/09/2020
SPVU,14040H105,COF ,"14,774","1,180,147.12",1.651,Capital One Financial Corp,Common Stock,Financials,10/09/2020
SPVU,931427108,WBA ,"31,649","1,150,124.66",1.609,Walgreens Boots Alliance Inc,Common Stock,Consumer Staples,10/09/2020
SPVU,026874784,AIG ,"37,206","1,114,319.70",1.558,American International Group Inc,Common Stock,Financials,10/09/2020
SPVU,501044101,KR ,"30,617","1,054,755.65",1.475,Kroger Co/The,Common Stock,Consumer Staples,10/09/2020
SPVU,039483102,ADM ,"21,272","1,041,689.84",1.457,Archer-Daniels-Midland Co,Common Stock,Consumer Staples,10/09/2020
SPVU,G51502105,JCI ,"22,329","959,477.13",1.342,Johnson Controls International plc,Common Stock,Industrials,10/09/2020
SPVU,30161N101,EXC ,"24,453","958,557.60",1.341,Exelon Corp,Common Stock,Utilities,10/09/2020
SPVU,020002101,ALL ,"9,462","878,641.32",1.229,Allstate Corp/The,Common Stock,Financials,10/09/2020
SPVU,064058100,BK ,"23,296","878,259.20",1.228,Bank of New York Mellon Corp/The,Common Stock,Financials,10/09/2020
SPVU,58155Q103,MCK ,"5,637","852,821.73",1.193,McKesson Corp,Common Stock,Health Care,10/09/2020
SPVU,345370860,F ,"115,233","835,439.25",1.168,Ford Motor Co,Common Stock,Consumer Discretionary,10/09/2020
SPVU,20825C104,COP ,"22,998","807,919.74",1.130,ConocoPhillips,Common Stock,Energy,10/09/2020
SPVU,40434L105,HPQ ,"41,078","795,680.86",1.113,HP Inc,Common Stock,Information Technology,10/09/2020
SPVU,89417E109,TRV ,"6,606","765,172.98",1.070,Travelers Cos Inc/The,Common Stock,Financials,10/09/2020
SPVU,001055102,AFL ,"20,071","764,705.10",1.070,Aflac Inc,Common Stock,Financials,10/09/2020
SPVU,718546104,PSX ,"13,681","725,640.24",1.015,Phillips 66,Common Stock,Energy,10/09/2020
SPVU,526057104,LEN ,"8,339","701,059.73",0.980,Lennar Corp,Common Stock,Consumer Discretionary,10/09/2020
SPVU,247361702,DAL ,"21,156","694,128.36",0.971,Delta Air Lines Inc,Common Stock,Industrials,10/09/2020
SPVU,91913Y100,VLO ,"15,496","676,245.44",0.946,Valero Energy Corp,Common Stock,Energy,10/09/2020
SPVU,086516101,BBY ,"5,584","651,038.56",0.911,Best Buy Co Inc,Common Stock,Consumer Discretionary,10/09/2020
SPVU,23331A109,DHI ,"7,766","606,446.94",0.848,DR Horton Inc,Common Stock,Consumer Discretionary,10/09/2020
SPVU,857477103,STT ,"8,820","585,912.60",0.819,State Street Corp,Common Stock,Financials,10/09/2020
SPVU,92556H206,VIAC ,"20,227","584,863.71",0.818,ViacomCBS Inc,Common Stock,Communication Services,10/09/2020
SPVU,500754106,KHC ,"17,370","540,380.70",0.756,Kraft Heinz Co/The,Common Stock,Consumer Staples,10/09/2020
SPVU,03073E105,ABC ,"5,567","539,219.62",0.754,AmerisourceBergen Corp,Common Stock,Health Care,10/09/2020
SPVU,902494103,TSN ,"9,038","524,023.24",0.733,Tyson Foods Inc,Common Stock,Consumer Staples,10/09/2020
SPVU,844741108,LUV ,"12,671","503,418.83",0.704,Southwest Airlines Co,Common Stock,Industrials,10/09/2020
SPVU,N53745100,LYB ,"6,200","495,008.00",0.692,LyondellBasell Industries NV,Common Stock,Materials,10/09/2020
SPVU,316773100,FITB ,"20,644","482,656.72",0.675,Fifth Third Bancorp,Common Stock,Financials,10/09/2020
SPVU,96145D105,WRK ,"11,903","449,933.40",0.629,Westrock Co,Common Stock,Materials,10/09/2020
SPVU,416515104,HIG ,"11,601","447,914.61",0.626,Hartford Financial Services Group Inc/The,Common Stock,Financials,10/09/2020
SPVU,670346105,NUE ,"8,780","428,990.80",0.600,Nucor Corp,Common Stock,Materials,10/09/2020
SPVU,87165B103,SYF ,"14,212","409,874.08",0.573,Synchrony Financial,Common Stock,Financials,10/09/2020
SPVU,174610105,CFG ,"14,651","409,641.96",0.573,Citizens Financial Group Inc,Common Stock,Financials,10/09/2020
SPVU,42824C109,HPE ,"41,290","405,054.90",0.567,Hewlett Packard Enterprise Co,Common Stock,Information Technology,10/09/2020
SPVU,963320106,WHR ,"2,004","403,605.60",0.564,Whirlpool Corp,Common Stock,Consumer Discretionary,10/09/2020
SPVU,56585A102,MPC ,"13,122","395,234.64",0.553,Marathon Petroleum Corp,Common Stock,Energy,10/09/2020
SPVU,460146103,IP ,"9,127","389,449.09",0.545,International Paper Co,Common Stock,Materials,10/09/2020
SPVU,12504L109,CBRE ,"7,758","387,124.20",0.541,CBRE Group Inc,Common Stock,Real Estate,10/09/2020
SPVU,156700106,LUMN ,"38,283","387,041.13",0.541,CenturyLink Inc,Common Stock,Communication Services,10/09/2020
