Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
USEQ,617446448,MS ,172,"8,398.76",0.301,Morgan Stanley,Common Stock,Financials,10/09/2020
USEQ,83417M104,SEDG ,27,"8,244.45",0.295,SolarEdge Technologies Inc,Common Stock,Information Technology,10/09/2020
USEQ,808513105,SCHW ,207,"7,913.61",0.283,Charles Schwab Corp/The,Common Stock,Financials,10/09/2020
USEQ,368736104,GNRC ,36,"7,399.08",0.265,Generac Holdings Inc,Common Stock,Industrials,10/09/2020
USEQ,G46188101,HZNP ,83,"7,004.37",0.251,Horizon Therapeutics Plc,Common Stock,Health Care,10/09/2020
USEQ,364760108,GPS ,337,"6,675.97",0.239,Gap Inc/The,Common Stock,Consumer Discretionary,10/09/2020
USEQ,911312106,UPS ,38,"6,638.22",0.238,United Parcel Service Inc,Common Stock,Industrials,10/09/2020
USEQ,253393102,DKS ,109,"6,622.84",0.237,Dick's Sporting Goods Inc,Common Stock,Consumer Discretionary,10/09/2020
USEQ,023135106,AMZN ,2,"6,573.30",0.235,Amazon.com Inc,Common Stock,Consumer Discretionary,10/09/2020
USEQ,336433107,FSLR ,83,"6,541.23",0.234,First Solar Inc,Common Stock,Information Technology,10/09/2020
USEQ,963320106,WHR ,31,"6,243.40",0.223,Whirlpool Corp,Common Stock,Consumer Discretionary,10/09/2020
USEQ,29414B104,EPAM ,18,"6,070.50",0.217,EPAM Systems Inc,Common Stock,Information Technology,10/09/2020
USEQ,67020Y100,NUAN ,176,"6,042.08",0.216,Nuance Communications Inc,Common Stock,Information Technology,10/09/2020
USEQ,747525103,QCOM ,48,"5,993.76",0.215,QUALCOMM Inc,Common Stock,Information Technology,10/09/2020
USEQ,278265103,EV ,99,"5,970.69",0.214,Eaton Vance Corp,Common Stock,Financials,10/09/2020
USEQ,74762E102,PWR ,100,"5,923.00",0.212,Quanta Services Inc,Common Stock,Industrials,10/09/2020
USEQ,244199105,DE ,25,"5,870.25",0.210,Deere & Co,Common Stock,Industrials,10/09/2020
USEQ,05329W102,AN ,95,"5,753.20",0.206,AutoNation Inc,Common Stock,Consumer Discretionary,10/09/2020
USEQ,339750101,FND ,72,"5,734.08",0.205,Floor & Decor Holdings Inc,Common Stock,Consumer Discretionary,10/09/2020
USEQ,67018T105,NUS ,104,"5,733.52",0.205,Nu Skin Enterprises Inc,Common Stock,Consumer Staples,10/09/2020
USEQ,086516101,BBY ,49,"5,712.91",0.204,Best Buy Co Inc,Common Stock,Consumer Discretionary,10/09/2020
USEQ,34964C106,FBHS ,64,"5,676.16",0.203,Fortune Brands Home & Security Inc,Common Stock,Industrials,10/09/2020
USEQ,70959W103,PAG ,102,"5,651.82",0.202,Penske Automotive Group Inc,Common Stock,Consumer Discretionary,10/09/2020
USEQ,889478103,TOL ,113,"5,630.79",0.202,Toll Brothers Inc,Common Stock,Consumer Discretionary,10/09/2020
USEQ,037833100,AAPL ,48,"5,614.56",0.201,Apple Inc,Common Stock,Information Technology,10/09/2020
USEQ,883556102,TMO ,12,"5,576.40",0.200,Thermo Fisher Scientific Inc,Common Stock,Health Care,10/09/2020
