Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
USLB,911312106,UPS ,252,"44,021.88",0.444,United Parcel Service Inc,Common Stock,Industrials,10/09/2020
USLB,007903107,AMD ,494,"41,051.40",0.414,Advanced Micro Devices Inc,Common Stock,Information Technology,10/09/2020
USLB,244199105,DE ,167,"39,213.27",0.396,Deere & Co,Common Stock,Industrials,10/09/2020
USLB,955306105,WST ,125,"37,285.00",0.376,West Pharmaceutical Services Inc,Common Stock,Health Care,10/09/2020
USLB,00130H105,AES ,"1,909","36,881.88",0.372,AES Corp/The,Common Stock,Utilities,10/09/2020
USLB,24703L202,DELL ,533,"36,451.87",0.368,Dell Technologies Inc,Common Stock,Information Technology,10/09/2020
USLB,45784P101,PODD ,146,"36,294.14",0.366,Insulet Corp,Common Stock,Health Care,10/09/2020
USLB,023135106,AMZN ,11,"36,153.15",0.365,Amazon.com Inc,Common Stock,Consumer Discretionary,10/09/2020
USLB,219350105,GLW ,"1,034","35,962.52",0.363,Corning Inc,Common Stock,Information Technology,10/09/2020
USLB,G8994E103,TT ,276,"35,637.12",0.360,Trane Technologies PLC,Common Stock,Industrials,10/09/2020
USLB,922475108,VEEV ,121,"35,588.52",0.359,Veeva Systems Inc,Common Stock,Health Care,10/09/2020
USLB,883556102,TMO ,76,"35,317.20",0.356,Thermo Fisher Scientific Inc,Common Stock,Health Care,10/09/2020
USLB,235851102,DHR ,156,"35,265.36",0.356,Danaher Corp,Common Stock,Health Care,10/09/2020
USLB,87612E106,TGT ,214,"35,033.94",0.354,Target Corp,Common Stock,Consumer Discretionary,10/09/2020
USLB,22160N109,CSGP ,40,"34,974.80",0.353,CoStar Group Inc,Common Stock,Industrials,10/09/2020
USLB,942622200,WSO ,146,"34,623.90",0.349,Watsco Inc,Common Stock,Industrials,10/09/2020
USLB,573284106,MLM ,126,"34,410.60",0.347,Martin Marietta Materials Inc,Common Stock,Materials,10/09/2020
USLB,384109104,GGG ,528,"34,082.40",0.344,Graco Inc,Common Stock,Industrials,10/09/2020
USLB,73278L105,POOL ,98,"33,961.90",0.343,Pool Corp,Common Stock,Consumer Discretionary,10/09/2020
USLB,46120E602,ISRG ,46,"33,956.74",0.343,Intuitive Surgical Inc,Common Stock,Health Care,10/09/2020
USLB,98419M100,XYL ,373,"33,790.07",0.341,Xylem Inc/NY,Common Stock,Industrials,10/09/2020
USLB,775711104,ROL ,586,"33,677.42",0.340,Rollins Inc,Common Stock,Industrials,10/09/2020
USLB,00724F101,ADBE ,67,"33,644.72",0.340,Adobe Inc,Common Stock,Information Technology,10/09/2020
USLB,88087E100,TMX ,770,"33,641.30",0.340,Terminix Global Holdings Inc,Common Stock,Consumer Discretionary,10/09/2020
USLB,64110L106,NFLX ,62,"33,445.28",0.338,Netflix Inc,Common Stock,Communication Services,10/09/2020
USLB,929160109,VMC ,221,"33,322.38",0.336,Vulcan Materials Co,Common Stock,Materials,10/09/2020
USLB,45168D104,IDXX ,83,"33,253.95",0.336,IDEXX Laboratories Inc,Common Stock,Health Care,10/09/2020
USLB,526107107,LII ,117,"33,167.16",0.335,Lennox International Inc,Common Stock,Industrials,10/09/2020
USLB,743315103,PGR ,330,"32,960.40",0.333,Progressive Corp/The,Common Stock,Financials,10/09/2020
USLB,12541W209,CHRW ,312,"32,900.40",0.332,CH Robinson Worldwide Inc,Common Stock,Industrials,10/09/2020
USLB,40416M105,HDS ,764,"32,760.32",0.331,HD Supply Holdings Inc,Common Stock,Industrials,10/09/2020
USLB,654106103,NKE ,250,"32,745.00",0.330,NIKE Inc,Common Stock,Consumer Discretionary,10/09/2020
USLB,172062101,CINF ,409,"32,593.21",0.329,Cincinnati Financial Corp,Common Stock,Financials,10/09/2020
USLB,149123101,CAT ,205,"32,582.70",0.329,Caterpillar Inc,Common Stock,Industrials,10/09/2020
USLB,891092108,TTC ,371,"32,521.86",0.328,Toro Co/The,Common Stock,Industrials,10/09/2020
USLB,874054109,TTWO ,201,"32,489.64",0.328,Take-Two Interactive Software Inc,Common Stock,Communication Services,10/09/2020
USLB,G5876H105,MRVL ,726,"32,452.20",0.328,Marvell Technology Group Ltd,Common Stock,Information Technology,10/09/2020
USLB,57667L107,MTCH ,288,"32,365.44",0.327,Match Group Inc,Common Stock,Communication Services,10/09/2020
USLB,058498106,BLL ,358,"32,313.08",0.326,Ball Corp,Common Stock,Materials,10/09/2020
USLB,171340102,CHD ,346,"32,094.96",0.324,Church & Dwight Co Inc,Common Stock,Consumer Staples,10/09/2020
USLB,384802104,GWW ,83,"31,989.86",0.323,WW Grainger Inc,Common Stock,Industrials,10/09/2020
USLB,70975L107,PEN ,148,"31,976.88",0.323,Penumbra Inc,Common Stock,Health Care,10/09/2020
USLB,127387108,CDNS ,285,"31,900.05",0.322,Cadence Design Systems Inc,Common Stock,Information Technology,10/09/2020
USLB,592688105,MTD ,31,"31,789.26",0.321,Mettler-Toledo International Inc,Common Stock,Health Care,10/09/2020
USLB,892356106,TSCO ,212,"31,785.16",0.321,Tractor Supply Co,Common Stock,Consumer Discretionary,10/09/2020
USLB,22160K105,COST ,86,"31,773.56",0.321,Costco Wholesale Corp,Common Stock,Consumer Staples,10/09/2020
USLB,679580100,ODFL ,159,"31,761.84",0.321,Old Dominion Freight Line Inc,Common Stock,Industrials,10/09/2020
USLB,090572207,BIO ,56,"31,703.84",0.320,Bio-Rad Laboratories Inc,Common Stock,Health Care,10/09/2020
USLB,29530P102,ERIE ,143,"31,687.37",0.320,Erie Indemnity Co,Common Stock,Financials,10/09/2020
USLB,11135F101,AVGO ,84,"31,642.80",0.319,Broadcom Inc,Common Stock,Information Technology,10/09/2020
USLB,871607107,SNPS ,142,"31,640.44",0.319,Synopsys Inc,Common Stock,Information Technology,10/09/2020
USLB,039483102,ADM ,645,"31,585.65",0.319,Archer-Daniels-Midland Co,Common Stock,Consumer Staples,10/09/2020
USLB,009158106,APD ,105,"31,563.00",0.319,Air Products and Chemicals Inc,Common Stock,Materials,10/09/2020
USLB,29444U700,EQIX ,38,"31,515.30",0.318,Equinix Inc,Real Estate Investment Trust			     ,Real Estate,10/09/2020
