Fund Ticker, Holding Ticker,Security Identifier, Name, CouponRate, MaturityDate, Effective Date, Next_Call_Date, rating, Shares/Par Value, MarketValue, PercentageOfFund, PositionDate 
VRP,,369604BQ5,General Electric Co,5.00,12/31/2099,01/20/2016,01/21/2021,BBB-/Baa3,"39,814,000",3.175663379E7,2.20,10/09/2020
VRP,,48128BAG6,JPMorgan Chase & Co,4.60,12/31/2049,01/23/2020,02/01/2025,BBB-/Baa2,"21,075,000",2.0837274E7,1.44,10/09/2020
VRP,,46625HHA1,JPMorgan Chase & Co,3.74,12/31/2049,04/23/2008,01/30/2021,BBB-/Baa2,"20,491,000",1.966849966E7,1.36,10/09/2020
VRP,ALLY A,361860208,GMAC Capital Trust I,6.07,02/15/2040,03/07/2011,11/09/2020,BB-/Ba3,"741,376",1.906077696E7,1.32,10/09/2020
VRP,,808513BD6,Charles Schwab Corp/The,5.38,12/31/2099,04/30/2020,06/01/2025,BBB/Baa2,"17,400,000",1.898775E7,1.32,10/09/2020
VRP,,05565QDV7,BP Capital Markets PLC,4.88,12/31/2049,06/22/2020,03/22/2030,BBB/A3,"17,300,000",1.8601825E7,1.29,10/09/2020
VRP,,05565QDU9,BP Capital Markets PLC,4.38,12/31/2059,06/22/2020,06/22/2025,BBB/A3,"17,375,000",1.817859375E7,1.26,10/09/2020
VRP,,060505FL3,Bank of America Corp,5.88,12/31/2049,03/15/2018,03/15/2028,BBB-/Baa3,"16,355,000",1.774089146E7,1.23,10/09/2020
VRP,,92978AAA0,Wachovia Capital Trust III,5.57,08/29/2049,02/01/2006,11/09/2020,BB+/Baa2,"17,449,000",1.755247257E7,1.22,10/09/2020
VRP,C N,173080201,Citigroup Capital XIII,6.64,10/30/2040,10/05/2010,11/09/2020,BB+/Baa3,"624,320",1.74684736E7,1.21,10/09/2020
VRP,,48127FAA1,JPMorgan Chase & Co,3.55,12/31/2099,06/09/2014,01/01/2021,BBB-/Baa2,"17,519,000",1.645192805E7,1.14,10/09/2020
VRP,,92857WBQ2,Vodafone Group PLC,7.00,04/04/2079,04/04/2019,01/04/2029,BB+/Ba1,"13,515,000",1.618310481E7,1.12,10/09/2020
VRP,,48128BAF8,JPMorgan Chase & Co,5.00,12/31/2049,07/31/2019,08/01/2024,BBB-/Baa2,"15,671,000",1.583372108E7,1.10,10/09/2020
VRP,,060505EH3,Bank of America Corp,6.25,12/31/2049,09/05/2014,09/05/2024,BBB-/Baa3,"13,865,000",1.491772106E7,1.03,10/09/2020
VRP,,46625HJQ4,JPMorgan Chase & Co,6.75,12/31/2049,01/22/2014,02/01/2024,BBB-/Baa2,"13,680,000",1.491562972E7,1.03,10/09/2020
VRP,,949746RN3,Wells Fargo & Co,5.88,12/31/2049,01/23/2015,06/15/2025,BB+/Baa2,"13,746,000",1.48173785E7,1.03,10/09/2020
VRP,,949746RG8,Wells Fargo & Co,5.90,12/31/2099,04/22/2014,06/15/2024,BB+/Baa2,"13,964,000",1.452231144E7,1.01,10/09/2020
VRP,,172967JM4,Citigroup Inc,5.95,12/31/2099,04/24/2015,05/15/2025,BB+/Ba1,"13,662,000",1.438532325E7,1.00,10/09/2020
VRP,,060505EN0,Bank of America Corp,6.10,12/31/2049,03/17/2015,03/17/2025,BBB-/Baa3,"13,180,000",1.43094601E7,0.99,10/09/2020
VRP,,46625HKK5,JPMorgan Chase & Co,4.05,12/31/2049,04/21/2015,02/01/2021,BBB-/Baa2,"13,790,000",1.376910815E7,0.95,10/09/2020
VRP,,38148BAB4,Goldman Sachs Group Inc/The,4.17,12/31/2049,04/23/2015,11/09/2020,BB/Ba1,"13,980,000",1.3750029E7,0.95,10/09/2020
VRP,WFC Q,949746556,Wells Fargo & Co,5.85,,07/22/2013,09/15/2023,BB+/Baa2,"482,067",1.289047158E7,0.89,10/09/2020
VRP,,172967HQ7,Citigroup Inc,6.30,12/31/2049,04/30/2014,05/15/2024,BB+/Ba1,"12,010,000",1.254378445E7,0.87,10/09/2020
VRP,,89832QAD1,Truist Financial Corp,4.80,12/31/2049,07/29/2019,09/01/2024,BBB-/Baa2,"11,750,000",1.18312677E7,0.82,10/09/2020
VRP,C K,172967341,Citigroup Inc,6.88,,10/31/2013,11/15/2023,BB+/Ba1,"417,718",1.175040734E7,0.81,10/09/2020
VRP,,48126HAC4,JPMorgan Chase & Co,6.10,12/31/2049,09/23/2014,10/01/2024,BBB-/Baa2,"11,003,000",1.157970717E7,0.80,10/09/2020
VRP,,172967KM2,Citigroup Inc,6.25,12/29/2049,04/25/2016,08/15/2026,BB+/Ba1,"10,452,000",1.154627214E7,0.80,10/09/2020
VRP,PNC P,693475857,PNC Financial Services Group Inc/The,6.12,,04/24/2012,05/01/2022,BBB-/Baa2,"417,408",1.1270016E7,0.78,10/09/2020
