Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
XLG,037833100,AAPL ,"1,674,366","195,850,591.02",11.855,Apple Inc,Common Stock,Information Technology,10/09/2020
XLG,594918104,MSFT ,"787,889","170,034,325.09",10.293,Microsoft Corp,Common Stock,Information Technology,10/09/2020
XLG,023135106,AMZN ,"44,327","145,687,334.55",8.819,Amazon.com Inc,Common Stock,Consumer Discretionary,10/09/2020
XLG,30303M102,FB ,"250,316","66,196,066.20",4.007,Facebook Inc,Common Stock,Communication Services,10/09/2020
XLG,02079K305,GOOGL ,"31,283","47,251,407.35",2.860,Alphabet Inc,Common Stock,Communication Services,10/09/2020
XLG,02079K107,GOOG ,"30,567","46,315,729.74",2.804,Alphabet Inc,Common Stock,Communication Services,10/09/2020
XLG,084670702,BRK/B ,"206,374","44,510,744.32",2.694,Berkshire Hathaway Inc,Common Stock,Financials,10/09/2020
XLG,478160104,JNJ ,"274,110","41,382,386.70",2.505,Johnson & Johnson,Common Stock,Health Care,10/09/2020
XLG,742718109,PG ,"259,201","37,045,006.92",2.242,Procter & Gamble Co/The,Common Stock,Consumer Staples,10/09/2020
XLG,92826C839,V ,"175,535","36,272,552.40",2.196,Visa Inc,Common Stock,Information Technology,10/09/2020
XLG,67066G104,NVDA ,"64,238","35,363,661.38",2.141,NVIDIA Corp,Common Stock,Information Technology,10/09/2020
XLG,91324P102,UNH ,"98,942","32,437,145.28",1.964,UnitedHealth Group Inc,Common Stock,Health Care,10/09/2020
XLG,57636Q104,MA ,"91,969","32,408,955.91",1.962,Mastercard Inc,Common Stock,Information Technology,10/09/2020
XLG,46625H100,JPM ,"317,294","32,110,152.80",1.944,JPMorgan Chase & Co,Common Stock,Financials,10/09/2020
XLG,437076102,HD ,"112,073","32,043,912.16",1.940,Home Depot Inc/The,Common Stock,Consumer Discretionary,10/09/2020
XLG,92343V104,VZ ,"430,824","25,560,787.92",1.547,Verizon Communications Inc,Common Stock,Communication Services,10/09/2020
XLG,79466L302,CRM ,"94,743","25,199,743.14",1.525,salesforce.com Inc,Common Stock,Information Technology,10/09/2020
XLG,00724F101,ADBE ,"49,939","25,077,368.24",1.518,Adobe Inc,Common Stock,Information Technology,10/09/2020
XLG,64110L106,NFLX ,"45,915","24,768,387.60",1.499,Netflix Inc,Common Stock,Communication Services,10/09/2020
XLG,70450Y103,PYPL ,"122,155","24,097,516.85",1.459,PayPal Holdings Inc,Common Stock,Information Technology,10/09/2020
XLG,254687106,DIS ,"188,138","23,513,487.24",1.423,Walt Disney Co/The,Common Stock,Communication Services,10/09/2020
XLG,458140100,INTC ,"442,791","23,388,220.62",1.416,Intel Corp,Common Stock,Information Technology,10/09/2020
XLG,20030N101,CMCSA ,"474,614","21,286,437.90",1.289,Comcast Corp,Common Stock,Communication Services,10/09/2020
XLG,717081103,PFE ,"578,542","21,284,560.18",1.288,Pfizer Inc,Common Stock,Health Care,10/09/2020
XLG,58933Y105,MRK ,"263,326","21,160,877.36",1.281,Merck & Co Inc,Common Stock,Health Care,10/09/2020
XLG,00206R102,T ,"741,803","21,007,860.96",1.272,AT&T Inc,Common Stock,Communication Services,10/09/2020
XLG,931142103,WMT ,"144,564","20,640,847.92",1.249,Walmart Inc,Common Stock,Consumer Staples,10/09/2020
XLG,191216100,KO ,"402,489","20,450,466.09",1.238,Coca-Cola Co/The,Common Stock,Consumer Staples,10/09/2020
XLG,002824100,ABT ,"184,335","20,212,332.75",1.224,Abbott Laboratories,Common Stock,Health Care,10/09/2020
XLG,060505104,BAC ,"793,797","20,130,691.92",1.219,Bank of America Corp,Common Stock,Financials,10/09/2020
XLG,713448108,PEP ,"144,158","19,957,233.52",1.208,PepsiCo Inc,Common Stock,Consumer Staples,10/09/2020
XLG,883556102,TMO ,"41,186","19,139,134.20",1.159,Thermo Fisher Scientific Inc,Common Stock,Health Care,10/09/2020
XLG,17275R102,CSCO ,"440,753","17,564,007.05",1.063,Cisco Systems Inc,Common Stock,Information Technology,10/09/2020
XLG,580135101,MCD ,"77,471","17,417,804.93",1.054,McDonald's Corp,Common Stock,Consumer Discretionary,10/09/2020
XLG,22160K105,COST ,"45,968","16,983,337.28",1.028,Costco Wholesale Corp,Common Stock,Consumer Staples,10/09/2020
XLG,654106103,NKE ,"129,607","16,975,924.86",1.028,NIKE Inc,Common Stock,Consumer Discretionary,10/09/2020
XLG,00287Y109,ABBV ,"183,741","16,114,085.70",0.975,AbbVie Inc,Common Stock,Health Care,10/09/2020
XLG,11135F101,AVGO ,"41,873","15,773,559.10",0.955,Broadcom Inc,Common Stock,Information Technology,10/09/2020
XLG,65339F101,NEE ,"50,979","15,442,048.89",0.935,NextEra Energy Inc,Common Stock,Utilities,10/09/2020
XLG,30231G102,XOM ,"440,213","15,292,999.62",0.926,Exxon Mobil Corp,Common Stock,Energy,10/09/2020
XLG,G5960L103,MDT ,"139,950","15,209,766.00",0.921,Medtronic PLC,Common Stock,Health Care,10/09/2020
XLG,G1151C101,ACN ,"66,236","15,147,510.84",0.917,Accenture PLC,Common Stock,Information Technology,10/09/2020
XLG,166764100,CVX ,"200,504","14,837,296.00",0.898,Chevron Corp,Common Stock,Energy,10/09/2020
XLG,907818108,UNP ,"70,676","14,543,707.28",0.880,Union Pacific Corp,Common Stock,Industrials,10/09/2020
XLG,110122108,BMY ,"234,663","14,506,866.66",0.878,Bristol Myers Squibb Co,Common Stock,Health Care,10/09/2020
XLG,031162100,AMGN ,"60,978","14,433,492.60",0.874,Amgen Inc,Common Stock,Health Care,10/09/2020
XLG,532457108,LLY ,"82,652","12,966,445.76",0.785,Eli Lilly and Co,Common Stock,Health Care,10/09/2020
XLG,718172109,PM ,"162,133","12,789,051.04",0.774,Philip Morris International Inc,Common Stock,Consumer Staples,10/09/2020
XLG,68389X105,ORCL ,"201,278","12,308,149.70",0.745,Oracle Corp,Common Stock,Information Technology,10/09/2020
XLG,459200101,IBM ,"92,721","11,848,816.59",0.717,International Business Machines Corp,Common Stock,Information Technology,10/09/2020
XLG,172967424,C ,"216,749","9,738,532.57",0.590,Citigroup Inc,Common Stock,Financials,10/09/2020
XLG,825252885,AGPXX ,"317,495","317,495.30",0.019,STIT - Government & Agency Portfolio,"Money Market Fund, Taxable			     ",Investment Companies,10/09/2020
