Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
XMHQ,303075105,FDS ,"9,149","2,996,023.03",4.676,FactSet Research Systems Inc,Common Stock,Financials,10/09/2020
XMHQ,368736104,GNRC ,"10,604","2,179,440.12",3.402,Generac Holdings Inc,Common Stock,Industrials,10/09/2020
XMHQ,384109104,GGG ,"30,394","1,961,932.70",3.062,Graco Inc,Common Stock,Industrials,10/09/2020
XMHQ,192422103,CGNX ,"27,877","1,932,154.87",3.016,Cognex Corp,Common Stock,Information Technology,10/09/2020
XMHQ,896239100,TRMB ,"37,122","1,907,328.36",2.977,Trimble Inc,Common Stock,Information Technology,10/09/2020
XMHQ,655663102,NDSN ,"9,238","1,858,593.22",2.901,Nordson Corp,Common Stock,Industrials,10/09/2020
XMHQ,780287108,RGLD ,"13,017","1,581,435.33",2.468,Royal Gold Inc,Common Stock,Materials,10/09/2020
XMHQ,89531P105,TREX ,"19,685","1,539,760.70",2.403,Trex Co Inc,Common Stock,Industrials,10/09/2020
XMHQ,243537107,DECK ,"5,832","1,465,056.72",2.287,Deckers Outdoor Corp,Common Stock,Consumer Discretionary,10/09/2020
XMHQ,371901109,GNTX ,"50,366","1,383,554.02",2.159,Gentex Corp,Common Stock,Consumer Discretionary,10/09/2020
XMHQ,16359R103,CHE ,"2,877","1,377,996.69",2.151,Chemed Corp,Common Stock,Health Care,10/09/2020
XMHQ,515098101,LSTR ,"10,305","1,359,641.70",2.122,Landstar System Inc,Common Stock,Industrials,10/09/2020
XMHQ,443510607,HUBB ,"9,292","1,338,791.36",2.090,Hubbell Inc,Common Stock,Industrials,10/09/2020
XMHQ,562750109,MANH ,"12,787","1,304,274.00",2.036,Manhattan Associates Inc,Common Stock,Information Technology,10/09/2020
XMHQ,784117103,SEIC ,"23,257","1,283,786.40",2.004,SEI Investments Co,Common Stock,Financials,10/09/2020
XMHQ,759509102,RS ,"11,221","1,253,946.75",1.957,Reliance Steel & Aluminum Co,Common Stock,Materials,10/09/2020
XMHQ,278265103,EV ,"19,619","1,183,221.89",1.847,Eaton Vance Corp,Common Stock,Financials,10/09/2020
XMHQ,650111107,NYT ,"26,977","1,182,401.91",1.845,New York Times Co/The,Common Stock,Communication Services,10/09/2020
XMHQ,171779309,CIEN ,"27,192","1,170,071.76",1.826,Ciena Corp,Common Stock,Information Technology,10/09/2020
XMHQ,858119100,STLD ,"35,632","1,160,890.56",1.812,Steel Dynamics Inc,Common Stock,Materials,10/09/2020
XMHQ,257651109,DCI ,"22,068","1,125,688.68",1.757,Donaldson Co Inc,Common Stock,Industrials,10/09/2020
XMHQ,810186106,SMG ,"6,744","1,106,353.20",1.727,Scotts Miracle-Gro Co/The,Common Stock,Materials,10/09/2020
XMHQ,533900106,LECO ,"11,037","1,059,331.26",1.653,Lincoln Electric Holdings Inc,Common Stock,Industrials,10/09/2020
XMHQ,87162W100,SNX ,"6,645","998,477.70",1.558,SYNNEX Corp,Common Stock,Information Technology,10/09/2020
