Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
XMLV,827048109,SLGN ,"886,135","34,293,424.50",1.866,Silgan Holdings Inc,Common Stock,Materials,10/09/2020
XMLV,890516107,TR ,"1,019,428","32,580,918.88",1.772,Tootsie Roll Industries Inc,Common Stock,Consumer Staples,10/09/2020
XMLV,891092108,TTC ,"355,218","31,138,409.88",1.694,Toro Co/The,Common Stock,Industrials,10/09/2020
XMLV,574795100,MASI ,"125,903","30,522,664.29",1.660,Masimo Corp,Common Stock,Health Care,10/09/2020
XMLV,737446104,POST ,"326,339","30,232,044.96",1.645,Post Holdings Inc,Common Stock,Consumer Staples,10/09/2020
XMLV,038336103,ATR ,"244,483","28,558,059.23",1.554,AptarGroup Inc,Common Stock,Materials,10/09/2020
XMLV,343498101,FLO ,"1,151,255","28,424,485.95",1.546,Flowers Foods Inc,Common Stock,Consumer Staples,10/09/2020
XMLV,21870Q105,COR ,"219,820","27,958,905.80",1.521,CoreSite Realty Corp,Real Estate Investment Trust			     ,Real Estate,10/09/2020
XMLV,942622200,WSO ,"113,537","26,925,299.55",1.465,Watsco Inc,Common Stock,Industrials,10/09/2020
XMLV,09073M104,TECH ,"101,413","26,882,558.04",1.462,Bio-Techne Corp,Common Stock,Health Care,10/09/2020
XMLV,651587107,NEU ,"75,393","26,626,545.81",1.449,NewMarket Corp,Common Stock,Materials,10/09/2020
XMLV,384109104,GGG ,"411,168","26,540,894.40",1.444,Graco Inc,Common Stock,Industrials,10/09/2020
XMLV,81725T100,SXT ,"423,387","26,520,961.68",1.443,Sensient Technologies Corp,Common Stock,Materials,10/09/2020
XMLV,115236101,BRO ,"555,805","26,245,112.10",1.428,Brown & Brown Inc,Common Stock,Financials,10/09/2020
XMLV,53223X107,LSI ,"228,272","25,949,960.96",1.412,Life Storage Inc,Real Estate Investment Trust			     ,Real Estate,10/09/2020
XMLV,421946104,HR ,"853,655","25,899,892.70",1.409,Healthcare Realty Trust Inc,Real Estate Investment Trust			     ,Real Estate,10/09/2020
XMLV,526107107,LII ,"89,641","25,411,430.68",1.382,Lennox International Inc,Common Stock,Industrials,10/09/2020
XMLV,74758T303,QLYS ,"253,628","25,337,437.20",1.378,Qualys Inc,Common Stock,Information Technology,10/09/2020
XMLV,371901109,GNTX ,"909,088","24,972,647.36",1.359,Gentex Corp,Common Stock,Consumer Discretionary,10/09/2020
XMLV,515098101,LSTR ,"185,859","24,522,236.46",1.334,Landstar System Inc,Common Stock,Industrials,10/09/2020
XMLV,950755108,WERN ,"562,064","24,500,369.76",1.333,Werner Enterprises Inc,Common Stock,Industrials,10/09/2020
XMLV,198516106,COLM ,"258,955","24,479,016.15",1.332,Columbia Sportswear Co,Common Stock,Consumer Discretionary,10/09/2020
XMLV,76169C100,REXR ,"475,448","24,423,763.76",1.329,Rexford Industrial Realty Inc,Real Estate Investment Trust			     ,Real Estate,10/09/2020
XMLV,457985208,IART ,"481,756","23,991,448.80",1.305,Integra LifeSciences Holdings Corp,Common Stock,Health Care,10/09/2020
XMLV,29261A100,EHC ,"355,603","23,836,069.09",1.297,Encompass Health Corp,Common Stock,Health Care,10/09/2020
XMLV,553530106,MSM ,"360,601","23,709,515.75",1.290,MSC Industrial Direct Co Inc,Common Stock,Industrials,10/09/2020
XMLV,451107106,IDA ,"270,623","23,657,862.66",1.287,IDACORP Inc,Common Stock,Utilities,10/09/2020
XMLV,133131102,CPT ,"244,763","23,575,572.16",1.283,Camden Property Trust,Real Estate Investment Trust			     ,Real Estate,10/09/2020
XMLV,405217100,HAIN ,"656,584","23,531,970.56",1.280,Hain Celestial Group Inc/The,Common Stock,Consumer Staples,10/09/2020
XMLV,48123V102,JCOM ,"329,944","23,505,210.56",1.279,J2 Global Inc,Common Stock,Information Technology,10/09/2020
XMLV,147528103,CASY ,"127,734","23,414,919.54",1.274,Casey's General Stores Inc,Common Stock,Consumer Staples,10/09/2020
XMLV,91307C102,UTHR ,"224,765","23,377,807.65",1.272,United Therapeutics Corp,Common Stock,Health Care,10/09/2020
XMLV,920253101,VMI ,"163,764","23,026,856.04",1.253,Valmont Industries Inc,Common Stock,Industrials,10/09/2020
XMLV,650111107,NYT ,"522,074","22,882,503.42",1.245,New York Times Co/The,Common Stock,Communication Services,10/09/2020
XMLV,749685103,RPM ,"262,273","22,880,696.52",1.245,RPM International Inc,Common Stock,Materials,10/09/2020
XMLV,670837103,OGE ,"714,159","22,867,371.18",1.244,OGE Energy Corp,Common Stock,Utilities,10/09/2020
XMLV,74112D101,PBH ,"613,750","22,806,950.00",1.241,Prestige Consumer Healthcare Inc,Common Stock,Health Care,10/09/2020
XMLV,32054K103,FR ,"519,838","22,607,754.62",1.230,First Industrial Realty Trust Inc,Real Estate Investment Trust			     ,Real Estate,10/09/2020
XMLV,784117103,SEIC ,"409,544","22,606,828.80",1.230,SEI Investments Co,Common Stock,Financials,10/09/2020
XMLV,636180101,NFG ,"535,760","22,496,562.40",1.224,National Fuel Gas Co,Common Stock,Utilities,10/09/2020
XMLV,533900106,LECO ,"233,960","22,455,480.80",1.222,Lincoln Electric Holdings Inc,Common Stock,Industrials,10/09/2020
XMLV,88162G103,TTEK ,"217,668","22,324,030.08",1.214,Tetra Tech Inc,Common Stock,Industrials,10/09/2020
XMLV,G7496G103,RNR ,"128,652","22,281,239.88",1.212,RenaissanceRe Holdings Ltd,Common Stock,Financials,10/09/2020
XMLV,89469A104,THS ,"551,338","22,218,921.40",1.209,TreeHouse Foods Inc,Common Stock,Consumer Staples,10/09/2020
XMLV,513847103,LANC ,"125,318","22,167,501.02",1.206,Lancaster Colony Corp,Common Stock,Consumer Staples,10/09/2020
XMLV,16359R103,CHE ,"46,225","22,140,388.25",1.204,Chemed Corp,Common Stock,Health Care,10/09/2020
XMLV,817565104,SCI ,"491,628","22,093,762.32",1.202,Service Corp International/US,Common Stock,Consumer Discretionary,10/09/2020
XMLV,257651109,DCI ,"430,135","21,941,186.35",1.194,Donaldson Co Inc,Common Stock,Industrials,10/09/2020
XMLV,12685J105,CABO ,"11,911","21,866,928.46",1.190,Cable One Inc,Common Stock,Communication Services,10/09/2020
XMLV,69370C100,PTC ,"251,884","21,646,910.96",1.178,PTC Inc,Common Stock,Information Technology,10/09/2020
XMLV,759509102,RS ,"192,933","21,560,262.75",1.173,Reliance Steel & Aluminum Co,Common Stock,Materials,10/09/2020
XMLV,204166102,CVLT ,"492,053","21,556,841.93",1.173,CommVault Systems Inc,Common Stock,Information Technology,10/09/2020
XMLV,577933104,MMS ,"305,865","21,511,485.45",1.170,MAXIMUS Inc,Common Stock,Information Technology,10/09/2020
XMLV,39874R101,GO ,"496,904","21,510,974.16",1.170,Grocery Outlet Holding Corp,Common Stock,Consumer Staples,10/09/2020
XMLV,499049104,KNX ,"532,327","21,426,161.75",1.166,Knight-Swift Transportation Holdings Inc,Common Stock,Industrials,10/09/2020
XMLV,12508E101,CDK ,"490,566","21,423,017.22",1.165,CDK Global Inc,Common Stock,Information Technology,10/09/2020
XMLV,457187102,INGR ,"277,464","21,309,235.20",1.159,Ingredion Inc,Common Stock,Consumer Staples,10/09/2020
XMLV,142339100,CSL ,"166,892","21,263,709.72",1.157,Carlisle Cos Inc,Common Stock,Industrials,10/09/2020
XMLV,443510607,HUBB ,"146,228","21,068,530.24",1.146,Hubbell Inc,Common Stock,Industrials,10/09/2020
XMLV,968223206,JW/A ,"649,823","21,060,763.43",1.146,John Wiley & Sons Inc,Common Stock,Communication Services,10/09/2020
XMLV,410867105,THG ,"219,094","21,019,878.36",1.144,Hanover Insurance Group Inc/The,Common Stock,Financials,10/09/2020
XMLV,379577208,GMED ,"390,359","20,907,628.04",1.137,Globus Medical Inc,Common Stock,Health Care,10/09/2020
XMLV,419870100,HE ,"605,950","20,887,096.50",1.136,Hawaiian Electric Industries Inc,Common Stock,Utilities,10/09/2020
XMLV,835495102,SON ,"392,643","20,868,975.45",1.135,Sonoco Products Co,Common Stock,Materials,10/09/2020
XMLV,044186104,ASH ,"280,402","20,859,104.78",1.135,Ashland Global Holdings Inc,Common Stock,Materials,10/09/2020
XMLV,127190304,CACI ,"97,197","20,745,727.68",1.129,CACI International Inc,Common Stock,Information Technology,10/09/2020
XMLV,302941109,FCN ,"184,749","20,723,295.33",1.127,FTI Consulting Inc,Common Stock,Industrials,10/09/2020
XMLV,46590V100,JBGS ,"749,377","20,697,792.74",1.126,JBG SMITH Properties,Real Estate Investment Trust			     ,Real Estate,10/09/2020
XMLV,431475102,HRC ,"229,989","20,574,815.94",1.119,Hill-Rom Holdings Inc,Common Stock,Health Care,10/09/2020
XMLV,23283R100,CONE ,"254,875","20,423,133.75",1.111,CyrusOne Inc,Real Estate Investment Trust			     ,Real Estate,10/09/2020
XMLV,200525103,CBSH ,"336,847","20,382,611.97",1.109,Commerce Bancshares Inc/MO,Common Stock,Financials,10/09/2020
XMLV,69360J107,PSB ,"156,996","20,170,846.08",1.097,PS Business Parks Inc,Real Estate Investment Trust			     ,Real Estate,10/09/2020
XMLV,38526M106,LOPE ,"237,956","19,814,596.12",1.078,Grand Canyon Education Inc,Common Stock,Consumer Discretionary,10/09/2020
XMLV,589400100,MCY ,"483,877","19,742,181.60",1.074,Mercury General Corp,Common Stock,Financials,10/09/2020
XMLV,303075105,FDS ,"60,052","19,665,228.44",1.070,FactSet Research Systems Inc,Common Stock,Financials,10/09/2020
XMLV,84857L101,SR ,"338,758","18,892,533.66",1.028,Spire Inc,Common Stock,Utilities,10/09/2020
XMLV,29670G102,WTRG ,"452,617","18,846,971.88",1.025,Essential Utilities Inc,Common Stock,Utilities,10/09/2020
XMLV,85208M102,SFM ,"846,467","18,444,515.93",1.003,Sprouts Farmers Market Inc,Common Stock,Consumer Staples,10/09/2020
XMLV,649445103,NYCB ,"2,020,169","17,090,629.74",0.930,New York Community Bancorp Inc,Common Stock,Financials,10/09/2020
XMLV,825252885,AGPXX ,"265,628","265,627.68",0.014,STIT - Government & Agency Portfolio,"Money Market Fund, Taxable			     ",Investment Companies,10/09/2020
XMLV,CASHUSD00,-CASH-,"-1,375,984","-1,375,984.04",-0.075,Cash/Receivables/Payables,Currency,Cash,10/09/2020
