Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
XMMO,83417M104,SEDG ,"111,146","33,938,431.10",4.521,SolarEdge Technologies Inc,Common Stock,Information Technology,10/09/2020
XMMO,368736104,GNRC ,"139,245","28,619,024.85",3.813,Generac Holdings Inc,Common Stock,Industrials,10/09/2020
XMMO,74838J101,QDEL ,"84,657","23,538,878.85",3.136,Quidel Corp,Common Stock,Health Care,10/09/2020
XMMO,609839105,MPWR ,"74,388","23,466,438.48",3.126,Monolithic Power Systems Inc,Common Stock,Information Technology,10/09/2020
XMMO,29355A107,ENPH ,"191,427","20,899,999.86",2.784,Enphase Energy Inc,Common Stock,Information Technology,10/09/2020
XMMO,574795100,MASI ,"77,326","18,746,142.18",2.497,Masimo Corp,Common Stock,Health Care,10/09/2020
XMMO,100557107,SAM ,"20,188","18,536,419.72",2.469,Boston Beer Co Inc/The,Common Stock,Consumer Staples,10/09/2020
XMMO,159864107,CRL ,"71,550","17,355,883.50",2.312,Charles River Laboratories International Inc,Common Stock,Health Care,10/09/2020
XMMO,192422103,CGNX ,"238,121","16,504,166.51",2.199,Cognex Corp,Common Stock,Information Technology,10/09/2020
XMMO,12685J105,CABO ,"8,616","15,817,769.76",2.107,Cable One Inc,Common Stock,Communication Services,10/09/2020
XMMO,15677J108,CDAY ,"164,888","14,711,307.36",1.960,Ceridian HCM Holding Inc,Common Stock,Information Technology,10/09/2020
XMMO,60855R100,MOH ,"73,181","14,577,655.20",1.942,Molina Healthcare Inc,Common Stock,Health Care,10/09/2020
XMMO,89531P105,TREX ,"181,784","14,219,144.48",1.894,Trex Co Inc,Common Stock,Industrials,10/09/2020
XMMO,023436108,AMED ,"57,361","14,215,776.63",1.894,Amedisys Inc,Common Stock,Health Care,10/09/2020
XMMO,942622200,WSO ,"59,336","14,071,532.40",1.875,Watsco Inc,Common Stock,Industrials,10/09/2020
XMMO,23283R100,CONE ,"174,677","13,996,868.01",1.865,CyrusOne Inc,Real Estate Investment Trust			     ,Real Estate,10/09/2020
XMMO,86771W105,RUN ,"194,318","13,880,134.74",1.849,Sunrun Inc,Common Stock,Industrials,10/09/2020
XMMO,759916109,RGEN ,"80,976","13,806,408.00",1.839,Repligen Corp,Common Stock,Health Care,10/09/2020
XMMO,09073M104,TECH ,"51,360","13,614,508.80",1.814,Bio-Techne Corp,Common Stock,Health Care,10/09/2020
XMMO,303075105,FDS ,"41,045","13,441,006.15",1.791,FactSet Research Systems Inc,Common Stock,Financials,10/09/2020
XMMO,115236101,BRO ,"284,230","13,421,340.60",1.788,Brown & Brown Inc,Common Stock,Financials,10/09/2020
XMMO,655663102,NDSN ,"66,611","13,401,467.09",1.785,Nordson Corp,Common Stock,Industrials,10/09/2020
XMMO,303250104,FICO ,"27,985","12,377,765.50",1.649,Fair Isaac Corp,Common Stock,Information Technology,10/09/2020
XMMO,749685103,RPM ,"133,938","11,684,751.12",1.557,RPM International Inc,Common Stock,Materials,10/09/2020
XMMO,29089Q105,EBS ,"103,284","11,310,630.84",1.507,Emergent BioSolutions Inc,Common Stock,Health Care,10/09/2020
XMMO,50187A107,LHCG ,"48,197","10,876,135.02",1.449,LHC Group Inc,Common Stock,Health Care,10/09/2020
XMMO,74967X103,RH ,"26,934","10,004,903.64",1.333,RH,Common Stock,Consumer Discretionary,10/09/2020
XMMO,536797103,LAD ,"34,903","9,899,188.86",1.319,Lithia Motors Inc,Common Stock,Consumer Discretionary,10/09/2020
XMMO,69370C100,PTC ,"114,775","9,863,763.50",1.314,PTC Inc,Common Stock,Information Technology,10/09/2020
XMMO,05550J101,BJ ,"240,252","9,802,281.60",1.306,BJ's Wholesale Club Holdings Inc,Common Stock,Consumer Staples,10/09/2020
XMMO,55024U109,LITE ,"116,513","9,640,285.62",1.284,Lumentum Holdings Inc,Common Stock,Information Technology,10/09/2020
XMMO,707569109,PENN ,"143,408","9,278,497.60",1.236,Penn National Gaming Inc,Common Stock,Consumer Discretionary,10/09/2020
XMMO,58463J304,MPW ,"484,043","8,998,359.37",1.199,Medical Properties Trust Inc,Real Estate Investment Trust			     ,Real Estate,10/09/2020
XMMO,885160101,THO ,"92,920","8,975,142.80",1.196,Thor Industries Inc,Common Stock,Consumer Discretionary,10/09/2020
XMMO,810186106,SMG ,"53,874","8,838,029.70",1.177,Scotts Miracle-Gro Co/The,Common Stock,Materials,10/09/2020
XMMO,70975L107,PEN ,"39,167","8,462,422.02",1.127,Penumbra Inc,Common Stock,Health Care,10/09/2020
XMMO,89055F103,BLD ,"44,981","8,407,398.71",1.120,TopBuild Corp,Common Stock,Consumer Discretionary,10/09/2020
XMMO,55306N104,MKSI ,"70,674","8,401,725.12",1.119,MKS Instruments Inc,Common Stock,Information Technology,10/09/2020
XMMO,969904101,WSM ,"80,882","8,101,949.94",1.079,Williams-Sonoma Inc,Common Stock,Consumer Discretionary,10/09/2020
XMMO,237266101,DAR ,"189,684","8,033,117.40",1.070,Darling Ingredients Inc,Common Stock,Consumer Staples,10/09/2020
XMMO,16359R103,CHE ,"16,512","7,908,752.64",1.054,Chemed Corp,Common Stock,Health Care,10/09/2020
XMMO,243537107,DECK ,"30,533","7,670,194.93",1.022,Deckers Outdoor Corp,Common Stock,Consumer Discretionary,10/09/2020
XMMO,650111107,NYT ,"174,489","7,647,852.87",1.019,New York Times Co/The,Common Stock,Communication Services,10/09/2020
XMMO,171779309,CIEN ,"176,399","7,590,448.97",1.011,Ciena Corp,Common Stock,Information Technology,10/09/2020
XMMO,780287108,RGLD ,"61,957","7,527,155.93",1.003,Royal Gold Inc,Common Stock,Materials,10/09/2020
XMMO,21871D103,CLGX ,"105,268","7,261,386.64",0.967,CoreLogic Inc/United States,Common Stock,Industrials,10/09/2020
XMMO,70438V106,PCTY ,"38,029","6,995,054.26",0.932,Paylocity Holding Corp,Common Stock,Information Technology,10/09/2020
XMMO,21870Q105,COR ,"53,777","6,839,896.63",0.911,CoreSite Realty Corp,Real Estate Investment Trust			     ,Real Estate,10/09/2020
XMMO,91307C102,UTHR ,"65,292","6,791,020.92",0.905,United Therapeutics Corp,Common Stock,Health Care,10/09/2020
XMMO,858912108,SRCL ,"98,886","6,471,099.84",0.862,Stericycle Inc,Common Stock,Industrials,10/09/2020
XMMO,87157D109,SYNA ,"75,910","6,409,840.40",0.854,Synaptics Inc,Common Stock,Information Technology,10/09/2020
XMMO,87162W100,SNX ,"40,175","6,036,695.50",0.804,SYNNEX Corp,Common Stock,Information Technology,10/09/2020
XMMO,698813102,PZZA ,"71,826","5,738,179.14",0.764,Papa John's International Inc,Common Stock,Consumer Discretionary,10/09/2020
XMMO,117043109,BC ,"85,175","5,354,952.25",0.713,Brunswick Corp/DE,Common Stock,Consumer Discretionary,10/09/2020
XMMO,G4388N106,HELE ,"26,902","5,329,555.22",0.710,Helen of Troy Ltd,Common Stock,Consumer Discretionary,10/09/2020
XMMO,74758T303,QLYS ,"53,161","5,310,783.90",0.707,Qualys Inc,Common Stock,Information Technology,10/09/2020
XMMO,499049104,KNX ,"131,506","5,293,116.50",0.705,Knight-Swift Transportation Holdings Inc,Common Stock,Industrials,10/09/2020
XMMO,04280A100,ARWR ,"114,900","5,291,145.00",0.705,Arrowhead Pharmaceuticals Inc,Common Stock,Health Care,10/09/2020
XMMO,32054K103,FR ,"118,662","5,160,610.38",0.687,First Industrial Realty Trust Inc,Real Estate Investment Trust			     ,Real Estate,10/09/2020
XMMO,05464C101,AAXN ,"51,214","5,069,673.86",0.675,Axon Enterprise Inc,Common Stock,Industrials,10/09/2020
XMMO,405217100,HAIN ,"141,358","5,066,270.72",0.675,Hain Celestial Group Inc/The,Common Stock,Consumer Staples,10/09/2020
XMMO,626755102,MUSA ,"38,480","4,992,780.00",0.665,Murphy USA Inc,Common Stock,Consumer Discretionary,10/09/2020
XMMO,172755100,CRUS ,"66,292","4,769,046.48",0.635,Cirrus Logic Inc,Common Stock,Information Technology,10/09/2020
XMMO,277276101,EGP ,"31,324","4,556,075.80",0.607,EastGroup Properties Inc,Real Estate Investment Trust			     ,Real Estate,10/09/2020
XMMO,88162G103,TTEK ,"43,889","4,501,255.84",0.600,Tetra Tech Inc,Common Stock,Industrials,10/09/2020
XMMO,902104108,IIVI ,"98,278","4,463,786.76",0.595,II-VI Inc,Common Stock,Information Technology,10/09/2020
XMMO,827048109,SLGN ,"114,838","4,444,230.60",0.592,Silgan Holdings Inc,Common Stock,Materials,10/09/2020
XMMO,553498106,MSA ,"29,702","4,277,385.02",0.570,MSA Safety Inc,Common Stock,Industrials,10/09/2020
XMMO,85208M102,SFM ,"189,275","4,124,302.25",0.549,Sprouts Farmers Market Inc,Common Stock,Consumer Staples,10/09/2020
XMMO,12008R107,BLDR ,"117,027","3,978,918.00",0.530,Builders FirstSource Inc,Common Stock,Industrials,10/09/2020
XMMO,302941109,FCN ,"31,557","3,539,748.69",0.472,FTI Consulting Inc,Common Stock,Industrials,10/09/2020
XMMO,950755108,WERN ,"77,819","3,392,130.21",0.452,Werner Enterprises Inc,Common Stock,Industrials,10/09/2020
XMMO,87166B102,SYNH ,"55,277","3,252,498.68",0.433,Syneos Health Inc,Common Stock,Health Care,10/09/2020
XMMO,48666K109,KBH ,"77,051","3,145,221.82",0.419,KB Home,Common Stock,Consumer Discretionary,10/09/2020
XMMO,703395103,PDCO ,"106,573","2,693,099.71",0.359,Patterson Cos Inc,Common Stock,Health Care,10/09/2020
XMMO,87265H109,TPH ,"108,609","2,063,571.00",0.275,TRI Pointe Group Inc,Common Stock,Consumer Discretionary,10/09/2020
XMMO,53220K504,LGND ,"15,578","1,582,880.58",0.211,Ligand Pharmaceuticals Inc,Common Stock,Health Care,10/09/2020
XMMO,825252885,AGPXX ,"313,925","313,925.31",0.042,STIT - Government & Agency Portfolio,"Money Market Fund, Taxable			     ",Investment Companies,10/09/2020
XMMO,CASHUSD00,-CASH-,"67,310","67,309.50",0.009,Cash/Receivables/Payables,Currency,Cash,10/09/2020
