Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
XRLV,902252105,TYL ,"1,990","774,667.20",1.305,Tyler Technologies Inc,Common Stock,Information Technology,10/09/2020
XRLV,110122108,BMY ,"12,529","774,542.78",1.304,Bristol Myers Squibb Co,Common Stock,Health Care,10/09/2020
XRLV,478160104,JNJ ,"4,890","738,243.30",1.243,Johnson & Johnson,Common Stock,Health Care,10/09/2020
XRLV,235851102,DHR ,"3,264","737,859.84",1.243,Danaher Corp,Common Stock,Health Care,10/09/2020
XRLV,302130109,EXPD ,"7,903","730,711.38",1.231,Expeditors International of Washington Inc,Common Stock,Industrials,10/09/2020
XRLV,79466L302,CRM ,"2,702","718,677.96",1.210,salesforce.com Inc,Common Stock,Information Technology,10/09/2020
XRLV,16119P108,CHTR ,"1,114","708,102.96",1.192,Charter Communications Inc,Common Stock,Communication Services,10/09/2020
XRLV,12541W209,CHRW ,"6,705","707,042.25",1.191,CH Robinson Worldwide Inc,Common Stock,Industrials,10/09/2020
XRLV,714046109,PKI ,"5,357","694,695.76",1.170,PerkinElmer Inc,Common Stock,Health Care,10/09/2020
XRLV,883556102,TMO ,"1,482","688,685.40",1.160,Thermo Fisher Scientific Inc,Common Stock,Health Care,10/09/2020
XRLV,G8473T100,STE ,"3,634","684,827.30",1.153,STERIS PLC,Common Stock,Health Care,10/09/2020
XRLV,023135106,AMZN ,206,"677,049.90",1.140,Amazon.com Inc,Common Stock,Consumer Discretionary,10/09/2020
XRLV,831865209,AOS ,"11,772","673,240.68",1.134,A O Smith Corp,Common Stock,Industrials,10/09/2020
XRLV,760759100,RSG ,"7,215","672,005.10",1.132,Republic Services Inc,Common Stock,Industrials,10/09/2020
XRLV,216648402,COO ,"1,877","671,684.45",1.131,Cooper Cos Inc/The,Common Stock,Health Care,10/09/2020
XRLV,654106103,NKE ,"5,115","669,962.70",1.128,NIKE Inc,Common Stock,Consumer Discretionary,10/09/2020
XRLV,084670702,BRK/B ,"3,105","669,686.40",1.128,Berkshire Hathaway Inc,Common Stock,Financials,10/09/2020
XRLV,58933Y105,MRK ,"8,307","667,550.52",1.124,Merck & Co Inc,Common Stock,Health Care,10/09/2020
XRLV,94106L109,WM ,"5,772","665,800.20",1.121,Waste Management Inc,Common Stock,Industrials,10/09/2020
