Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
XSHD,92240M108,VGR ,"72,097","785,136.33",3.748,Vector Group Ltd,Common Stock,Consumer Staples,10/09/2020
XSHD,L9340P101,TSE ,"25,497","750,376.71",3.582,Trinseo SA,Common Stock,Materials,10/09/2020
XSHD,05508R106,BGS ,"23,336","670,443.28",3.201,B&G Foods Inc,Common Stock,Consumer Staples,10/09/2020
XSHD,48251K100,KREF ,"37,191","642,660.48",3.068,KKR Real Estate Finance Trust Inc,Real Estate Investment Trust			     ,Financials,10/09/2020
XSHD,913456109,UVV ,"14,568","631,085.76",3.013,Universal Corp/VA,Common Stock,Consumer Staples,10/09/2020
XSHD,084680107,BHLB ,"56,774","623,378.52",2.976,Berkshire Hills Bancorp Inc,Common Stock,Financials,10/09/2020
XSHD,419596101,HVT ,"25,817","620,124.34",2.960,Haverty Furniture Cos Inc,Common Stock,Consumer Discretionary,10/09/2020
XSHD,379378201,GNL ,"38,075","619,861.00",2.959,Global Net Lease Inc,Real Estate Investment Trust			     ,Real Estate,10/09/2020
XSHD,105368203,BDN ,"57,357","611,999.19",2.922,Brandywine Realty Trust,Real Estate Investment Trust			     ,Real Estate,10/09/2020
XSHD,393657101,GBX ,"16,482","555,937.86",2.654,Greenbrier Cos Inc/The,Common Stock,Industrials,10/09/2020
XSHD,67623C109,OPI ,"25,200","537,012.00",2.564,Office Properties Income Trust,Real Estate Investment Trust			     ,Real Estate,10/09/2020
XSHD,84863T106,SPOK ,"54,833","528,041.79",2.521,Spok Holdings Inc,Common Stock,Communication Services,10/09/2020
XSHD,577128101,MATW ,"21,130","519,798.00",2.482,Matthews International Corp,Common Stock,Industrials,10/09/2020
XSHD,034164103,ANDE ,"25,484","499,741.24",2.386,Andersons Inc/The,Common Stock,Consumer Staples,10/09/2020
XSHD,808541106,SWM ,"15,220","490,997.20",2.344,Schweitzer-Mauduit International Inc,Common Stock,Materials,10/09/2020
XSHD,35471R106,FSP ,"126,117","486,811.62",2.324,Franklin Street Properties Corp,Real Estate Investment Trust			     ,Real Estate,10/09/2020
XSHD,76122Q105,RGP ,"40,439","471,114.35",2.249,Resources Connection Inc,Common Stock,Industrials,10/09/2020
XSHD,98390M103,XPER ,"34,442","426,047.54",2.034,Xperi Holding Corp,Common Stock,Information Technology,10/09/2020
XSHD,552676108,MDC ,"8,295","420,141.75",2.006,MDC Holdings Inc,Common Stock,Consumer Discretionary,10/09/2020
XSHD,57686G105,MATX ,"8,152","418,768.24",1.999,Matson Inc,Common Stock,Industrials,10/09/2020
XSHD,05379B107,AVA ,"11,032","387,002.56",1.848,Avista Corp,Common Stock,Utilities,10/09/2020
XSHD,838518108,SJI ,"18,731","380,801.23",1.818,South Jersey Industries Inc,Common Stock,Utilities,10/09/2020
XSHD,739128106,POWL ,"13,618","356,246.88",1.701,Powell Industries Inc,Common Stock,Industrials,10/09/2020
XSHD,76009N100,RCII ,"10,337","354,042.25",1.690,Rent-A-Center Inc/TX,Common Stock,Consumer Discretionary,10/09/2020
XSHD,70014A104,PKE ,"30,716","349,240.92",1.667,Park Aerospace Corp,Common Stock,Industrials,10/09/2020
XSHD,929566107,WNC ,"24,769","340,821.44",1.627,Wabash National Corp,Common Stock,Industrials,10/09/2020
XSHD,234264109,DAKT ,"78,130","330,489.90",1.578,Daktronics Inc,Common Stock,Information Technology,10/09/2020
XSHD,847215100,SPTN ,"15,360","330,086.40",1.576,SpartanNash Co,Common Stock,Consumer Staples,10/09/2020
XSHD,431571108,HI ,"10,532","325,228.16",1.553,Hillenbrand Inc,Common Stock,Industrials,10/09/2020
XSHD,483007704,KALU ,"4,965","311,653.05",1.488,Kaiser Aluminum Corp,Common Stock,Materials,10/09/2020
XSHD,08160H101,BHE ,"13,829","302,440.23",1.444,Benchmark Electronics Inc,Common Stock,Information Technology,10/09/2020
XSHD,716382106,PETS ,"9,427","302,229.62",1.443,PetMed Express Inc,Common Stock,Consumer Discretionary,10/09/2020
XSHD,894650100,TG ,"18,785","296,990.85",1.418,Tredegar Corp,Common Stock,Materials,10/09/2020
XSHD,420877201,HAYN ,"16,258","293,782.06",1.403,Haynes International Inc,Common Stock,Materials,10/09/2020
XSHD,640079109,NP ,"7,375","292,935.00",1.398,Neenah Inc,Common Stock,Materials,10/09/2020
XSHD,58470H101,MED ,"1,752","289,062.48",1.380,Medifast Inc,Common Stock,Consumer Staples,10/09/2020
XSHD,66765N105,NWN ,"6,080","285,212.80",1.362,Northwest Natural Holding Co,Common Stock,Utilities,10/09/2020
XSHD,00738A106,ADTN ,"24,887","271,019.43",1.294,ADTRAN Inc,Common Stock,Information Technology,10/09/2020
XSHD,377320106,GLT ,"18,785","269,940.45",1.289,Glatfelter Corp,Common Stock,Materials,10/09/2020
XSHD,588056101,MERC ,"37,881","247,741.74",1.183,Mercer International Inc,Common Stock,Materials,10/09/2020
XSHD,19239V302,CCOI ,"3,812","239,126.76",1.142,Cogent Communications Holdings Inc,Common Stock,Communication Services,10/09/2020
XSHD,501242101,KLIC ,"9,359","234,723.72",1.121,Kulicke & Soffa Industries Inc,Common Stock,Information Technology,10/09/2020
XSHD,205826209,CMTL ,"13,902","228,409.86",1.090,Comtech Telecommunications Corp,Common Stock,Information Technology,10/09/2020
XSHD,691497309,OXM ,"5,001","223,694.73",1.068,Oxford Industries Inc,Common Stock,Consumer Discretionary,10/09/2020
XSHD,126349109,CSGS ,"5,241","218,235.24",1.042,CSG Systems International Inc,Common Stock,Information Technology,10/09/2020
XSHD,50189K103,LCII ,"1,839","216,928.44",1.036,LCI Industries,Common Stock,Consumer Discretionary,10/09/2020
XSHD,205306103,CPSI ,"6,723","189,857.52",0.906,Computer Programs and Systems Inc,Common Stock,Health Care,10/09/2020
XSHD,128246105,CVGW ,"2,744","188,293.28",0.899,Calavo Growers Inc,Common Stock,Consumer Staples,10/09/2020
XSHD,743312100,PRGS ,"4,617","185,695.74",0.887,Progress Software Corp,Common Stock,Information Technology,10/09/2020
XSHD,564563104,MANT ,"2,488","176,871.92",0.844,ManTech International Corp/VA,Common Stock,Information Technology,10/09/2020
XSHD,466032109,JJSF ,"1,296","172,782.72",0.825,J & J Snack Foods Corp,Common Stock,Consumer Staples,10/09/2020
XSHD,807066105,SCHL ,"7,276","157,598.16",0.752,Scholastic Corp,Common Stock,Communication Services,10/09/2020
XSHD,130788102,CWT ,"3,290","147,819.70",0.706,California Water Service Group,Common Stock,Utilities,10/09/2020
XSHD,029899101,AWR ,"1,841","141,149.47",0.674,American States Water Co,Common Stock,Utilities,10/09/2020
XSHD,71742Q106,PAHC ,"7,408","136,751.68",0.653,Phibro Animal Health Corp,Common Stock,Health Care,10/09/2020
XSHD,525558201,LMAT ,"4,066","135,967.04",0.649,LeMaitre Vascular Inc,Common Stock,Health Care,10/09/2020
XSHD,929236107,WDFC ,663,"131,419.86",0.627,WD-40 Co,Common Stock,Consumer Staples,10/09/2020
XSHD,55303J106,MGPI ,"2,937","117,949.92",0.563,MGP Ingredients Inc,Common Stock,Consumer Staples,10/09/2020
XSHD,90337L108,USPH ,"1,318","115,957.64",0.554,US Physical Therapy Inc,Common Stock,Health Care,10/09/2020
XSHD,CASHUSD00,-CASH-,"-38,983","-38,983.36",-0.186,Cash/Receivables/Payables,Currency,Cash,10/09/2020
