Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
XSHQ,852857200,STMP ,456,"120,169.68",2.923,Stamps.com Inc,Common Stock,Consumer Discretionary,10/09/2020
XSHQ,743713109,PRLB ,754,"113,680.58",2.765,Proto Labs Inc,Common Stock,Industrials,10/09/2020
XSHQ,30214U102,EXPO ,"1,442","106,693.58",2.595,Exponent Inc,Common Stock,Industrials,10/09/2020
XSHQ,114340102,BRKS ,"1,878","98,688.90",2.401,Brooks Automation Inc,Common Stock,Information Technology,10/09/2020
XSHQ,39304D102,GDOT ,"1,549","98,113.66",2.387,Green Dot Corp,Common Stock,Financials,10/09/2020
XSHQ,59001A102,MTH ,829,"93,444.88",2.273,Meritage Homes Corp,Common Stock,Consumer Discretionary,10/09/2020
XSHQ,90278Q108,UFPI ,"1,547","91,644.28",2.229,UFP Industries Inc,Common Stock,Industrials,10/09/2020
XSHQ,739276103,POWI ,"1,313","79,528.41",1.934,Power Integrations Inc,Common Stock,Information Technology,10/09/2020
XSHQ,904708104,UNF ,398,"78,366.20",1.906,UniFirst Corp/MA,Common Stock,Industrials,10/09/2020
XSHQ,929236107,WDFC ,395,"78,296.90",1.905,WD-40 Co,Common Stock,Consumer Staples,10/09/2020
XSHQ,78463M107,SPSC ,855,"73,427.40",1.786,SPS Commerce Inc,Common Stock,Information Technology,10/09/2020
XSHQ,203607106,CBU ,"1,245","72,683.10",1.768,Community Bank System Inc,Common Stock,Financials,10/09/2020
XSHQ,942749102,WTS ,666,"71,561.70",1.741,Watts Water Technologies Inc,Common Stock,Industrials,10/09/2020
XSHQ,000360206,AAON ,"1,103","70,106.68",1.705,AAON Inc,Common Stock,Industrials,10/09/2020
XSHQ,025676206,AEL ,"2,101","65,488.17",1.593,American Equity Investment Life Holding Co,Common Stock,Financials,10/09/2020
XSHQ,258278100,DORM ,689,"64,049.44",1.558,Dorman Products Inc,Common Stock,Consumer Discretionary,10/09/2020
XSHQ,925550105,VIAV ,"5,028","63,755.04",1.551,Viavi Solutions Inc,Common Stock,Information Technology,10/09/2020
XSHQ,254543101,DIOD ,994,"63,089.18",1.535,Diodes Inc,Common Stock,Information Technology,10/09/2020
XSHQ,126600105,CVBF ,"3,518","62,972.20",1.532,CVB Financial Corp,Common Stock,Financials,10/09/2020
XSHQ,353514102,FELE ,967,"60,572.88",1.473,Franklin Electric Co Inc,Common Stock,Industrials,10/09/2020
XSHQ,374689107,ROCK ,780,"56,706.00",1.379,Gibraltar Industries Inc,Common Stock,Industrials,10/09/2020
XSHQ,104674106,BRC ,"1,350","56,592.00",1.377,Brady Corp,Common Stock,Industrials,10/09/2020
XSHQ,G3323L100,FN ,869,"56,198.23",1.367,Fabrinet,Common Stock,Information Technology,10/09/2020
XSHQ,858586100,SCL ,484,"55,877.80",1.359,Stepan Co,Common Stock,Materials,10/09/2020
XSHQ,056525108,BMI ,775,"54,629.75",1.329,Badger Meter Inc,Common Stock,Information Technology,10/09/2020
XSHQ,000957100,ABM ,"1,469","54,367.69",1.322,ABM Industries Inc,Common Stock,Industrials,10/09/2020
XSHQ,039653100,ACA ,"1,139","53,271.03",1.296,Arcosa Inc,Common Stock,Industrials,10/09/2020
XSHQ,296315104,ESE ,610,"52,356.30",1.274,ESCO Technologies Inc,Common Stock,Industrials,10/09/2020
XSHQ,466032109,JJSF ,379,"50,528.28",1.229,J & J Snack Foods Corp,Common Stock,Consumer Staples,10/09/2020
XSHQ,775133101,ROG ,422,"46,555.04",1.132,Rogers Corp,Common Stock,Information Technology,10/09/2020
XSHQ,801056102,SANM ,"1,638","45,487.26",1.106,Sanmina Corp,Common Stock,Information Technology,10/09/2020
XSHQ,69478X105,PPBI ,"1,884","45,404.40",1.104,Pacific Premier Bancorp Inc,Common Stock,Financials,10/09/2020
XSHQ,500643200,KFY ,"1,438","44,908.74",1.092,Korn Ferry,Common Stock,Industrials,10/09/2020
XSHQ,58470H101,MED ,271,"44,712.29",1.088,Medifast Inc,Common Stock,Consumer Staples,10/09/2020
XSHQ,594972408,MSTR ,270,"44,477.10",1.082,MicroStrategy Inc,Common Stock,Information Technology,10/09/2020
XSHQ,443320106,HUBG ,808,"43,389.60",1.055,Hub Group Inc,Common Stock,Industrials,10/09/2020
XSHQ,624756102,MLI ,"1,480","43,378.80",1.055,Mueller Industries Inc,Common Stock,Industrials,10/09/2020
XSHQ,501242101,KLIC ,"1,683","42,209.64",1.027,Kulicke & Soffa Industries Inc,Common Stock,Information Technology,10/09/2020
XSHQ,45768S105,IOSP ,618,"41,449.26",1.008,Innospec Inc,Common Stock,Materials,10/09/2020
XSHQ,939653101,WRE ,"1,920","40,915.20",0.995,Washington Real Estate Investment Trust,Real Estate Investment Trust			     ,Real Estate,10/09/2020
XSHQ,90984P303,UCBI ,"2,138","40,654.07",0.989,United Community Banks Inc/GA,Common Stock,Financials,10/09/2020
XSHQ,067806109,B ,"1,037","40,619.29",0.988,Barnes Group Inc,Common Stock,Industrials,10/09/2020
XSHQ,012348108,AIN ,710,"38,865.40",0.945,Albany International Corp,Common Stock,Industrials,10/09/2020
XSHQ,37253A103,THRM ,827,"38,736.68",0.942,Gentherm Inc,Common Stock,Consumer Discretionary,10/09/2020
XSHQ,483548103,KAMN ,906,"38,269.44",0.931,Kaman Corp,Common Stock,Industrials,10/09/2020
XSHQ,149568107,CVCO ,201,"37,408.11",0.910,Cavco Industries Inc,Common Stock,Consumer Discretionary,10/09/2020
XSHQ,741511109,PSMT ,525,"36,377.25",0.885,PriceSmart Inc,Common Stock,Consumer Staples,10/09/2020
XSHQ,974637100,WGO ,669,"35,865.09",0.872,Winnebago Industries Inc,Common Stock,Consumer Discretionary,10/09/2020
XSHQ,90328M107,USNA ,457,"35,627.72",0.867,USANA Health Sciences Inc,Common Stock,Consumer Staples,10/09/2020
XSHQ,98390M103,XPER ,"2,788","34,487.56",0.839,Xperi Holding Corp,Common Stock,Information Technology,10/09/2020
XSHQ,59064R109,MLAB ,119,"33,673.43",0.819,Mesa Laboratories Inc,Common Stock,Health Care,10/09/2020
XSHQ,046224101,ASTE ,569,"33,275.12",0.809,Astec Industries Inc,Common Stock,Industrials,10/09/2020
XSHQ,502175102,LTC ,901,"32,147.68",0.782,LTC Properties Inc,Real Estate Investment Trust			     ,Real Estate,10/09/2020
XSHQ,03071H100,AMSF ,515,"29,844.25",0.726,AMERISAFE Inc,Common Stock,Financials,10/09/2020
XSHQ,128246105,CVGW ,412,"28,271.44",0.688,Calavo Growers Inc,Common Stock,Consumer Staples,10/09/2020
XSHQ,06652V208,BANR ,788,"28,234.04",0.687,Banner Corp,Common Stock,Financials,10/09/2020
XSHQ,743815102,PRSC ,282,"27,213.00",0.662,Providence Service Corp/The,Common Stock,Health Care,10/09/2020
XSHQ,913456109,UVV ,622,"26,945.04",0.655,Universal Corp/VA,Common Stock,Consumer Staples,10/09/2020
XSHQ,930059100,WDR ,"1,521","25,857.00",0.629,Waddell & Reed Financial Inc,Common Stock,Financials,10/09/2020
XSHQ,292562105,WIRE ,519,"25,685.31",0.625,Encore Wire Corp,Common Stock,Industrials,10/09/2020
XSHQ,811707801,SBCF ,"1,254","25,418.58",0.618,Seacoast Banking Corp of Florida,Common Stock,Financials,10/09/2020
XSHQ,573075108,MRTN ,"1,454","25,285.06",0.615,Marten Transport Ltd,Common Stock,Industrials,10/09/2020
XSHQ,43940T109,HOPE ,"3,102","25,095.18",0.610,Hope Bancorp Inc,Common Stock,Financials,10/09/2020
XSHQ,177835105,CHCO ,410,"24,866.50",0.605,City Holding Co,Common Stock,Financials,10/09/2020
