Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
XSLV,594972408,MSTR ,"103,759","17,092,220.07",1.165,MicroStrategy Inc,Common Stock,Information Technology,10/09/2020
XSLV,743312100,PRGS ,"419,423","16,869,193.06",1.150,Progress Software Corp,Common Stock,Information Technology,10/09/2020
XSLV,790148100,JOE ,"617,056","16,351,984.00",1.115,St Joe Co/The,Common Stock,Real Estate,10/09/2020
XSLV,929236107,WDFC ,"80,775","16,011,220.50",1.091,WD-40 Co,Common Stock,Consumer Staples,10/09/2020
XSLV,422347104,HTLD ,"790,042","15,800,840.00",1.077,Heartland Express Inc,Common Stock,Industrials,10/09/2020
XSLV,87874R100,TTGT ,"317,524","15,698,386.56",1.070,TechTarget Inc,Common Stock,Communication Services,10/09/2020
XSLV,59064R109,MLAB ,"54,898","15,534,487.06",1.059,Mesa Laboratories Inc,Common Stock,Health Care,10/09/2020
XSLV,218352102,CORT ,"833,560","15,295,826.00",1.043,Corcept Therapeutics Inc,Common Stock,Health Care,10/09/2020
XSLV,126349109,CSGS ,"365,638","15,225,166.32",1.038,CSG Systems International Inc,Common Stock,Information Technology,10/09/2020
XSLV,942749102,WTS ,"140,593","15,106,717.85",1.030,Watts Water Technologies Inc,Common Stock,Industrials,10/09/2020
XSLV,913456109,UVV ,"347,956","15,073,453.92",1.027,Universal Corp/VA,Common Stock,Consumer Staples,10/09/2020
XSLV,671044105,OSIS ,"184,600","14,860,300.00",1.013,OSI Systems Inc,Common Stock,Information Technology,10/09/2020
XSLV,825690100,SSTK ,"253,435","14,765,123.10",1.006,Shutterstock Inc,Common Stock,Consumer Discretionary,10/09/2020
XSLV,30040P103,EVTC ,"400,527","14,695,335.63",1.002,EVERTEC Inc,Common Stock,Information Technology,10/09/2020
XSLV,635017106,FIZZ ,"185,238","14,691,225.78",1.001,National Beverage Corp,Common Stock,Consumer Staples,10/09/2020
XSLV,78463M107,SPSC ,"168,843","14,500,236.84",0.988,SPS Commerce Inc,Common Stock,Information Technology,10/09/2020
XSLV,27616P103,DEA ,"638,555","14,456,885.20",0.985,Easterly Government Properties Inc,Real Estate Investment Trust			     ,Real Estate,10/09/2020
XSLV,930059100,WDR ,"850,272","14,454,624.00",0.985,Waddell & Reed Financial Inc,Common Stock,Financials,10/09/2020
XSLV,03209R103,AMPH ,"677,452","14,389,080.48",0.981,Amphastar Pharmaceuticals Inc,Common Stock,Health Care,10/09/2020
XSLV,62914B100,EGOV ,"668,266","14,133,825.90",0.963,NIC Inc,Common Stock,Information Technology,10/09/2020
XSLV,23332B106,DSPG ,"976,120","14,046,366.80",0.957,DSP Group Inc,Common Stock,Information Technology,10/09/2020
XSLV,37253A103,THRM ,"299,436","14,025,582.24",0.956,Gentherm Inc,Common Stock,Consumer Discretionary,10/09/2020
XSLV,057665200,BCPC ,"135,191","13,981,453.22",0.953,Balchem Corp,Common Stock,Materials,10/09/2020
XSLV,68213N109,OMCL ,"174,875","13,909,557.50",0.948,Omnicell Inc,Common Stock,Health Care,10/09/2020
XSLV,254543101,DIOD ,"219,079","13,904,944.13",0.948,Diodes Inc,Common Stock,Information Technology,10/09/2020
XSLV,349853101,FWRD ,"222,105","13,852,688.85",0.944,Forward Air Corp,Common Stock,Industrials,10/09/2020
XSLV,443320106,HUBG ,"256,034","13,749,025.80",0.937,Hub Group Inc,Common Stock,Industrials,10/09/2020
XSLV,269796108,EGRX ,"296,561","13,745,602.35",0.937,Eagle Pharmaceuticals Inc/DE,Common Stock,Health Care,10/09/2020
XSLV,258278100,DORM ,"147,369","13,699,422.24",0.934,Dorman Products Inc,Common Stock,Consumer Discretionary,10/09/2020
XSLV,128246105,CVGW ,"199,121","13,663,683.02",0.931,Calavo Growers Inc,Common Stock,Consumer Staples,10/09/2020
XSLV,853666105,SMP ,"280,303","13,563,862.17",0.925,Standard Motor Products Inc,Common Stock,Consumer Discretionary,10/09/2020
XSLV,30214U102,EXPO ,"182,827","13,527,369.73",0.922,Exponent Inc,Common Stock,Industrials,10/09/2020
XSLV,49926D109,KN ,"849,248","13,503,043.20",0.920,Knowles Corp,Common Stock,Information Technology,10/09/2020
XSLV,864159108,RGR ,"205,692","13,491,338.28",0.920,Sturm Ruger & Co Inc,Common Stock,Consumer Discretionary,10/09/2020
XSLV,741511109,PSMT ,"193,643","13,417,523.47",0.915,PriceSmart Inc,Common Stock,Consumer Staples,10/09/2020
XSLV,40425J101,HMSY ,"465,500","13,415,710.00",0.914,HMS Holdings Corp,Common Stock,Health Care,10/09/2020
XSLV,456237106,ILPT ,"601,139","13,315,228.85",0.908,Industrial Logistics Properties Trust,Real Estate Investment Trust			     ,Real Estate,10/09/2020
XSLV,046224101,ASTE ,"227,095","13,280,515.60",0.905,Astec Industries Inc,Common Stock,Industrials,10/09/2020
XSLV,529043101,LXP ,"1,209,157","13,240,269.15",0.902,Lexington Realty Trust,Real Estate Investment Trust			     ,Real Estate,10/09/2020
XSLV,800422107,JBSS ,"172,106","13,233,230.34",0.902,John B Sanfilippo & Son Inc,Common Stock,Consumer Staples,10/09/2020
XSLV,904708104,UNF ,"66,847","13,162,174.30",0.897,UniFirst Corp/MA,Common Stock,Industrials,10/09/2020
XSLV,011642105,ALRM ,"217,361","13,159,034.94",0.897,Alarm.com Holdings Inc,Common Stock,Information Technology,10/09/2020
XSLV,70014A104,PKE ,"1,149,940","13,074,817.80",0.891,Park Aerospace Corp,Common Stock,Industrials,10/09/2020
XSLV,292218104,EIG ,"415,306","13,048,914.52",0.889,Employers Holdings Inc,Common Stock,Financials,10/09/2020
XSLV,637215104,NPK ,"153,686","12,898,865.98",0.879,National Presto Industries Inc,Common Stock,Industrials,10/09/2020
XSLV,78648T100,SAFT ,"188,552","12,883,758.16",0.878,Safety Insurance Group Inc,Common Stock,Financials,10/09/2020
