Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
XSMO,852857200,STMP ,"16,041","4,227,284.73",3.935,Stamps.com Inc,Common Stock,Consumer Discretionary,10/09/2020
XSMO,49714P108,KNSL ,"19,365","4,031,793.00",3.753,Kinsale Capital Group Inc,Common Stock,Financials,10/09/2020
XSMO,64049M209,NEO ,"67,102","2,712,262.84",2.525,NeoGenomics Inc,Common Stock,Health Care,10/09/2020
XSMO,78709Y105,SAIA ,"16,724","2,404,576.72",2.238,Saia Inc,Common Stock,Industrials,10/09/2020
XSMO,59001A102,MTH ,"20,852","2,350,437.44",2.188,Meritage Homes Corp,Common Stock,Consumer Discretionary,10/09/2020
XSMO,90278Q108,UFPI ,"33,973","2,012,560.52",1.873,UFP Industries Inc,Common Stock,Industrials,10/09/2020
XSMO,114340102,BRKS ,"38,165","2,005,570.75",1.867,Brooks Automation Inc,Common Stock,Information Technology,10/09/2020
XSMO,30214U102,EXPO ,"25,098","1,857,001.02",1.728,Exponent Inc,Common Stock,Industrials,10/09/2020
XSMO,739276103,POWI ,"30,522","1,848,717.54",1.721,Power Integrations Inc,Common Stock,Information Technology,10/09/2020
XSMO,98585X104,YETI ,"36,450","1,844,734.50",1.717,YETI Holdings Inc,Common Stock,Consumer Discretionary,10/09/2020
XSMO,19239V302,CCOI ,"28,200","1,768,986.00",1.647,Cogent Communications Holdings Inc,Common Stock,Communication Services,10/09/2020
XSMO,75972A301,REGI ,"27,353","1,730,624.31",1.611,Renewable Energy Group Inc,Common Stock,Energy,10/09/2020
XSMO,898202106,TRUP ,"18,993","1,708,990.14",1.591,Trupanion Inc,Common Stock,Financials,10/09/2020
XSMO,69753M105,PLMR ,"19,757","1,660,773.42",1.546,Palomar Holdings Inc,Common Stock,Financials,10/09/2020
XSMO,925815102,VICR ,"19,143","1,659,123.81",1.544,Vicor Corp,Common Stock,Industrials,10/09/2020
XSMO,227046109,CROX ,"34,699","1,653,060.36",1.539,Crocs Inc,Common Stock,Consumer Discretionary,10/09/2020
XSMO,78463M107,SPSC ,"19,189","1,647,951.32",1.534,SPS Commerce Inc,Common Stock,Information Technology,10/09/2020
XSMO,346375108,FORM ,"56,391","1,639,850.28",1.526,FormFactor Inc,Common Stock,Information Technology,10/09/2020
XSMO,50189K103,LCII ,"13,397","1,580,310.12",1.471,LCI Industries,Common Stock,Consumer Discretionary,10/09/2020
XSMO,50187T106,LGIH ,"12,502","1,578,502.52",1.469,LGI Homes Inc,Common Stock,Consumer Discretionary,10/09/2020
XSMO,011642105,ALRM ,"25,671","1,554,122.34",1.447,Alarm.com Holdings Inc,Common Stock,Information Technology,10/09/2020
XSMO,690732102,OMI ,"58,209","1,534,389.24",1.428,Owens & Minor Inc,Common Stock,Health Care,10/09/2020
XSMO,538146101,LPSN ,"25,049","1,439,816.52",1.340,LivePerson Inc,Common Stock,Information Technology,10/09/2020
XSMO,529043101,LXP ,"127,786","1,399,256.70",1.302,Lexington Realty Trust,Real Estate Investment Trust			     ,Real Estate,10/09/2020
XSMO,45780R101,IBP ,"11,036","1,310,083.56",1.219,Installed Building Products Inc,Common Stock,Consumer Discretionary,10/09/2020
XSMO,05508R106,BGS ,"45,180","1,298,021.40",1.208,B&G Foods Inc,Common Stock,Consumer Staples,10/09/2020
XSMO,G3323L100,FN ,"19,726","1,275,680.42",1.187,Fabrinet,Common Stock,Information Technology,10/09/2020
XSMO,09739D100,BCC ,"29,251","1,275,636.11",1.187,Boise Cascade Co,Common Stock,Materials,10/09/2020
XSMO,58470H101,MED ,"6,971","1,150,145.29",1.071,Medifast Inc,Common Stock,Consumer Staples,10/09/2020
XSMO,007973100,AEIS ,"15,780","1,110,912.00",1.034,Advanced Energy Industries Inc,Common Stock,Information Technology,10/09/2020
XSMO,254543101,DIOD ,"17,378","1,102,981.66",1.027,Diodes Inc,Common Stock,Information Technology,10/09/2020
XSMO,27616P103,DEA ,"47,973","1,086,108.72",1.011,Easterly Government Properties Inc,Real Estate Investment Trust			     ,Real Estate,10/09/2020
XSMO,82312B106,SHEN ,"22,797","1,071,231.03",0.997,Shenandoah Telecommunications Co,Common Stock,Communication Services,10/09/2020
XSMO,552676108,MDC ,"20,625","1,044,656.25",0.972,MDC Holdings Inc,Common Stock,Consumer Discretionary,10/09/2020
XSMO,374689107,ROCK ,"14,336","1,042,227.20",0.970,Gibraltar Industries Inc,Common Stock,Industrials,10/09/2020
XSMO,695127100,PCRX ,"17,601","1,020,329.97",0.950,Pacira BioSciences Inc,Common Stock,Health Care,10/09/2020
XSMO,928377100,VSTO ,"47,359","1,015,850.55",0.946,Vista Outdoor Inc,Common Stock,Consumer Discretionary,10/09/2020
XSMO,000360206,AAON ,"15,815","1,005,201.40",0.936,AAON Inc,Common Stock,Industrials,10/09/2020
XSMO,089302103,BIG ,"19,628","989,643.76",0.921,Big Lots Inc,Common Stock,Consumer Discretionary,10/09/2020
XSMO,68554V108,OSUR ,"62,526","961,649.88",0.895,OraSure Technologies Inc,Common Stock,Health Care,10/09/2020
XSMO,218352102,CORT ,"52,031","954,768.85",0.889,Corcept Therapeutics Inc,Common Stock,Health Care,10/09/2020
XSMO,974637100,WGO ,"17,434","934,636.74",0.870,Winnebago Industries Inc,Common Stock,Consumer Discretionary,10/09/2020
XSMO,729132100,PLXS ,"12,695","929,654.85",0.865,Plexus Corp,Common Stock,Information Technology,10/09/2020
XSMO,465741106,ITRI ,"13,540","914,220.80",0.851,Itron Inc,Common Stock,Information Technology,10/09/2020
XSMO,829214105,SLP ,"12,128","904,627.52",0.842,Simulations Plus Inc,Common Stock,Health Care,10/09/2020
XSMO,784635104,SPXC ,"17,801","895,390.30",0.833,SPX Corp,Common Stock,Industrials,10/09/2020
XSMO,008073108,AVAV ,"11,890","845,854.60",0.787,AeroVironment Inc,Common Stock,Industrials,10/09/2020
XSMO,55027E102,LMNX ,"34,121","829,140.30",0.772,Luminex Corp,Common Stock,Health Care,10/09/2020
