Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
XSVM,690732102,OMI ,"137,386","3,621,494.96",4.197,Owens & Minor Inc,Common Stock,Health Care,10/09/2020
XSVM,G81276100,SIG ,"107,058","2,230,018.14",2.584,Signet Jewelers Ltd,Common Stock,Consumer Discretionary,10/09/2020
XSVM,398905109,GPI ,"15,571","1,940,458.02",2.249,Group 1 Automotive Inc,Common Stock,Consumer Discretionary,10/09/2020
XSVM,36467W109,GME ,"147,443","1,772,264.86",2.054,GameStop Corp,Common Stock,Consumer Discretionary,10/09/2020
XSVM,428567101,HIBB ,"31,189","1,727,870.60",2.002,Hibbett Sports Inc,Common Stock,Consumer Discretionary,10/09/2020
XSVM,75972A301,REGI ,"23,995","1,518,163.65",1.759,Renewable Energy Group Inc,Common Stock,Energy,10/09/2020
XSVM,11040G103,VTOL ,"58,622","1,412,790.20",1.637,Bristow Group Inc,Common Stock,Energy,10/09/2020
XSVM,488152208,KELYA ,"64,612","1,198,552.60",1.389,Kelly Services Inc,Common Stock,Industrials,10/09/2020
XSVM,861896108,SNEX ,"21,850","1,182,959.00",1.371,StoneX Group Inc,Common Stock,Financials,10/09/2020
XSVM,83545G102,SAH ,"26,741","1,109,751.50",1.286,Sonic Automotive Inc,Common Stock,Consumer Discretionary,10/09/2020
XSVM,70788V102,PVAC ,"108,604","1,090,384.16",1.264,Penn Virginia Corp,Common Stock,Energy,10/09/2020
XSVM,371532102,GCO ,"49,470","1,073,004.30",1.244,Genesco Inc,Common Stock,Consumer Discretionary,10/09/2020
XSVM,847215100,SPTN ,"49,655","1,067,085.95",1.237,SpartanNash Co,Common Stock,Consumer Staples,10/09/2020
XSVM,097793400,BCEI ,"48,917","1,002,798.50",1.162,Bonanza Creek Energy Inc,Common Stock,Energy,10/09/2020
XSVM,401617105,GES ,"69,762","981,551.34",1.138,Guess? Inc,Common Stock,Consumer Discretionary,10/09/2020
XSVM,156504300,CCS ,"20,942","977,781.98",1.133,Century Communities Inc,Common Stock,Consumer Discretionary,10/09/2020
XSVM,911163103,UNFI ,"57,183","975,541.98",1.131,United Natural Foods Inc,Common Stock,Consumer Staples,10/09/2020
XSVM,043436104,ABG ,"8,502","975,179.40",1.130,Asbury Automotive Group Inc,Common Stock,Consumer Discretionary,10/09/2020
XSVM,218681104,CORE ,"32,435","962,346.45",1.115,Core-Mark Holding Co Inc,Common Stock,Consumer Discretionary,10/09/2020
XSVM,025676206,AEL ,"30,557","952,461.69",1.104,American Equity Investment Life Holding Co,Common Stock,Financials,10/09/2020
XSVM,75689M101,RRGB ,"66,320","940,417.60",1.090,Red Robin Gourmet Burgers Inc,Common Stock,Consumer Discretionary,10/09/2020
XSVM,049164205,AAWW ,"13,757","931,761.61",1.080,Atlas Air Worldwide Holdings Inc,Common Stock,Industrials,10/09/2020
XSVM,55405W104,MYRG ,"21,252","915,748.68",1.061,MYR Group Inc,Common Stock,Industrials,10/09/2020
XSVM,88337F105,ODP ,"39,026","883,158.38",1.023,ODP Corp/The,Common Stock,Consumer Discretionary,10/09/2020
XSVM,38741L107,GPMT ,"122,453","869,416.30",1.008,Granite Point Mortgage Trust Inc,Real Estate Investment Trust			     ,Financials,10/09/2020
XSVM,55305B101,MHO ,"18,294","869,147.94",1.007,M/I Homes Inc,Common Stock,Consumer Discretionary,10/09/2020
XSVM,817070501,SENEA ,"21,304","858,977.28",0.995,Seneca Foods Corp,Common Stock,Consumer Staples,10/09/2020
XSVM,089302103,BIG ,"16,738","843,929.96",0.978,Big Lots Inc,Common Stock,Consumer Discretionary,10/09/2020
XSVM,860372101,STC ,"18,316","842,169.68",0.976,Stewart Information Services Corp,Common Stock,Financials,10/09/2020
XSVM,50060P106,KOP ,"34,522","821,623.60",0.952,Koppers Holdings Inc,Common Stock,Materials,10/09/2020
XSVM,Y2106R110,LPG ,"93,125","816,706.25",0.946,Dorian LPG Ltd,Common Stock,Energy,10/09/2020
XSVM,57686G105,MATX ,"15,176","779,591.12",0.903,Matson Inc,Common Stock,Industrials,10/09/2020
XSVM,59001A102,MTH ,"6,872","774,611.84",0.898,Meritage Homes Corp,Common Stock,Consumer Discretionary,10/09/2020
XSVM,216831107,CTB ,"20,512","770,225.60",0.893,Cooper Tire & Rubber Co,Common Stock,Consumer Discretionary,10/09/2020
XSVM,552676108,MDC ,"15,182","768,968.30",0.891,MDC Holdings Inc,Common Stock,Consumer Discretionary,10/09/2020
XSVM,567908108,HZO ,"29,594","762,341.44",0.883,MarineMax Inc,Common Stock,Consumer Discretionary,10/09/2020
XSVM,45765U103,NSIT ,"12,202","746,518.36",0.865,Insight Enterprises Inc,Common Stock,Information Technology,10/09/2020
XSVM,461203101,IVC ,"86,505","723,181.80",0.838,Invacare Corp,Common Stock,Health Care,10/09/2020
XSVM,36251C103,GMS ,"26,905","720,515.90",0.835,GMS Inc,Common Stock,Industrials,10/09/2020
XSVM,27875T101,ECHO ,"26,168","720,143.36",0.835,Echo Global Logistics Inc,Common Stock,Industrials,10/09/2020
